Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31,2016-12-31
Cash & Equivalents,145.18,58.24,68.29,37.04,132.83,242.31,159.45,315.43,190.22,172.96,95.75,210.44,198.49,144.01,61.17,-,-,40.65,-,122,207.37
Cash & Cash Equivalents,145.18,58.24,68.29,37.04,132.83,242.31,159.45,315.43,190.22,172.96,95.75,210.44,198.49,144.01,61.17,0,0,40.65,0,122,207.37
Cash Growth,9.30%,-75.96%,-57.17%,-88.26%,-30.17%,40.09%,66.53%,49.89%,-4.17%,20.11%,56.52%,-,-,254.25%,-,-,-,-,-,-,-
"Property, Plant & Equipment",22.75,22.71,20.55,20.62,20.98,22.1,22.22,23.05,25.9,27.21,28.66,29.46,28.34,28.97,30.03,-,-,21.74,-,21.23,24.26
Goodwill and Intangibles,70.64,72.19,72.62,50.91,52.46,53.62,54.57,55.85,56.92,58.11,45.33,46.63,48.01,49.57,50.86,-,-,54.43,-,59.13,64.84
Total Assets,"3,886.77","3,779.64","3,691.25","3,295.07","3,336.2","3,392.69","3,175.17","3,157.23","3,151.76","3,013.77","2,898.81","2,875.46","2,512.08","2,356.88","2,228.31",-,-,"2,179.07",-,"2,136.08","2,050.05"
Total Liabilities,"3,527.66","3,422.77","3,346.41","2,987.91","3,007.69","3,033.29","2,821.97","2,812.84","2,822.52","2,683.61","2,576.81","2,569.73","2,218.47","2,071.15","1,946.91",-,-,"1,982.12",-,"1,956.49","1,881.79"
Total Debt,436.56,442.83,316.47,305.08,62.75,63.21,63.39,63.86,66.16,66.6,67.42,68.01,67.24,67.63,68.18,-,-,152.28,-,88.82,59.54
Debt Growth,595.69%,600.58%,399.23%,377.73%,-5.15%,-5.09%,-5.97%,-6.10%,-1.61%,-1.53%,-1.11%,-,-,-55.59%,-,-,-,-,-,-,-
Common Stock,174.89,175.09,174.62,110.44,109.86,110.09,108.99,108.47,107.71,107.36,106.88,106.43,105.81,105.7,105.28,-,-,7.02,-,8.25,8.38
Retained Earnings,280.54,280.43,273.13,267.13,260.97,253.57,243.64,233.4,224.48,212.16,204.58,189.53,180.65,178.09,173.04,-,-,159.04,-,140.99,132.77
Comprehensive Income,-96.31,-98.64,-102.91,-70.41,-42.32,-4.26,0.57,2.52,-2.96,10.64,10.54,9.77,7.15,1.94,3.09,-,-,-3.6,-,-1.13,-1.94
Shareholders' Equity,359.12,356.87,344.84,307.16,328.51,359.4,353.2,344.39,329.23,330.16,322,305.73,293.61,285.73,281.4,-,-,162.46,-,148.1,139.22
Total Liabilities and Equity,"3,886.77","3,779.64","3,691.25","3,295.07","3,336.2","3,392.69","3,175.17","3,157.23","3,151.76","3,013.77","2,898.81","2,875.46","2,512.08","2,356.88","2,228.31",-,-,"2,144.58",-,"2,104.59","2,021.01"
Net Cash / Debt,-291.38,-384.58,-248.18,-268.03,70.08,179.1,96.06,251.57,124.06,106.37,28.34,142.43,131.25,76.37,-7,0,0,-111.63,0,33.18,147.83
Net Cash / Debt Growth,-,-,-,-,-43.51%,68.38%,239.03%,76.63%,-5.48%,39.27%,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-14.39,-19.00,-12.27,-15.29,4.00,10.25,5.49,14.38,7.10,6.10,1.62,8.16,7.54,4.38,-0.48,-,-,-7.93,-,-,-
Book Value Per Share,17.93,17.84,17.25,17.76,19.05,20.88,20.53,20.03,19.20,19.28,18.81,17.87,17.20,16.74,19.71,-,-,11.79,-,10.85,10.32
