Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Cash & Equivalents,35.86,29.49,20.76,25.34,25.67,43.48,28.08,19.17,-,12.78,-,-,19.47
Cash & Cash Equivalents,35.86,29.49,20.76,25.34,25.67,43.48,28.08,19.17,0,12.78,0,0,19.47
Cash Growth,39.67%,-32.17%,-26.05%,32.23%,-,240.15%,-,-,-,-,-,-,-
Receivables,58.52,53.09,35.77,30.28,21.47,15.21,11.27,10.43,-,5.16,-,-,2.61
"Property, Plant & Equipment",21.95,18.8,15.57,15.95,15.34,15.77,8.1,8.54,-,7.62,-,-,5.76
Goodwill and Intangibles,651.22,658.43,529.14,535.23,541.33,547.49,553.71,498.56,-,513.72,-,-,152.14
Total Assets,834.63,826.36,648.29,654.91,655.53,676.22,644.25,578.5,-,582.43,-,-,202.8
Accounts Payable,3.43,4.74,3.42,1.99,1.15,2.66,2.91,1.78,-,3.3,-,-,0.11
Deferred Revenue,16.14,12.65,12.75,12.52,11.93,12.95,11.8,10.21,-,10.35,-,-,7.71
Total Liabilities,404.22,392.48,241.08,252.62,263.59,281.05,375.97,314.76,-,324.15,-,-,166.76
Total Debt,305.62,307.78,186.2,203.7,202.99,228.2,323.64,291.18,-,297.74,-,-,152.42
Debt Growth,50.56%,34.88%,-42.47%,-30.04%,-,-23.36%,-,-,-,-,-,-,-
Common Stock,614.9,619.02,637.73,638.43,639.23,650.25,325.55,325.09,-,324.1,-,-,323.39
Retained Earnings,-225.27,-225.88,-230.52,-236.14,-247.29,-255.09,-256.48,-260.07,-,-264.26,-,-,-287.35
Shareholders' Equity,389.62,393.14,407.21,402.29,391.94,395.16,69.07,65.03,-,59.84,-,-,36.04
Total Liabilities and Equity,793.84,785.62,648.29,654.91,655.53,676.22,445.04,379.79,-,383.99,-,-,202.8
Net Cash / Debt,-269.76,-278.29,-165.44,-178.36,-177.31,-184.71,-295.57,-272.01,0,-284.95,0,0,-132.96
Net Cash Per Share,-2.18,-2.27,-1.36,-1.47,-1.46,-1.64,-4.43,-4.08,-,-4.30,-,-,-
Book Value Per Share,3.36,3.41,3.47,3.43,3.34,5.44,1.11,1.04,-,0.96,-,-,0.58
