Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.68,0.78,0.79,0.8,1.37,0
Cash & Cash Equivalents,0.68,0.78,0.79,0.8,1.37,0
Cash Growth,-50.13%,-,-,-,-,-
Other Current Assets,0.16,0.24,0.31,0.39,0.4,-
Total Current Assets,0.84,1.02,1.1,1.19,1.77,-
Long-Term Investments,106.05,105.17,104.71,104.55,104.54,-
Total Long-Term Assets,106.05,105.17,104.71,104.55,104.54,-
Total Assets,106.9,106.18,105.81,105.73,106.31,0.22
Accounts Payable,0.18,0,0,0,0.01,0.28
Other Current Liabilities,0.42,0.41,0.22,0.13,0.48,0
Total Current Liabilities,0.6,0.41,0.22,0.13,0.49,0.28
Other Long-Term Liabilities,2.59,2.59,2.59,2.59,2.59,0
Total Long-Term Liabilities,2.59,2.59,2.59,2.59,2.59,0
Total Liabilities,3.19,2.99,2.8,2.72,3.07,0.28
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-2.35,-1.98,-1.86,-1.53,-1.3,-0.09
Comprehensive Income,0,0,0.16,0,0,0
Shareholders' Equity,-2.34,-1.98,-1.7,-1.53,-1.3,-0.07
Total Liabilities and Equity,0.84,1.02,1.1,1.19,1.77,0.22
Net Cash / Debt,0.68,0.78,0.79,0.8,1.37,0
Net Cash / Debt Growth,-50.13%,-,-,-,-,-
Net Cash Per Share,0.05,0.06,0.06,0.06,0.43,-
Working Capital,0.24,0.61,0.89,1.06,1.28,-
Book Value Per Share,-0.17,-0.16,-0.13,-0.12,-0.41,-0.03
