Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31
Cash & Equivalents,"3,685","4,115","4,793","5,071","4,101","4,474","4,108","4,882","4,025","4,108","6,189","7,325","8,930","2,877","4,289","3,981","3,864","4,145","2,144","2,135","1,888","1,857","1,698","4,443",-,"5,228",-,-,"1,570","1,603"
Cash & Cash Equivalents,"3,685","4,115","4,793","5,071","4,101","4,474","4,108","4,882","4,025","4,108","6,189","7,325","8,930","2,877","4,289","3,981","3,864","4,145","2,144","2,135","1,888","1,857","1,698","4,443",0,"5,228",0,0,"1,570","1,603"
Cash Growth,-10.14%,-8.02%,16.67%,3.87%,1.89%,8.91%,-33.62%,-33.35%,-54.93%,42.79%,44.30%,84.00%,131.11%,-30.59%,100.05%,86.46%,104.66%,123.21%,26.27%,-51.95%,-,-64.48%,-,-,-,226.14%,-,-,-,-
Receivables,"18,967","18,548","17,877","16,642","16,290","16,094","16,298","16,127","16,129","16,158","16,087","15,218","14,994","14,760","14,385","14,231","14,026","13,697","13,551","13,593","13,527","13,525","13,591","13,415",-,"14,647",-,-,"18,878","18,680"
Total Assets,"230,002","224,847","221,641","228,211","245,052","259,840","254,691","253,856","241,937","247,869","239,681","235,367","223,953","227,259","225,876","221,212","216,430","206,294","216,946","216,212","218,997","224,192","223,279","224,328",-,"221,930",-,-,"226,725","231,620"
Accounts Payable,"4,401","4,560","6,532","6,675","6,209","6,269","5,639","5,143","4,281","5,252","6,989","7,876","10,988","4,391","5,291","4,094","3,990","5,057","4,043","4,265","4,244","4,169","4,569","7,121",-,"7,390",-,-,"10,637","7,511"
Total Liabilities,"224,183","219,249","215,762","217,955","232,173","243,633","238,595","237,676","226,855","229,781","221,350","214,393","203,514","211,022","208,116","204,871","201,366","191,811","203,997","202,712","205,324","209,612","209,448","207,863",-,"207,068",-,-,"209,886","214,095"
Total Debt,"3,157","3,156","3,156","3,157","3,157","3,157","3,436","3,436","3,435","3,436","3,979","3,979","4,365","4,365","4,365","4,365","4,364","3,963","3,966","3,607","3,609","3,612","3,615","3,016",-,"4,707",-,-,"4,733","4,825"
Debt Growth,-,-0.03%,-8.15%,-8.12%,-8.09%,-8.12%,-13.65%,-13.65%,-21.31%,-21.28%,-8.84%,-8.84%,0.02%,10.14%,10.06%,21.01%,20.92%,9.72%,9.71%,19.60%,-,-23.26%,-,-,-,-2.45%,-,-,-,-
Common Stock,"11,936","12,034","12,147","12,301","12,453","12,612","12,446","12,607","12,747","12,841","12,374","12,421","12,206","12,347","12,466","12,588","12,720","12,356","12,428","12,445","12,433","12,433","12,419","14,521",-,"13,597",-,-,"15,316","14,810"
Retained Earnings,-894,-395,304,981,-2,-642,-705,"-1,088","-1,119",-534,511,"3,523","5,521",585,"1,662",986,609,"1,346",-96,175,374,406,39,-,-,0,-,-,-,-
Comprehensive Income,"-5,288","-6,106","-6,637","-3,091",363,"4,172","4,290","4,596","3,389","5,716","5,381","4,965","2,647","3,240","3,567","2,702","1,670",716,552,815,801,"1,676","1,308","1,894",-,"1,265",-,-,"1,523","2,715"
Shareholders' Equity,"5,754","5,533","5,814","10,191","12,814","16,142","16,031","16,115","15,017","18,023","18,266","20,909","20,374","16,172","17,695","16,276","14,999","14,418","12,884","13,435","13,608","14,515","13,766","16,415",-,"14,862",-,-,"16,839","17,525"
Total Liabilities and Equity,"229,937","224,782","221,576","228,146","244,987","259,775","254,626","253,791","241,872","247,804","239,616","235,302","223,888","227,194","225,811","221,147","216,365","206,229","216,881","216,147","218,932","224,127","223,214","224,278",-,"221,930",-,-,"226,725","231,620"
Net Cash / Debt,528,959,"1,637","1,914",944,"1,317",672,"1,446",590,672,"2,210","3,346","4,565","-1,488",-76,-384,-500,182,"-1,822","-1,472","-1,721","-1,755","-1,917","1,427",0,521,0,0,"-3,163","-3,222"
Net Cash / Debt Growth,-44.07%,-27.18%,143.60%,32.37%,60.00%,95.98%,-69.59%,-56.78%,-87.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,85.00,80.04,80.95,136.07,167.22,202.23,192.89,187.83,171.86,201.37,196.36,222.81,193.86,149.82,158.83,140.54,128.56,121.57,107.56,112.17,113.61,121.19,114.93,137.05,-,124.08,-,-,140.59,-
