Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-12
Cash & Equivalents,0.31,0.62,0.69,0.76,0.86,0.96,0,-,0
Cash & Cash Equivalents,0.31,0.62,0.69,0.76,0.86,0.96,0,0,0
Cash Growth,-64.08%,-35.66%,-,-,-,-,-,-,-
Other Current Assets,0.25,0.27,0.32,0.34,0.35,0.31,-,-,-
Total Current Assets,0.56,0.89,1.01,1.1,1.21,1.27,-,-,-
Long-Term Investments,210.56,208.24,206.54,205.51,205.36,205.29,-,-,-
Other Long-Term Assets,0,0,0.04,0.11,0.19,0.26,-,-,-
Total Long-Term Assets,210.56,208.24,206.58,205.62,205.55,205.56,-,-,-
Total Assets,211.11,209.14,207.59,206.72,206.76,206.83,0.43,-,0.09
Accounts Payable,0,0.03,0.03,0.04,0.03,0.02,0,-,0
Current Debt,0.15,0.15,0.15,0.16,0.16,0.16,0.14,-,0
Other Current Liabilities,0.07,0.14,0.06,0.05,0.11,0.04,0.29,-,0.07
Total Current Liabilities,0.22,0.31,0.24,0.26,0.3,0.22,0.43,-,0.07
Other Long-Term Liabilities,9.02,7.67,8.87,109.79,13.93,20.97,0,-,0
Total Long-Term Liabilities,9.02,7.67,8.87,109.79,13.93,20.97,0,-,0
Total Liabilities,9.24,7.98,9.11,110.04,14.23,21.19,0.43,-,0.07
Total Debt,0.15,0.15,0.15,0.16,0.16,0.16,0.14,-,0
Debt Growth,-8.34%,-8.34%,10.31%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-8.58,-6.99,-7.96,-9.72,-12.75,-19.64,-0.02,-,-0.01
Shareholders' Equity,-8.58,-6.99,-7.96,-9.72,-12.75,-19.64,0,-,0.02
Total Liabilities and Equity,0.66,0.99,1.15,100.33,1.48,1.55,0.43,-,0.09
Net Cash / Debt,0.16,0.47,0.54,0.6,0.69,0.8,-0.14,0,0
Net Cash / Debt Growth,-77.14%,-41.21%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.02,0.03,0.09,-0.02,-,-
Working Capital,0.33,0.58,0.77,0.84,0.91,1.05,-,-,-
Book Value Per Share,-0.32,-0.26,-0.30,-0.36,-0.47,-2.27,-,-,-
