Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,168.5,246.06,190.35,208.82,283.96,177.82,188.14,170.73,84.91,-,-,-,115.24
Cash & Cash Equivalents,168.5,246.06,190.35,208.82,283.96,177.82,188.14,170.73,84.91,0,0,0,115.24
Cash Growth,-40.66%,38.38%,1.17%,22.31%,234.43%,-,-,-,-26.32%,-,-,-,-
"Property, Plant & Equipment",27.35,28.59,28.47,28.07,27.04,25.92,25.01,24.9,24.43,-,-,-,20.13
Goodwill and Intangibles,18.09,18.16,18.23,18.3,18.36,18.43,18.49,18.56,18.63,-,-,-,18.89
Total Assets,"2,045.2","2,052.73","1,902.5","1,798.83","1,782.59","1,559.06","1,514.44","1,459.24","1,332.51",-,-,-,"1,095.49"
Total Liabilities,"1,863.49","1,882.4","1,734.55","1,629.65","1,605.39","1,384.84","1,365.53","1,314.64","1,191.85",-,-,-,968.85
Total Debt,117.3,93.02,72.01,73.1,38.45,39.4,44.39,44.38,43.37,-,-,-,12.46
Debt Growth,205.07%,136.10%,62.23%,64.72%,-11.34%,-,-,-,248.00%,-,-,-,-
Common Stock,119,118.77,118.35,119.34,125.23,125.01,103.84,103.62,103.28,-,-,-,102.45
Retained Earnings,73.76,63.96,58.04,53.6,49.86,46.61,42.39,39.17,34.18,-,-,-,23.92
Comprehensive Income,-11.05,-12.4,-8.44,-3.76,2.11,2.6,2.68,1.81,3.19,-,-,-,0.27
Shareholders' Equity,181.72,170.33,167.95,169.19,177.2,174.22,148.9,144.6,140.66,-,-,-,126.64
Total Liabilities and Equity,"2,045.2","2,052.73","1,902.5","1,798.83","1,782.59","1,559.06","1,514.44","1,459.24","1,332.51",-,-,-,"1,095.49"
Net Cash / Debt,51.2,153.04,118.33,135.72,245.51,138.42,143.75,126.35,41.54,0,0,0,102.77
Net Cash / Debt Growth,-79.14%,10.56%,-17.68%,7.42%,491.03%,-,-,-,-59.58%,-,-,-,-
Book Value Per Share,20.87,19.59,19.19,19.34,19.66,19.33,17.09,16.60,16.14,-,-,-,-
