Metrics,2023-03-25,2022-12-24,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-26
Cash & Equivalents,256.95,350.72,353.46,411.66,259.04,363.05,156.63,2.71,1.99,0,58.26
Short-Term Investments,205.5,96.8,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,462.45,447.52,353.46,411.66,259.04,363.05,156.63,2.71,1.99,0,58.26
Cash Growth,78.52%,23.27%,125.66%,15105.90%,12942.62%,-,168.83%,-,-,-,-
Receivables,188.03,146.15,105.23,2.55,28.6,13.29,63.37,0,0.08,0,2.49
Inventory,140.44,110.91,91.9,126.99,72.34,44.88,33.56,0,0,0,16.45
Other Current Assets,75.48,67.52,54.81,49.99,27.32,12.28,6.86,1.29,2.09,0.01,134.32
Total Current Assets,866.4,772.1,605.4,591.18,387.31,433.5,260.42,3.99,4.16,0.01,211.53
"Property, Plant & Equipment",35.54,30.25,24.88,20.51,19.2,19.99,18.62,0,0,0,9.19
Long-Term Investments,0,0,0,0,0,0,0,320.01,320,0,0
Goodwill and Intangibles,0.43,0.54,0.65,0.8,0.94,1.04,1.16,0,0,0,1.54
Other Long-Term Assets,7.16,6.06,0.34,0.34,0.34,0.34,0.33,0,0,0.13,2.7
Total Long-Term Assets,43.13,36.84,25.87,21.65,20.49,21.37,20.12,320.01,320,0.13,13.43
Total Assets,909.53,808.95,631.26,612.83,407.79,454.86,280.54,324,324.16,0.13,224.95
Accounts Payable,88.14,60.89,68.45,97,55.75,34.46,28.02,0.35,0.08,0.01,5.96
Deferred Revenue,689.17,589.8,425.71,379.02,469.08,496.37,475.96,0,0,0,380.78
Current Debt,0,0,0,0,0,0,0,0,0,0.02,0
Other Current Liabilities,72.51,85.15,28.8,-30.91,-228.22,-196.25,-167,2.55,0.47,0.1,-240.18
Total Current Liabilities,849.83,735.83,522.96,445.11,296.61,334.58,336.97,2.9,0.55,0.13,146.56
Other Long-Term Liabilities,38.26,22.82,39.37,94.6,267.21,246.77,220.53,11.2,11.2,0,262.47
Total Long-Term Liabilities,38.26,22.82,39.37,94.6,267.21,246.77,220.53,11.2,11.2,0,262.47
Total Liabilities,888.09,758.64,562.32,539.7,563.82,581.35,557.5,14.1,11.75,0.13,409.03
Total Debt,0,0,0,0,0,0,0,0,0,0.02,0
Common Stock,"1,304.33","1,301.4","1,296.05","1,290.17",217.6,217.6,43.81,0,0,0.03,16.81
Retained Earnings,"-1,299.88","-1,293.76","-1,286.57","-1,281.02","-1,248.77","-1,193.83","-1,154.94",-10.1,-7.59,-0.02,-856.86
Comprehensive Income,-2.09,-2.31,-2.29,-2.14,-2.04,-2.39,-2.09,0,0,0,-4.42
Shareholders' Equity,2.37,5.32,7.18,7.01,"-1,033.21",-978.61,"-1,113.23",-10.1,-7.59,0.01,-844.47
Total Liabilities and Equity,890.46,763.97,569.51,546.72,-469.39,-397.26,-555.73,4,4.16,0.13,-435.44
Net Cash / Debt,462.45,447.52,353.46,411.66,259.04,363.05,156.63,2.71,1.99,-0.02,58.26
Net Cash / Debt Growth,78.52%,23.27%,125.66%,15105.90%,12942.62%,-,168.83%,-,-,-,-
Net Cash Per Share,7.64,7.68,5.49,8.13,37.69,55.90,24.37,0.07,0.31,-0.00,-
Working Capital,16.57,36.28,82.44,146.07,90.7,98.92,-76.55,1.09,3.61,-0.12,64.97
Book Value Per Share,0.04,0.09,0.11,0.14,-150.33,-150.67,-173.23,-0.25,-1.18,0.00,-131.41
