Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,"1,955.73","1,496.78","1,900.37","2,122.77","1,700.88","2,156.86","2,360.7","2,486.74",947.6,947.6,511.7,256.08,377.32,67.11,41.71,155.94,41.1,-,-,-,18.06
Short-Term Investments,163.48,37.83,9.65,8.68,6.95,6.46,6.5,19.98,19.26,19.26,45.68,76.58,80.48,-,-,31.57,36.44,-,-,-,0
Cash & Cash Equivalents,"2,119.21","1,534.61","1,910.02","2,131.45","1,707.83","2,163.31","2,367.2","2,506.71",966.86,966.86,557.38,332.66,457.81,67.11,41.71,187.52,77.54,0,0,0,18.06
Cash Growth,24.09%,-29.06%,-19.31%,-14.97%,76.64%,123.75%,324.70%,653.53%,111.19%,1340.63%,1236.44%,77.40%,490.43%,-,-,-,329.30%,-,-,-,-
Receivables,649.46,635.11,622.38,618.34,"1,472.24","1,777.97","2,346.32","1,654.73","1,141.6","1,141.6",589.15,324.72,294.65,266.42,283.12,154.56,18.49,-,-,-,6.64
Other Current Assets,969.91,865.95,919.72,841.47,91.19,89.16,108.33,77.67,43.76,43.76,21.7,20.39,17.29,-,-,9.61,6.88,-,-,-,3.44
Total Current Assets,"3,738.58","3,035.67","3,452.11","3,591.27","3,271.27","4,030.45","4,821.85","4,239.11","2,152.22","2,152.22","1,168.24",677.77,769.75,-,-,351.69,102.91,-,-,-,28.14
"Property, Plant & Equipment",30.46,24.44,24.83,19.48,20.65,17.45,17.17,16.98,16.97,16.97,16.56,17.06,15.27,15.2,8.19,5.41,2.33,-,-,-,1.08
Long-Term Investments,7.93,8.53,8.69,8.84,9.78,10.05,7.17,5.83,6.48,6.48,6.47,5.98,6.02,-,-,5.51,2.39,-,-,-,2.19
Goodwill and Intangibles,2.49,2.49,2.49,2.49,2.49,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,0,0,0,-,-,-,0
Other Long-Term Assets,17.9,17.95,19.05,18.05,17.23,16.44,16.93,13.4,14.22,14.22,13.98,13.84,15.61,-,-,8.98,7.59,-,-,-,4.6
Total Long-Term Assets,58.78,53.42,55.05,48.86,50.15,46.36,43.69,38.63,40.1,40.1,39.42,39.3,39.31,-,-,19.89,12.31,-,-,-,7.87
Total Assets,"3,797.36","3,089.08","3,507.16","3,640.13","3,321.42","4,076.81","4,865.54","4,277.75","2,192.32","2,192.32","1,207.66",717.07,809.06,511.32,493.8,371.57,115.22,-,-,-,36
Accounts Payable,"2,996.87","2,381.04","2,600.91","2,824.82","2,681.87","3,435.06","3,956.81","3,853.51","1,914.74","1,914.74",872.38,469.44,566.26,278.15,262.26,143.2,6.56,-,-,-,1.25
Deferred Revenue,2.19,2.66,1.98,2.28,2.6,2.92,1.98,2.18,2.41,2.41,1.89,2.05,2.25,2.45,2.65,0,0,-,-,-,0
Current Debt,5.49,2.45,2.21,1.63,2.61,3.37,3.84,3.55,3.51,3.51,2.76,2.67,2.4,-,-,1.8,0,-,-,-,0
Other Current Liabilities,176.01,100.38,299.96,211.47,32.86,37.82,313.72,111.51,30.71,30.71,101.11,19.89,16.68,-,-,11.64,10.42,-,-,-,6.8
Total Current Liabilities,"3,180.56","2,486.52","2,905.06","3,040.19","2,719.94","3,479.17","4,276.34","3,970.75","1,951.37","1,951.37",978.14,494.04,587.59,-,-,156.63,16.99,-,-,-,8.05
Long-Term Debt,8.39,6.99,7.78,2.92,28.42,26.81,2.34,3.09,3.69,3.69,4.41,4.97,3.44,-,-,1.27,0,-,-,-,0
Other Long-Term Liabilities,156.79,156.08,155.36,155.02,126.43,126.02,170.31,45.31,1.57,1.57,2.7,2.84,3,-,-,0,0,-,-,-,0
Total Long-Term Liabilities,165.18,163.07,163.14,157.94,154.85,152.83,172.65,48.41,5.26,5.26,7.11,7.81,6.44,-,-,1.27,0,-,-,-,0
Total Liabilities,"3,345.73","2,649.59","3,068.2","3,198.14","2,874.79","3,632","4,449","4,019.16","1,956.63","1,956.63",985.24,501.85,594.03,299.58,281.64,157.9,16.99,-,-,-,8.05
Total Debt,13.88,9.44,9.99,4.55,31.03,30.18,6.18,6.65,7.21,7.21,7.16,7.64,5.84,5.78,5.74,3.06,0,-,-,-,0
Debt Growth,-55.27%,-68.74%,61.70%,-31.51%,330.59%,318.78%,-13.73%,-12.96%,23.38%,24.69%,24.72%,149.30%,-,-,-,-,-,-,-,-,-
Common Stock,499.73,493.84,490.51,486.11,485.75,479.18,473.26,294.42,292.34,292.34,287.3,287.73,286.51,284.84,280.66,279.55,42.53,-,-,-,8.15
Retained Earnings,-50.37,-49.06,-52.4,-51.51,-45.79,-39.51,-60.03,-38.52,-59.58,-59.58,-69.58,-70.67,-73.7,-72.42,-71.14,-69.27,-66.39,-,-,-,-23.18
Comprehensive Income,-2.23,-5.2,0.85,7.39,6.67,5.15,3.32,2.69,2.93,2.93,-2.65,-4.59,-0.87,-3.46,-0.62,-0.36,-0.54,-,-,-,0.21
Shareholders' Equity,447.13,439.58,438.96,441.99,446.63,444.82,416.54,258.59,235.69,235.69,215.07,212.48,211.94,208.96,208.9,209.93,-24.41,-,-,-,-14.83
Total Liabilities and Equity,"3,792.86","3,089.17","3,507.16","3,640.13","3,321.42","4,076.81","4,865.54","4,277.75","2,192.32","2,192.32","1,200.31",714.32,805.98,508.54,490.53,367.83,-7.42,-,-,-,-6.78
Net Cash / Debt,"2,105.33","1,525.17","1,900.02","2,126.9","1,676.8","2,133.13","2,361.02","2,500.07",959.65,959.65,550.21,325.03,451.96,61.33,35.96,184.45,77.54,0,0,0,18.06
Net Cash / Debt Growth,25.56%,-28.50%,-19.53%,-14.93%,74.73%,122.28%,329.11%,669.19%,112.33%,1464.65%,1430.01%,76.21%,482.90%,-,-,-,329.30%,-,-,-,-
Net Cash Per Share,0.91,0.63,0.83,0.93,0.91,0.88,1.09,1.13,0.48,0.44,0.26,0.15,0.26,0.03,0.02,0.25,0.14,-,-,-,-
Working Capital,558.02,549.15,547.05,551.07,551.33,551.29,545.5,268.36,200.85,200.85,190.1,183.73,182.15,-,-,195.05,85.92,-,-,-,20.09
Book Value Per Share,2.91,2.87,2.87,2.91,2.95,2.96,2.89,1.82,1.67,1.67,1.52,1.50,1.81,1.49,1.54,4.29,-0.66,-,-,-,-0.50
