Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Cash & Equivalents,18.02,53.35,14.45,16.85,16.69,12.02,144.18,79.94,67.52,77.43,45.32,73.65,51.44,72.6,38.52,29.25,23.79,26.38,31.92,25.7,32.87,82.82,27.18,26.79,22.79,19.61,0,0,0,0,0,0
Short-Term Investments,84.51,83.4,82.15,88.24,96.47,101.16,92.87,72.6,72.41,75.63,80.08,87.66,93.09,112.31,108.97,91.2,91.71,91.68,94.81,99.59,103.68,101.74,100.94,102.63,104.63,113.03,0,0,0,0,0,0
Cash & Cash Equivalents,102.54,136.75,96.61,105.09,113.16,113.18,237.05,152.54,139.92,153.06,125.4,161.31,144.52,184.91,147.48,120.45,115.51,118.07,126.73,125.29,136.55,184.57,128.12,129.42,127.42,132.64,0,0,0,0,0,0
Cash Growth,-9.39%,20.83%,-59.25%,-31.11%,-19.13%,-26.06%,89.03%,-5.44%,-3.18%,-17.23%,-14.97%,33.92%,25.12%,56.62%,16.38%,-3.86%,-15.41%,-36.03%,-1.09%,-3.19%,7.17%,39.15%,-,-,-,-,-,-,-,-,-,-
Receivables,"1,393.44",4.76,4,3.91,4.07,4.22,4.55,4.83,4.82,4.89,4.4,3.34,3.82,3.63,3.58,3.97,3.93,3.73,3.88,3.57,3.24,3.51,11.75,14.42,16.61,3.19,0,0,0,0,0,0
Other Current Assets,"-1,393.44","1,312.72",0,0,0,0,"1,293.93","1,363.8","1,424.94","1,326.03","1,296.07","1,296.58","1,140.76","1,115.9","1,081.97","1,110.49",-119.43,-121.8,-130.61,-128.86,-139.79,-188.07,-139.87,-143.84,-144.03,-135.83,0,0,0,0,0,0
Total Current Assets,102.54,"1,454.23",100.61,108.99,117.23,117.4,"1,535.53","1,521.16","1,569.69","1,483.98","1,425.87","1,461.23","1,289.11","1,304.43","1,233.03","1,234.91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Property, Plant & Equipment",27.37,27.75,28.52,29.41,29.98,30.51,29.19,29.93,30.52,31.12,31.52,31.78,29.74,25.31,24.57,21.92,16.76,4.2,3.62,3.63,3.73,3.88,4.09,4.24,4.35,4.52,4.8,5,5.5,5.2,5.4,5.6
Long-Term Investments,84.71,83.6,82.36,88.44,96.67,101.37,93.08,72.81,72.62,75.84,80.3,87.88,93.31,112.53,109.19,91.42,91.94,91.91,95.04,99.85,103.94,102.01,101.2,102.92,104.97,113.37,0,0,0,0,0,0
Goodwill,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intangible Assets,1.69,1.83,1.96,2.09,2.24,2.39,2.55,2.7,2.86,3.04,3.21,3.38,3.57,3.76,3.96,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Assets,-27.37,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.7,-96.11,-98.65,-103.48,-107.67,-105.89,-105.3,-107.16,-109.32,-117.89,-4.8,-5,-5.5,-5.2,-5.4,-5.6
Total Long-Term Assets,95.25,46.03,121.69,128.8,137.74,143.12,133.66,114.3,114.85,118.85,123.88,131.9,135.47,150.46,146.57,126.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Assets,"1,585.32","1,601.78","1,603.05","1,625.14","1,677.95","1,687.68","1,669.19","1,635.46","1,684.54","1,602.84","1,549.75","1,593.13","1,424.58","1,454.89","1,379.6","1,361.25","1,297.23","1,251.56","1,234.91","1,240.75","1,183.88","1,200.59","1,118.95","1,054.55","1,044.41","1,026","1,008.7","1,006.1","1,013.3","1,022","1,020.9",956.6
Accounts Payable,0,1.03,0.65,0.57,0.67,1.04,1.35,1.51,1.89,2.48,2.74,2.97,3.94,3.89,3.26,2.9,2.94,2.2,1.75,1.63,1.76,1.59,4.11,3.6,4.98,1.34,0,0,0,0,0,0
Current Debt,16.47,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.8,55.4,0,0,0,0,0,0,0,56.1,0,0,0,0,0,0
Other Current Liabilities,0,-1.03,0,0,0,0,-1.35,-1.51,-1.89,-2.48,-2.74,-2.97,-3.94,-3.89,-3.26,-2.9,0,0,-1.75,-1.63,-1.76,-1.59,-4.11,-3.6,-4.98,0,0,0,0,0,0,0
Total Current Liabilities,16.47,16.77,0.65,0.57,0.67,1.04,0,0,0,0,0,0,0,0,0,0,82.74,57.6,0,0,0,0,0,0,0,57.44,0,0,0,0,0,0
Long-Term Debt,44.5,10,17.23,17.68,18.12,18.56,17.54,18.03,61.51,18.99,27.16,19.62,18.11,15.04,28.85,13.87,92.29,55.4,25,46,30.3,0,0,60,117.5,56.1,0,0,0,0,0,0
Other Long-Term Liabilities,"1,299.08","1,355.41",-16.58,-17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Long-Term Liabilities,"1,343.58","1,365.41",0.65,0.57,18.12,18.56,17.54,18.03,61.51,18.99,27.16,19.62,18.11,15.04,28.85,13.87,92.29,55.4,25,46,30.3,0,0,60,117.5,56.1,0,0,0,0,0,0
Total Liabilities,"1,360.05","1,382.18","1,390.53","1,413.79","1,464.71","1,471.1","1,454.01","1,422.62","1,471.99","1,394.02","1,344.6","1,390.93","1,225.56","1,258.97","1,186.48","1,171.89","1,111.04","1,067.25","1,055.4","1,064.77","1,012.27","1,032.3",952.19,942.96,937.04,922.53,907.1,907.5,921.9,933.2,937.2,874.8
Total Debt,44.5,10,17.23,17.68,18.12,18.56,17.54,18.03,61.51,18.99,27.16,19.62,18.11,15.04,28.85,13.87,172.09,110.8,25,46,30.3,0,0,60,117.5,112.2,0,0,0,0,0,0
Debt Growth,145.57%,-46.12%,-1.77%,-1.90%,-70.54%,-2.24%,-35.41%,-8.11%,239.62%,26.24%,-5.87%,41.49%,-89.48%,-86.43%,15.40%,-69.86%,467.95%,-,-,-23.33%,-74.21%,-,-,-,-,-,-,-,-,-,-,-
Common Stock,0,34.55,34.54,34.34,34.18,34.1,34.08,34.07,34.02,33.95,33.9,33.87,33.86,33.81,33.75,33.72,33.68,33.28,33.24,33.21,33,32.76,32.74,24.11,23.77,23.5,23.5,23.5,23.4,23.4,23,22.9
Retained Earnings,135.43,131.49,125.88,120.49,115.81,111.45,106.46,101.72,97.41,93.37,89.95,87.08,84.63,82.27,79.56,76.05,73.66,73.63,70.04,66.34,62.7,59.12,57.42,54.24,51.2,48.11,45.1,42.1,36.3,33.5,30.5,27.8
Comprehensive Income,-7.03,-8.27,-9.95,-6.53,-3.68,0.84,1.15,1.47,1.24,1.79,1.76,1.8,1.18,0.63,0.78,0.68,0.14,-0.49,-1.43,-1.01,-0.96,0.07,0.31,0.29,0.02,-0,2.6,3,1,1.6,-0.2,2.4
Shareholders' Equity,225.27,219.6,212.52,211.35,213.24,216.58,215.18,212.84,212.55,208.82,205.15,202.2,199.01,195.93,193.12,189.36,186.19,184.32,179.51,175.99,171.61,168.3,166.76,111.59,107.37,103.46,101.6,98.6,91.4,88.8,83.7,81.9
Total Liabilities and Equity,"1,585.32","1,601.78","1,603.05","1,625.14","1,677.95","1,687.68","1,669.19","1,635.46","1,684.54","1,602.84","1,549.75","1,593.13","1,424.58","1,454.89","1,379.6","1,361.25","1,297.23","1,251.56","1,234.91","1,240.75","1,183.88","1,200.59","1,118.95","1,054.55","1,044.41","1,026","1,008.7","1,006.1","1,013.3","1,022","1,020.9",956.7
Net Cash / Debt,58.04,126.75,79.38,87.4,95.04,94.62,219.51,134.52,78.42,134.07,98.25,141.7,126.41,169.87,118.64,106.59,-56.58,7.27,101.73,79.29,106.25,184.57,128.12,69.42,9.92,20.44,0,0,0,0,0,0
Net Cash / Debt Growth,-38.93%,33.97%,-63.84%,-35.02%,21.20%,-29.43%,123.43%,-5.07%,-37.97%,-21.07%,-17.19%,32.94%,-,2238.20%,16.62%,34.43%,-,-96.06%,-20.60%,14.22%,971.52%,803.01%,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,9.09,19.90,12.45,13.58,14.37,13.98,32.44,19.57,11.30,19.32,14.25,20.69,18.27,24.55,17.19,15.41,-8.23,1.06,14.74,11.48,15.50,26.92,20.65,13.60,1.97,4.06,-,-,-,-,-,-
Working Capital,86.07,"1,437.45",99.97,108.42,116.55,116.35,"1,535.53","1,521.16","1,569.69","1,483.98","1,425.87","1,461.23","1,289.11","1,304.43","1,233.03","1,234.91",-82.74,-57.6,0,0,0,0,0,0,0,-57.44,0,0,-,0,0,0
