Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Cash & Equivalents,8.61,53.9,47.68,5.32,159.29,74.67,85.47,85.82,12.26,-,-,7.01
Short-Term Investments,44.49,71.41,79.27,187,194.82,137.64,85.73,58.48,15.34,-,-,3.46
Cash & Cash Equivalents,53.1,125.32,126.95,192.32,354.12,212.3,171.2,144.3,27.6,0,0,10.47
Cash Growth,-85.00%,-40.97%,-25.85%,33.27%,1182.89%,-,-,1278.88%,-,-,-,-
Receivables,15.42,10.97,9.52,9.79,10.03,9.42,8.91,8.77,18.94,-,-,9.75
Other Current Assets,-4.66,-47.58,-45.48,-1.82,-95.65,-69.9,-58.56,-45.53,-11.29,-,-,-1.88
Total Current Assets,63.86,88.71,90.99,200.3,268.5,151.83,121.55,107.54,35.25,-,-,18.33
"Property, Plant & Equipment",104.85,141.88,182.47,190.13,108.39,82.04,47.26,24.58,19.38,-,-,8.66
Long-Term Investments,0,0,0,0,0,0,0.04,0.08,0.12,-,-,0.23
Goodwill and Intangibles,0.13,0.2,0.27,0.34,14.62,14.82,14.95,0.6,0.87,-,-,0
Other Long-Term Assets,20.55,47.58,45.48,61.51,95.65,69.9,58.56,45.53,11.29,-,-,1.88
Total Long-Term Assets,125.54,189.66,228.21,251.98,218.66,166.76,120.81,70.79,31.66,-,-,10.77
Total Assets,189.4,278.37,319.2,452.27,487.16,318.59,242.36,178.33,66.91,-,-,29.1
Accounts Payable,9.58,10.36,16.31,12.38,10.97,5.75,4.56,3.48,5.76,-,-,2.13
Current Debt,10.86,11.02,12.05,12.76,4.4,4.44,5.01,6.31,5.65,-,-,4.28
Other Current Liabilities,1.87,2.29,0.89,1.01,0,0,0,0.07,0.69,-,-,0.83
Total Current Liabilities,22.32,23.66,29.24,26.15,15.37,10.19,9.57,9.86,12.09,-,-,7.24
Long-Term Debt,26.2,26.21,28.46,35.54,39.76,41.46,43.14,40.32,1.21,-,-,0.78
Other Long-Term Liabilities,0,0,1.53,1.53,0,0,0,0,0,-,-,0
Total Long-Term Liabilities,26.2,26.21,29.99,37.07,39.76,41.46,43.14,40.32,1.21,-,-,0.78
Total Liabilities,48.52,49.88,59.23,63.22,55.13,51.65,52.71,50.18,13.31,-,-,8.02
Total Debt,37.07,37.23,40.51,48.3,44.17,45.9,48.15,46.63,6.87,-,-,5.06
Debt Growth,-16.07%,-18.89%,-15.86%,3.60%,543.22%,-,-,822.00%,-,-,-,-
Common Stock,435.18,429.56,426.85,425.9,413.26,314.16,299.21,265,192.47,-,-,188.54
Retained Earnings,-304.69,-211.23,-177.72,-60.24,6.97,-57.27,-117.1,-146.9,-144.7,-,-,-173.17
Comprehensive Income,10.38,10.16,10.84,23.4,11.8,10.06,7.54,10.06,5.83,-,-,5.71
Shareholders' Equity,140.87,228.49,259.97,389.05,432.03,266.94,189.65,128.15,53.6,-,-,21.09
Total Liabilities and Equity,189.4,278.37,319.2,452.27,487.16,318.59,242.36,178.33,66.91,-,-,29.1
Net Cash / Debt,16.03,88.08,86.44,144.02,309.95,166.4,123.05,97.68,20.74,0,0,5.41
Net Cash / Debt Growth,-94.83%,-47.07%,-29.76%,47.44%,1394.71%,-,-,1706.07%,-,-,-,-
Net Cash Per Share,0.19,1.07,1.05,1.51,3.76,2.08,1.55,1.28,0.29,-,-,0.08
Working Capital,41.54,65.05,61.75,174.14,253.13,141.64,111.98,97.68,23.16,-,-,11.09
Book Value Per Share,1.70,2.78,3.16,4.78,5.56,3.49,2.52,1.80,0.78,-,-,0.32
