Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,0.21,0.33,0.43,0.62,0.45,1.2,1.59,0.69,0.79,0,-,-,-,0
Cash & Cash Equivalents,0.21,0.33,0.43,0.62,0.45,1.2,1.59,0.69,0.79,0,0,0,0,0
Cash Growth,-53.69%,-72.37%,-72.89%,-10.05%,-42.59%,-,-,-,-,-,-,-,-,-
Other Current Assets,0.09,0.09,0.3,0.5,0.7,0.81,1.11,1.32,1.53,0.45,-,-,-,0
Total Current Assets,0.3,0.43,0.73,1.12,1.16,2.02,2.69,2,2.32,0.45,-,-,-,0
Long-Term Investments,707.63,700.2,694.52,691.14,690.28,690.07,690.06,690.05,690.02,0,-,-,-,0
Other Long-Term Assets,0,0,0,0,0,0.09,0,0,0,0,-,-,-,0
Total Long-Term Assets,707.63,700.2,694.52,691.14,690.28,690.16,690.06,690.05,690.02,0,-,-,-,0
Total Assets,707.94,700.63,695.25,692.25,691.44,692.18,692.76,692.06,692.34,0.45,-,-,-,0
Accounts Payable,5.53,5.23,4.96,4.94,5.78,4.84,4.05,3.19,0.66,0.4,-,-,-,0
Current Debt,5,5,5,5,3,3,3,1.5,1.5,0,-,-,-,-
Other Current Liabilities,0,0,0,0,0,0,0,0,0,0.05,-,-,-,-
Total Current Liabilities,10.53,10.23,9.96,9.94,8.78,7.84,7.05,4.69,2.16,0.45,-,-,-,-
Other Long-Term Liabilities,26.57,27.54,26.81,30.23,38.21,47.17,46.68,54.89,56.62,0,-,-,-,-
Total Long-Term Liabilities,26.57,27.54,26.81,30.23,38.21,47.17,46.68,54.89,56.62,0,-,-,-,-
Total Liabilities,37.1,37.76,36.77,40.17,46.98,55.01,53.72,59.58,58.78,0.45,-,-,-,0
Total Debt,5,5,5,5,3,3,3,1.5,1.5,0,-,-,-,0
Debt Growth,66.67%,66.67%,66.67%,233.33%,100.00%,-,-,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,1.09,0,0.03,-,-,-,0.03
Retained Earnings,-36.7,-37.24,-35.88,-38.88,-45.55,-52.84,-50.97,3.91,5,-0.03,-,-,-,-0.03
Shareholders' Equity,-36.7,-37.24,-35.88,-38.88,-45.55,-52.83,-50.97,5,5,0,-,-,-,0
Total Liabilities and Equity,0.4,0.53,0.89,1.28,1.44,2.18,2.76,64.58,63.78,0.45,-,-,-,0
Net Cash / Debt,-4.79,-4.67,-4.57,-4.38,-2.55,-1.8,-1.41,-0.81,-0.71,0,0,0,0,0
Net Cash Per Share,-0.06,-0.05,-0.05,-0.05,-0.03,-0.02,-0.02,-0.01,-0.01,-,-,-,-,-
Working Capital,-10.23,-9.8,-9.23,-8.82,-7.62,-5.82,-4.35,-2.69,0.16,0,-,-,-,-
Book Value Per Share,-0.42,-0.43,-0.42,-0.45,-0.53,-0.60,-0.59,0.06,0.09,-,-,-,-,-
