Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Cash & Equivalents,61.29,47,54.28,63.03,53.94,70.62,47.73,61.22,52.68,101.08,71.31,67.86,56.64,62.13,25.24,60.57,70.13,68.95,51.66,30.96,25.21,27.59,2.98,18.15,106.3,18.32,4.64,-,-,14.52,11.58
Cash & Cash Equivalents,61.29,47,54.28,63.03,53.94,70.62,47.73,61.22,52.68,101.08,71.31,67.86,56.64,62.13,25.24,60.57,70.13,68.95,51.66,30.96,25.21,27.59,2.98,18.15,106.3,18.32,4.64,0,0,14.52,11.58
Cash Growth,13.61%,-33.45%,13.72%,2.95%,2.39%,-30.13%,-33.06%,-9.78%,-6.98%,62.68%,182.49%,12.02%,-19.24%,-9.89%,-51.14%,95.68%,178.18%,149.87%,1631.23%,70.57%,-76.29%,50.64%,-35.69%,-,-,26.15%,-59.94%,-,-,-,-
Receivables,127.95,116.86,102.97,110.56,55.54,72.65,91.75,101.65,54.51,55.26,94.39,102.16,53.52,50.92,101.22,102.57,52.78,50.46,94.34,87.56,36.7,36.13,95.78,85.83,36.47,38.75,47.69,-,-,34.2,36.52
"Property, Plant & Equipment",9.92,9.84,9.92,9.84,9.81,9.87,9.95,9.97,9.84,9.9,10.01,10.14,10.12,7.69,7.6,7.48,7.24,6.98,6.1,6.02,5.88,5.88,5.5,5.26,5.27,4.82,5.05,-,-,4.71,4.79
Goodwill and Intangibles,17.13,17.25,17.37,17.49,17.6,17.72,17.84,17.96,18.08,18.19,18.64,19.49,21.25,2.91,2.93,3.04,3.49,4.62,7.04,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,-,-,2.63,2.63
Total Assets,627.98,614.23,636.54,681.59,624.12,651.78,696.49,708.43,621.39,617.6,630.04,624.43,536.38,508.16,529.12,538.16,477.29,458.49,490.88,441.4,376.12,376.99,418.71,429.67,374.47,278.7,327.11,-,-,258.62,289.3
Accounts Payable,0,0,6.25,10.24,7.06,5.29,1.21,2.65,0.7,0,1.17,0,0.92,0.17,4.28,4.12,0.22,0,3.06,3.1,0.02,0.43,3.8,6.02,0.09,0.04,8.82,-,-,0.54,2.25
Deferred Revenue,153.47,148.51,154.41,173.73,130.28,127.79,137.1,161.59,123.46,119.36,125.97,137.21,106.41,89.28,101.42,121.94,88.17,84.77,98.31,99.95,65.39,63.26,75.82,92.19,59.73,57.45,64.29,-,-,53.49,58.91
Total Liabilities,374.91,361.03,385.72,408.98,291.85,304.37,352.51,357.49,268.8,268.73,304.52,299.71,234.59,198.36,236.81,240.84,183.83,182.74,221.49,181.83,117.48,121.42,178.8,186.88,125.49,125.29,172.04,-,-,108.71,145.73
Total Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,-,-,0,3
Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177.03%,-,-,-,-
