Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-09-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-01-01
Cash & Equivalents,"1,081.65",140.26,526.21,404.94,453.97,395.06,766.43,669.13,285.37,126.86,-,86.42,69.51
Short-Term Investments,0,0,0,0,62.52,"1,968.15","1,572.7","1,750.86","3,461.31","1,953.08",-,745.63,989.73
Cash & Cash Equivalents,"1,081.65",140.26,526.21,404.94,516.49,"2,363.21","2,339.13","2,419.99","3,746.68","2,079.93",0,832.04,"1,059.24"
Cash Growth,109.42%,-94.06%,-77.50%,-83.27%,-86.21%,13.62%,-,190.85%,253.71%,-,-,-,-
Receivables,187.67,604.28,86.51,340.83,77.35,91.55,346.38,170.6,467.46,161.09,-,93.17,93
Other Current Assets,"4,663.88","6,430.49","3,272.85","7,886.37","7,723.35","7,779.54","5,569.98","4,480.92","4,090.66","4,850.86",-,"5,100.78","1,666.73"
Total Current Assets,"5,933.2","7,175.03","3,885.57","8,632.14","8,317.19","10,234.29","8,255.49","7,071.52","8,304.8","7,091.89",-,"6,025.99","2,818.97"
"Property, Plant & Equipment",0.09,3.78,0.07,0.09,0.11,0.01,0.03,0.05,0.07,0.13,-,0.45,0.69
Long-Term Investments,"1,523.2","1,451.95","2,786.03","1,523.76","1,315.34",0,0,0,0,0,-,0,0
Goodwill and Intangibles,814.81,796.4,15.17,15.17,15.17,15.17,15.17,15.17,15.17,15.17,-,15.17,15.17
Other Long-Term Assets,0,284.94,0,910.07,878.48,0,0,0,0,0,-,0,0
Total Long-Term Assets,"2,338.09","2,537.07","2,801.27","2,449.09","2,209.1",15.18,15.2,15.22,15.24,15.3,-,15.62,15.86
Total Assets,"8,271.29","9,712.1","6,686.84","11,081.22","10,526.29","10,249.47","8,270.69","7,086.73","8,320.04","7,107.19",-,"6,041.62","2,834.83"
Accounts Payable,214.11,468.25,247.25,320.92,330.31,273.61,670.06,189,319.27,682.33,-,13.64,11.99
Deferred Revenue,0,0,0,0,0,148.28,0,0,0,0,-,0,0
Current Debt,156.91,163.91,388.87,232.47,232.28,232.25,317.72,321.78,322,322,-,351.61,638.35
Other Current Liabilities,54.29,159.74,136.12,99.95,123.29,97.81,94.7,376.51,"3,341.47","2,745.1",-,"2,876.88","1,831.24"
Total Current Liabilities,425.31,791.9,772.24,653.33,685.88,751.95,"1,082.47",887.28,"3,982.73","3,749.43",-,"3,242.13","2,481.59"
Long-Term Debt,3.57,0,111.97,107.45,103.28,101.38,96,0,0,0,-,0,0
Other Long-Term Liabilities,25.79,76.72,13.75,13.7,12.95,20.71,263.73,242.91,195.44,163.36,-,130.21,17.24
Total Long-Term Liabilities,29.35,76.72,125.72,121.15,116.23,122.09,359.72,242.91,195.44,163.36,-,130.21,17.24
Total Liabilities,454.66,868.62,897.96,774.48,802.11,874.04,"1,442.2","1,130.2","4,178.18","3,912.79",-,"3,372.34","2,498.83"
Total Debt,160.48,163.91,500.84,339.92,335.56,333.63,413.72,321.78,322,322,-,351.61,638.35
Debt Growth,-52.18%,-50.87%,21.06%,5.64%,4.21%,3.61%,-,-8.49%,-49.56%,-,-,-,-
Common Stock,234.75,"1,775.07",-448.62,"4,551.38","4,551.38","4,551.49","4,551.38","3,768.99","2,261.77","1,312.96",-,"1,312.96",33.49
Retained Earnings,"5,559.5","5,191.11","4,449.49","3,904.14","3,337.09","2,957.87","2,277.12","2,187.55","1,880.09","1,338.84",-,870.78,302.51
Comprehensive Income,4.74,1.79,1.47,1.19,1.02,0,0,0,0,0,-,0,0
Shareholders' Equity,"5,798.99","6,967.97","4,002.33","8,456.71","7,889.49","7,509.36","6,828.49","5,956.54","4,141.86","2,651.8",-,"2,183.74",336
Total Liabilities and Equity,"6,253.66","7,836.59","4,900.3","9,231.19","8,691.61","8,383.4","8,270.69","7,086.73","8,320.04","6,564.59",-,"5,556.08","2,834.83"
Net Cash / Debt,921.17,-23.65,25.37,65.02,180.93,"2,029.58","1,925.41","2,098.22","3,424.68","1,757.93",0,480.44,420.89
Net Cash / Debt Growth,409.14%,-,-98.68%,-96.90%,-94.72%,15.45%,-,336.73%,713.68%,-,-,-,-
Working Capital,"5,507.89","6,383.13","3,113.33","7,978.8","7,631.31","9,482.34","7,173.02","6,184.24","4,322.07","3,342.46",-,"2,783.86",337.38
Book Value Per Share,30.71,56.74,32.59,68.86,64.24,61.15,59.21,51.65,35.91,22.99,-,-,-
