Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2015-12-31,2014-12-31
Cash & Equivalents,228.35,78.7,108.89,110.69,236.47,174.45,197.45,298.7,279.8,118.72,77.6,241.59,67.32,60.51,22.6,-,-,15.57,-,7.85,8.48
Cash & Cash Equivalents,228.35,78.7,108.89,110.69,236.47,174.45,197.45,298.7,279.8,118.72,77.6,241.59,67.32,60.51,22.6,0,0,15.57,0,7.85,8.48
Cash Growth,-3.43%,-54.89%,-44.85%,-62.94%,-15.48%,46.94%,154.46%,23.64%,315.61%,96.21%,243.30%,-,-,288.56%,-,-,-,-,-,-,-
"Property, Plant & Equipment",29.71,30.06,30.16,30.61,31.43,32.94,32.61,35.9,36.48,20.16,14.95,15.41,14.26,20.27,3.46,-,-,3.34,-,2.04,2.21
Goodwill and Intangibles,33.02,33.41,33.84,34.18,34.28,34.42,34.93,36.03,36.54,22.2,22.91,23.26,23.46,23.63,3.31,-,-,2.69,-,0.37,0.37
Total Assets,"3,334.91","3,141.05","2,879.57","2,799.64","2,724.58","2,665.14","2,699.3","2,764.73","3,167.37","1,498.26","1,523.3","1,585.8","1,027.61",960.81,736.24,-,-,539.59,-,268.91,239.35
Total Liabilities,"3,077.33","2,881.67","2,629.07","2,537.98","2,446.1","2,388","2,429.58","2,497.9","2,927.64","1,390.06","1,423.37","1,490.64",937.33,868.47,670.64,-,-,499.97,-,244.81,214.57
Total Debt,286.4,359.53,197.44,182.55,73.33,75.65,206.59,276.45,756.57,426.66,484.1,502.88,150.71,134.6,139.39,-,-,82.87,-,47.62,29.89
Debt Growth,290.58%,375.26%,-4.43%,-33.97%,-90.31%,-82.27%,-57.33%,-45.03%,402.00%,216.99%,247.29%,-,-,62.43%,-,-,-,-,-,-,-
Common Stock,196.75,196.21,195.6,195.31,194.93,194.56,194.02,193.51,193.23,67.02,66.81,66.61,66.54,66.46,38.98,-,-,16.71,-,6.62,9.21
Retained Earnings,102.07,108.26,104.28,103.85,105.03,85.98,73.19,70.89,42.24,40.69,35.11,31.68,26.26,25.43,25.52,-,-,23.32,-,17.69,15.84
Comprehensive Income,-41.24,-45.1,-49.38,-37.49,-21.48,-3.63,2.28,2.2,4.04,0.26,-2.21,-3.35,-2.75,0.23,0.88,-,-,-0.62,-,-0.2,-0.26
Shareholders' Equity,257.59,259.37,250.5,261.66,278.48,276.91,269.49,266.6,239.5,107.98,99.71,94.93,90.04,92.11,65.38,-,-,39.41,-,24.1,24.79
Total Liabilities and Equity,"3,334.91","3,141.05","2,879.57","2,799.64","2,724.58","2,664.91","2,699.08","2,764.5","3,167.14","1,498.03","1,523.07","1,585.57","1,027.37",960.59,736.02,-,-,539.38,-,268.91,239.35
Net Cash / Debt,-58.05,-280.83,-88.55,-71.87,163.14,98.8,-9.14,22.25,-476.77,-307.94,-406.5,-261.3,-83.39,-74.09,-116.79,0,0,-67.29,0,-39.78,-21.41
Book Value Per Share,13.60,13.69,13.33,13.94,14.84,14.75,14.35,14.32,12.86,12.59,11.62,11.18,13.81,14.13,10.03,-,-,6.04,-,11.72,17.61
