Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.71,0.81,1.52,1.76,0,-
Short-Term Investments,240.31,238.3,237.2,0,0,-
Cash & Cash Equivalents,241.02,239.11,238.72,1.76,0,0
Cash Growth,54777112.50%,-,-,-,-,-
Other Current Assets,0.31,0.37,0.25,0.27,0,-
Total Current Assets,241.33,239.48,238.97,2.03,0,-
Long-Term Investments,0,0,0,236.87,0,-
Other Long-Term Assets,0,0,0.18,0.24,0.64,-
Total Long-Term Assets,0,0,0.18,237.11,0.64,-
Total Assets,241.33,239.48,239.15,239.14,0.64,-
Accounts Payable,0,0,0,0,0.44,-
Other Current Liabilities,10.46,12.79,12.02,0.53,0.23,-
Total Current Liabilities,10.46,12.79,12.02,0.53,0.66,-
Other Long-Term Liabilities,0,0,0,17.83,0,-
Total Long-Term Liabilities,0,0,0,17.83,0,-
Total Liabilities,10.46,12.79,12.02,18.36,0.66,-
Common Stock,0,0,0,0,0.03,-
Retained Earnings,-9.45,-11.61,-10.07,-16.09,-0.05,-
Shareholders' Equity,-9.45,-11.61,-10.07,-16.09,-0.02,-
Total Liabilities and Equity,1.02,1.18,1.95,2.28,0.64,-
Net Cash / Debt,241.02,239.11,238.72,1.76,0,0
Net Cash / Debt Growth,54777112.50%,-,-,-,-,-
Net Cash Per Share,8.37,8.32,8.30,0.18,0.00,-
Working Capital,230.87,226.69,226.95,1.5,-0.66,-
Book Value Per Share,-0.33,-0.40,-0.35,-1.65,-0.01,-
