Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,"2,354","2,145","3,153","2,084","2,145",393,393,393,393,35,35,35
Cash & Cash Equivalents,"2,354","2,145","3,153","2,084","2,145",393,393,393,393,35,35,35
Cash Growth,9.74%,445.80%,702.29%,430.28%,445.80%,1022.86%,1022.86%,1022.86%,-,-,-,-
Receivables,"1,091",436,478,452,"1,031",0,0,0,47,13,13,13
"Property, Plant & Equipment","1,300",756,749,725,"1,230",2,2,2,2,2,2,2
Goodwill and Intangibles,0,102,176,176,0,0,0,0,3,0,0,0
Total Assets,"44,951","43,499","41,387","41,019","43,450","11,493","11,493","11,493","11,493","1,440","1,440","1,440"
Accounts Payable,247,399,430,407,241,542,542,542,606,6,6,6
Deferred Revenue,0,78,77,79,0,82,82,82,82,0,0,0
Total Liabilities,"40,516","42,042","40,724","39,711","39,158","10,058","10,058","10,058","10,058","1,357","1,357","1,357"
Total Debt,"3,726","3,803","3,270","3,449","3,803",693,693,693,693,0,0,0
Debt Growth,-2.02%,448.77%,371.86%,397.69%,448.77%,-,-,-,-,-,-,-
Common Stock,"1,819","1,449",655,"1,300","1,704","1,435","1,435","1,435","1,435",83,83,83
Shareholders' Equity,"1,819","1,449",655,"1,300","1,704","1,435","1,435","1,435","1,435",83,83,83
Total Liabilities and Equity,"42,335","43,491","41,379","41,011","40,862","11,493","11,493","11,493","11,493","1,440","1,440","1,440"
Net Cash / Debt,"-1,372","-1,658",-117,"-1,365","-1,658",-300,-300,-300,-300,35,35,35
Book Value Per Share,35.98,42.06,19.02,37.74,49.47,51.55,51.55,51.55,-,-,-,-
