Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-04
Cash & Equivalents,0.68,0.84,0.6,0.96,1.13,1.45,1.55,0.03,0.03
Cash & Cash Equivalents,0.68,0.84,0.6,0.96,1.13,1.45,1.55,0.03,0.03
Cash Growth,-39.85%,-42.09%,-60.94%,3548.70%,4418.35%,-,-,-,-
Other Current Assets,0.11,0.09,0.2,0.14,0.17,0.11,0.11,-,-
Total Current Assets,0.79,0.93,0.8,1.1,1.3,1.55,1.66,-,-
Long-Term Investments,16.51,16.33,202.07,201.16,201.02,201,201,-,-
Other Long-Term Assets,0,0,0,0.03,0.05,0.07,0.1,-,-
Total Long-Term Assets,16.51,16.33,202.07,201.19,201.07,201.08,201.1,-,-
Total Assets,17.3,17.26,202.87,202.29,202.37,202.63,202.76,0.24,0.11
Accounts Payable,0,0,0.92,0.38,0,0,0.06,0.02,0
Current Debt,0,0,0,0,0,0,0,0.19,0
Other Current Liabilities,1.46,1.32,0.3,0.38,0.02,0.12,0.05,0,0.08
Total Current Liabilities,1.46,1.32,1.21,0.76,0.02,0.12,0.11,0.21,0.08
Other Long-Term Liabilities,9,9,8.73,8.7,9,9,9,0,0
Total Long-Term Liabilities,9,9,8.73,8.7,9,9,9,0,0
Total Liabilities,10.46,10.32,9.94,9.46,9.02,9.12,9.11,0.21,0.08
Total Debt,0,0,0,0,0,0,0,0.19,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-9.67,-9.39,-8.63,-8.33,-7.64,-7.49,-7.35,-0,0
Shareholders' Equity,-9.67,-9.39,-8.63,-8.33,-7.64,-7.49,-7.35,0.03,0.03
Total Liabilities and Equity,0.79,0.93,1.31,1.13,1.37,1.63,1.76,0.24,0.11
Net Cash / Debt,0.68,0.84,0.6,0.96,1.13,1.45,1.55,-0.16,0.03
Net Cash / Debt Growth,-39.85%,-42.09%,-60.94%,-,4418.35%,-,-,-,-
Net Cash Per Share,0.10,0.04,0.02,0.04,0.05,0.12,0.16,-0.03,-
Working Capital,-0.67,-0.39,-0.41,0.34,1.28,1.43,1.55,-,-
Book Value Per Share,-1.47,-0.43,-0.34,-0.33,-0.31,-0.62,-0.78,0.01,-
