Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Cash & Equivalents,156.6,122.2,246.7,213.91,175,242.15,-,180.13,107.7,133.44,312.1,318.71,-,192.46,0.06,0.04,0.2,242.15,0.45,0.54,1.25,0.01,-,-,-,0.03
Cash & Cash Equivalents,156.6,122.2,246.7,213.91,175,242.15,0,180.13,107.7,133.44,312.1,318.71,0,192.46,0.06,0.04,0.2,242.15,0.45,0.54,1.25,0.01,0,0,0,0.03
Cash Growth,-10.51%,-49.53%,-,18.75%,62.49%,81.47%,-,-43.48%,-,-30.67%,555435.78%,730254.10%,-,-20.52%,-87.39%,-91.94%,-84.10%,4528532.88%,-,-,-,-78.61%,-,-,-,-
Receivables,436.1,404.8,172.7,212.76,172,179.35,-,188.77,156.1,166.61,144.4,175.4,-,112.98,0,0,0,179.35,0,0,0,0,-,-,-,0
Other Current Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-305.32,0.09,0.12,0.13,-421.02,0.15,0.2,0.2,0.01,-,-,-,0
Total Current Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.15,0.16,0.33,0.47,0.6,0.74,1.45,0.02,-,-,-,0.03
"Property, Plant & Equipment",0,0,29.3,29.74,30.7,31.17,-,31.72,32.8,33.18,34.7,35.69,-,38.45,0,0,0,31.17,0,0,0,0,-,-,-,0
Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,179.49,178.74,178.12,177.3,176.44,175.91,175.1,174.31,0,-,-,-,0
Goodwill and Intangibles,0,0,3.8,4,4,4.32,-,5.46,5.8,4.71,3.7,3.68,-,3.89,0,0,0,4.32,0,0,0,0,-,-,-,0
Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-42.33,0,0,0,-35.49,0,0,0,0.22,-,-,-,0.16
Total Long-Term Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,179.49,178.74,178.12,177.3,176.44,175.91,175.1,174.31,0.22,-,-,-,0.16
Total Assets,"1,621.5","1,580.4","1,468.9","1,461.29","1,396.8","1,451.73",-,"1,391.5","1,265.6","1,279.21","1,209.2","1,167.18",-,"1,009.07",178.89,178.28,177.63,"1,451.73",176.51,175.83,175.76,0.24,-,-,-,0.19
