Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Cash & Equivalents,29.02,28.34,15.7,20.22,50.59,66.8,86.86,145.82,83.48,92.53,78.9,68.72,41.91,11.71,10.36,36.16,34.68,7.92,8.96,8,-,12.5,-,7.78
Cash & Cash Equivalents,29.02,28.34,15.7,20.22,50.59,66.8,86.86,145.82,83.48,92.53,78.9,68.72,41.91,11.71,10.36,36.16,34.68,7.92,8.96,8,0,12.5,0,7.78
Cash Growth,-42.64%,-57.57%,-81.92%,-86.13%,-39.40%,-27.80%,10.09%,112.19%,99.20%,690.35%,661.86%,90.04%,20.83%,47.76%,15.63%,352.28%,-,-36.60%,-,2.78%,-,-,-,-
"Property, Plant & Equipment",5.4,5.45,5.56,5.69,5.81,5.86,5.97,6.04,6.13,6.28,6.38,6.48,6.62,6.68,7.53,7.58,7.69,8.16,7.85,7.6,-,7.66,-,8.93
Total Assets,551.59,543.02,529.32,535.63,546.29,539.64,541.19,605.58,517.12,516.76,504.85,495.22,447.91,428.01,441.19,483.31,496.95,481.1,482.84,482.62,-,468.36,-,450.17
Total Liabilities,475.65,467.65,453.41,454.66,461.08,448.75,448.98,545.28,457.12,456.75,445.21,434.7,389.24,369.34,382.72,425.79,440.26,442.92,445.1,444.93,-,429.37,-,412.83
Total Debt,95.96,72.49,67.18,65.17,63.18,57.3,67.92,72.59,74.01,71.14,80.31,79.99,61.04,19.3,19.7,21.78,28.98,31.25,47.24,35.04,-,35.08,-,49.52
Debt Growth,51.88%,26.51%,-1.09%,-10.22%,-14.63%,-19.45%,-15.43%,-9.25%,21.25%,268.50%,307.61%,267.25%,110.59%,-38.23%,-58.29%,-37.85%,-,-10.91%,-,-29.23%,-,-,-,-
Common Stock,45.48,45.39,46.35,48.22,48.72,49.14,49.48,17.43,17.4,17.34,17.29,18.02,18.19,18.35,18.33,18.31,18.27,0,0,0,-,0,-,0
Retained Earnings,40.32,41.47,41.44,41.32,41.56,41.62,41.89,42,42.05,41.53,41.11,40.69,40.5,40.21,39.72,39.28,39.29,39.76,39.71,39.46,-,39.78,-,37.99
Comprehensive Income,-9.86,-11.49,-11.89,-8.57,-5.07,0.14,0.84,0.87,0.54,1.14,1.24,1.81,-0.02,0.11,0.42,-0.08,-0.88,-1.58,-1.96,-1.77,-,-0.79,-,-0.65
Shareholders' Equity,75.94,75.36,75.9,80.97,85.2,90.89,92.21,60.3,60,60.01,59.64,60.52,58.67,58.67,58.47,57.52,56.69,38.18,37.75,37.69,-,38.99,-,37.34
Total Liabilities and Equity,551.59,543.02,529.32,535.63,546.29,539.64,541.19,605.58,517.12,516.76,504.85,495.22,447.91,428.01,441.19,483.31,496.95,481.1,482.84,482.62,-,468.36,-,450.17
Net Cash / Debt,-66.95,-44.15,-51.47,-44.95,-12.6,9.5,18.94,73.23,9.47,21.39,-1.41,-11.27,-19.13,-7.6,-9.35,14.38,5.7,-23.33,-38.28,-27.05,0,-22.58,0,-41.74
Net Cash / Debt Growth,-,-,-,-,-,-55.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-12.09,-7.92,-8.60,-7.69,-2.14,1.59,3.15,15.92,2.02,4.15,-0.31,-2.48,-3.09,-1.23,-1.51,2.32,0.92,-,-,-,-,-,-,-
Book Value Per Share,13.72,13.52,13.06,13.86,14.51,15.56,15.34,13.11,13.07,11.80,13.31,13.39,9.48,9.47,9.44,9.30,9.16,5.95,5.88,5.87,-,-,-,-
