Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
Cash & Equivalents,396.83,218.46,288.18,344.26,348.63,319.05,569.78,269.27,279.73,39.51,47.33,74.41,358.59,342,350.93,361.56,396.02,409.56,348.89,273.77,283.97,293.11,242.3,319.53,307.65,314.09,402.4,194.73,203.24,205.75,363.06,361.08,320.37,285.53,346.24,199.54
Cash & Cash Equivalents,396.83,218.46,288.18,344.26,348.63,319.05,569.78,269.27,279.73,39.51,47.33,74.41,358.59,342,350.93,361.56,396.02,409.56,348.89,273.77,283.97,293.11,242.3,319.53,307.65,314.09,402.4,194.73,203.24,205.75,363.06,361.08,320.37,285.53,346.24,199.54
Cash Growth,13.83%,-31.53%,-49.42%,27.85%,24.63%,707.53%,1103.81%,261.90%,-21.99%,-88.45%,-86.51%,-79.42%,-9.45%,-16.50%,0.59%,32.07%,39.46%,39.73%,43.99%,-14.32%,-7.70%,-6.68%,-39.79%,64.09%,51.37%,52.66%,10.84%,-46.07%,-36.56%,-27.94%,4.86%,80.96%,-,-,-,-
Receivables,12.48,18.4,19.46,23.51,178.21,50.79,44.89,39.61,33.85,32.02,22.81,20.19,19.34,37.06,25.73,26.05,28.9,30.33,20.13,24.01,21.26,56.49,20.36,16.48,14.89,23.9,29.66,28.9,28.25,68.86,54.79,58.27,21.29,78.95,80.89,54.93
Goodwill and Intangibles,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
Total Assets,942.89,927.69,986.76,"1,120.02","1,284.19","1,203.34","1,434.23","1,207.95","1,171.27","1,174.55","1,100.61",926.62,904.09,"1,010.91",993.13,"1,004.16",994.7,954.43,"1,020.99",998.93,955.34,"1,006.92",979.52,926.84,917.63,952.6,924.81,802.93,812.7,836.75,730.87,766.62,696.04,754.69,798.54,588.72
Accounts Payable,24.1,21.72,64.02,18.05,140.51,29.07,260.59,29.25,20.26,27.25,16.34,14.15,15.12,34.91,22.62,19.29,26.07,17.41,20.72,18.52,9.09,26.51,23.3,18.31,12.72,21.53,10.38,25.35,17.82,61.57,77.78,78.15,37.46,73.31,73.38,53.8
Total Liabilities,29.65,27.3,97.73,30.83,160.68,65.53,303.25,78.92,60.45,66.33,42.28,26.76,37.38,63.09,54.63,70.3,54.91,38.39,46.05,35.69,16.95,42.54,39.19,35.83,31.75,74.35,22.74,44.01,44.68,79.46,95.29,107.58,66.31,103.43,112.23,86.59
Total Debt,3.57,2.87,3.18,3.57,5.81,12.91,13.6,16.47,16.7,17.57,0,0,0,16.42,25.48,46.01,17.12,9.57,22.35,13.33,5.21,5.73,9.06,9.1,7.52,9.98,4.22,6.57,8.01,9.62,5.58,9.83,8.57,10.6,14.18,6.18
Debt Growth,-38.59%,-77.73%,-76.62%,-78.33%,-65.20%,-26.56%,-,-,-,7.02%,-,-,-,71.50%,13.97%,245.11%,228.50%,67.06%,146.75%,46.49%,-30.70%,-42.60%,114.92%,38.52%,-6.18%,3.75%,-24.42%,-33.13%,-6.48%,-9.17%,-60.67%,59.03%,-,-,-,-
