Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.07,0.09,0.26,0.39,0.72,1.04,1.15,1.29,0.15
Cash & Cash Equivalents,0.07,0.09,0.26,0.39,0.72,1.04,1.15,1.29,0.15
Cash Growth,-90.45%,-91.68%,-77.51%,-69.97%,379.75%,-,-,-,-
Other Current Assets,0.03,0,0,0.01,0.01,0.01,0.01,0,0
Total Current Assets,0.09,0.09,0.26,0.39,0.73,1.05,1.16,1.29,0.15
Long-Term Investments,404.71,402.42,400.61,400.03,400.03,400.02,400.02,400,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.05
Total Long-Term Assets,404.71,402.42,400.61,400.03,400.03,400.02,400.02,400,0.05
Total Assets,404.81,402.5,400.87,400.43,400.76,401.07,401.18,401.3,0.2
Accounts Payable,0,0,0,0,0.29,0,0.16,0.11,0
Current Debt,0,0,0,0,0,0,0,0,0.15
Other Current Liabilities,0.58,0.65,0.22,0.14,0.02,0.38,0.03,0.05,0.03
Total Current Liabilities,0.58,0.65,0.22,0.14,0.31,0.38,0.19,0.16,0.18
Other Long-Term Liabilities,14.16,14.66,17.61,21.22,28.45,30.25,34.19,30.25,0
Total Long-Term Liabilities,14.16,14.66,17.61,21.22,28.45,30.25,34.19,30.25,0
Total Liabilities,14.74,15.31,17.83,21.36,28.75,30.64,34.38,30.41,0.18
Total Debt,0,0,0,0,0,0,0,0,0.15
Common Stock,0,0,0,0,0,0,9.87,5.78,0.03
Retained Earnings,-14.17,-14.44,-17.25,-20.93,-28,-29.57,-4.87,-0.78,-0
Shareholders' Equity,-14.17,-14.44,-17.25,-20.93,-28,-29.57,5,5,0.02
Total Liabilities and Equity,0.57,0.87,0.58,0.43,0.76,1.07,39.38,35.41,0.2
Net Cash / Debt,0.07,0.09,0.26,0.39,0.72,1.04,1.15,1.29,0
Net Cash / Debt Growth,-90.45%,-91.68%,-77.51%,-69.97%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.01,0.01,0.01,0.03,0.02,0.06,-
Working Capital,-0.48,-0.57,0.04,0.26,0.42,0.66,0.97,1.13,-0.03
Book Value Per Share,-0.28,-0.29,-0.34,-0.42,-0.56,-0.81,0.10,0.24,0.00
