Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Cash & Equivalents,213.93,232.38,241.05,158.44,224.53,470.46,601.05,392.51,360.78,418.52,503.89,508.07,140.61,114.34,-,-,-,78.71
Cash & Cash Equivalents,213.93,232.38,241.05,158.44,224.53,470.46,601.05,392.51,360.78,418.52,503.89,508.07,140.61,114.34,0,0,0,78.71
Cash Growth,-4.72%,-50.60%,-59.89%,-59.64%,-37.76%,12.41%,19.28%,-22.75%,156.58%,266.02%,-,-,-,45.28%,-,-,-,-
"Property, Plant & Equipment",2.85,3.07,3.38,3.74,4.05,4.41,4.23,5.09,5.45,5.79,5.93,4.71,3.43,3.67,-,-,-,2.08
Goodwill and Intangibles,7.46,7.47,7.48,7.49,7.5,7.51,7.52,7.53,7.54,7.55,7.56,7.58,7.59,7.6,-,-,-,7.64
Total Assets,"2,050.77","2,042.22","2,048.5","1,885.35","1,859.6","2,015","2,049.08","1,869.06","1,947.59","1,905.78","1,972.75","1,910.43","1,207.48","1,152.03",-,-,-,"1,005.68"
Total Liabilities,"1,872.21","1,869.96","1,884.44","1,726.61","1,705.02","1,864.24","1,901.84","1,725.32","1,808.41","1,769.37","1,838.16","1,776.76","1,076.29","1,021.78",-,-,-,884.6
Total Debt,129.19,54.15,154.12,154.1,86.23,160.42,138.55,24.75,159.55,214.04,377.69,369.69,26.98,14.98,-,-,-,4.96
Debt Growth,49.82%,-66.24%,11.24%,522.74%,-45.95%,-25.05%,-63.32%,-93.31%,491.33%,1329.10%,-,-,-,201.96%,-,-,-,-
Common Stock,111.61,111.26,110.79,110.29,109.82,109.47,109.01,108.42,108.43,107.95,107.78,107.24,106.79,106.43,-,-,-,104.56
Retained Earnings,68.08,62.3,54.63,49.11,44.86,41.19,38.01,34.79,30.63,27.82,26.04,25.54,23.99,23.52,-,-,-,16.52
Comprehensive Income,-1.13,-1.3,-1.36,-0.65,-0.11,0.09,0.22,0.53,0.12,0.64,0.78,0.88,0.41,0.31,-,-,-,0
Shareholders' Equity,178.56,172.25,164.06,158.74,154.57,150.75,147.24,143.74,139.18,136.41,134.6,133.67,131.19,130.26,-,-,-,121.08
Total Liabilities and Equity,"2,050.77","2,042.22","2,048.5","1,885.35","1,859.6","2,015","2,049.08","1,869.06","1,947.59","1,905.78","1,972.75","1,910.43","1,207.48","1,152.03",-,-,-,"1,005.68"
Net Cash / Debt,84.74,178.23,86.94,4.34,138.3,310.04,462.51,367.76,201.23,204.48,126.2,138.38,113.63,99.37,0,0,0,73.75
Net Cash / Debt Growth,-38.73%,-42.51%,-81.20%,-98.82%,-31.27%,51.62%,266.48%,165.76%,77.10%,105.79%,-,-,-,34.74%,-,-,-,-
Net Cash Per Share,9.98,21.13,10.34,0.52,16.48,37.26,55.65,44.33,24.41,24.94,15.45,16.95,13.91,12.17,-,-,-,-
Book Value Per Share,21.41,20.68,19.71,19.14,18.68,18.26,17.86,17.51,17.02,16.73,16.53,16.45,16.19,16.13,-,-,-,17.00
