Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,1.25,1.62,0.12,0.03,0.19,0.21,0.28,0.8,0
Cash & Cash Equivalents,1.25,1.62,0.12,0.03,0.19,0.21,0.28,0.8,0
Cash Growth,560.53%,662.21%,-57.94%,-96.56%,-,-,-,-,-
Other Current Assets,0.1,0.27,0.43,0.6,0.71,0.55,0.86,1.13,0
Total Current Assets,1.35,1.89,0.55,0.63,0.9,0.76,1.15,1.93,0
Long-Term Investments,348.94,346.41,345.11,344.83,345.02,345.02,345.01,300,0
Other Long-Term Assets,0.37,0,0,0,0,-0.01,0,0,0.38
Total Long-Term Assets,349.3,346.41,345.11,344.83,345.02,345.01,345.01,300,0.38
Total Assets,350.66,348.3,345.66,345.46,345.92,345.76,346.16,301.93,0.38
Accounts Payable,5.77,7.71,8.09,8.49,5.88,2.24,0.99,0,0
Current Debt,0,0,0.46,0.06,0.06,0,0,0,0.03
Other Current Liabilities,1.14,0.96,0,0,0,0,0.01,0.61,0.33
Total Current Liabilities,6.9,8.67,8.55,8.55,5.94,2.24,1,0.61,0.36
Other Long-Term Liabilities,12.95,12.78,13.16,15.22,27.17,21.74,27.59,21.85,0
Total Long-Term Liabilities,12.95,12.78,13.16,15.22,27.17,21.74,27.59,21.85,0
Total Liabilities,19.86,21.45,21.72,23.77,33.12,23.98,28.6,22.46,0.36
Total Debt,0,0,0.46,0.06,0.06,0,0,0,0.03
Debt Growth,-,-,-,-,149.50%,-,-,-,-
Common Stock,0,0,0,0,0,0,9.45,5.66,0.03
Retained Earnings,-17.29,-18.59,-21.06,-23.31,-32.2,-23.21,-4.45,-0.66,-0
Shareholders' Equity,-17.29,-18.59,-21.06,-23.31,-32.2,-23.21,5,5,0.02
Total Liabilities and Equity,2.57,2.86,0.66,0.46,0.92,0.76,33.6,27.46,0.38
Net Cash / Debt,1.25,1.62,-0.34,-0.03,0.13,0.21,0.28,0.8,-0.03
Net Cash / Debt Growth,885.31%,662.21%,-,-,-,-,-,-,-
Net Cash Per Share,0.03,0.04,-0.01,-0.00,0.00,0.00,0.01,0.02,-0.00
Working Capital,-5.55,-6.78,-8,-7.93,-5.05,-1.48,0.15,1.32,-0.36
Book Value Per Share,-0.40,-0.43,-0.49,-0.54,-0.90,-0.54,0.12,0.13,0.00
