Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.34,1.67,0.53,0.13,0.15,0.25,0.48,0.58,0.68,0
Cash & Cash Equivalents,0.34,1.67,0.53,0.13,0.15,0.25,0.48,0.58,0.68,0
Cash Growth,132.30%,565.62%,10.25%,-76.93%,-78.39%,-,-,-,-,-
Receivables,0.03,0.03,0.02,0,0,0,0,0,0,0
Other Current Assets,0.23,0.12,0.18,0.29,0.42,0.47,0.65,0.77,0.9,0
Total Current Assets,0.6,1.81,0.72,0.43,0.56,0.72,1.12,1.35,1.58,0
Long-Term Investments,16.81,16.67,346.73,345.52,345.07,345.03,345.03,345.02,345.01,0
Other Long-Term Assets,0.03,0.03,0.02,0,0,0.06,0,0,0,0.23
Total Long-Term Assets,16.84,16.71,346.74,345.53,345.07,345.09,345.03,345.02,345.01,0.23
Total Assets,17.44,18.52,347.47,345.96,345.63,345.81,346.15,346.38,346.59,0.23
Accounts Payable,0.63,0.53,0.41,0.33,0.09,0.09,0.05,0.01,0.01,0.03
Current Debt,0,0,0,0,0,0,0,0,0,0.04
Other Current Liabilities,4.84,4.87,3.46,2.02,0.26,0.3,0.42,0.4,0.37,0.14
Total Current Liabilities,5.47,5.41,3.87,2.35,0.35,0.39,0.47,0.41,0.38,0.21
Long-Term Debt,0.76,0.74,0.72,0.37,0.3,0,0,0,0,0
Other Long-Term Liabilities,1.76,13.1,15.59,14.42,18.08,24.37,24.23,28.03,30.23,0
Total Long-Term Liabilities,2.52,13.85,16.32,14.79,18.38,24.37,24.23,28.03,30.23,0
Total Liabilities,7.99,19.25,20.19,17.14,18.73,24.75,24.7,28.44,30.61,0.21
Total Debt,0.76,0.74,0.72,0.37,0.3,0,0,0,0,0.04
Debt Growth,151.98%,-,-,-,-,-,-,-,-,-
Common Stock,11.65,0,0,0,0,0,0,5.58,7.53,0.03
Retained Earnings,-19.32,-17.76,-18.94,-16.26,-18.1,-23.94,-23.55,-0.58,-2.53,-0
Shareholders' Equity,-7.67,-17.76,-18.94,-16.26,-18.1,-23.94,-23.55,5,5,0.02
Total Liabilities and Equity,0.32,1.49,1.25,0.88,0.63,0.81,1.15,33.44,35.61,0.23
Net Cash / Debt,-0.42,0.92,-0.2,-0.24,-0.15,0.25,0.48,0.58,0.68,-0.04
Net Cash / Debt Growth,-,269.36%,-,-,-,-,-,-,-,-
Net Cash Per Share,-0.04,0.02,-0.00,-0.01,-0.00,0.01,0.01,0.01,0.03,-0.01
Working Capital,-4.87,-3.6,-3.15,-1.92,0.21,0.33,0.65,0.94,1.2,-0.21
Book Value Per Share,-0.75,-0.42,-0.44,-0.38,-0.42,-0.62,-0.55,0.12,0.20,0.00
