Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.41,0.53,0.67,0.79,0.95,0
Cash & Cash Equivalents,0.41,0.53,0.67,0.79,0.95,0
Cash Growth,-56.66%,-,-,-,-,-
Other Current Assets,0.14,0.15,0.15,0.15,0.15,-
Total Current Assets,0.55,0.68,0.82,0.94,1.1,-
Long-Term Investments,177.95,176.67,176.21,175.96,175.95,-
Other Long-Term Assets,0,0.03,0.06,0.1,0.14,-
Total Long-Term Assets,177.95,176.7,176.27,176.06,176.09,-
Total Assets,178.5,177.38,177.09,177.01,177.19,0.54
Other Current Liabilities,0.75,0.69,0.53,0.49,0.32,0.52
Total Current Liabilities,0.75,0.69,0.53,0.49,0.32,0.52
Other Long-Term Liabilities,0.35,1.23,7.44,10.08,18.09,0
Total Long-Term Liabilities,0.35,1.23,7.44,10.08,18.09,0
Total Liabilities,1.1,1.92,7.97,10.57,18.42,0.52
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-0.55,-1.22,-7.09,-9.51,-17.18,-0.01
Shareholders' Equity,-0.55,-1.22,-7.09,-9.51,-17.18,0.02
Total Liabilities and Equity,0.55,0.7,0.88,1.06,1.24,0.54
Net Cash / Debt,0.41,0.53,0.67,0.79,0.95,0
Net Cash / Debt Growth,-56.66%,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.03,0.04,-,-
Working Capital,-0.2,-0.01,0.29,0.45,0.78,-
Book Value Per Share,-0.03,-0.06,-0.33,-0.44,-2.93,0.01
