Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-27
Cash & Equivalents,0.59,0.87,1.25,1.24,1.79,2.44,2.71,2.91,0,0
Short-Term Investments,352.27,348.83,346.8,345.53,0,0,0,0,-,-
Cash & Cash Equivalents,352.86,349.7,348.04,346.77,1.79,2.44,2.71,2.91,0,0
Cash Growth,19572.50%,14207.75%,12746.13%,11807.47%,-,-,-,-,-,-
Other Current Assets,0.13,0.17,0.11,0.24,0.34,0.38,0.49,0.61,-,-
Total Current Assets,352.99,349.88,348.16,347.01,2.13,2.82,3.2,3.52,-,-
Long-Term Investments,0,0,0,0,345.04,345.01,345.01,345,-,-
Other Long-Term Assets,0.74,0.66,0,0,0,0,0,0,-,-
Total Long-Term Assets,0.74,0.66,0,0,345.04,345.01,345.01,345,-,-
Total Assets,353.73,350.54,348.16,347.01,347.17,347.84,348.2,348.53,0.53,0.04
Accounts Payable,0,0,0,0.03,0,0.14,0.11,0.05,0.01,0
Current Debt,0,0,0,0,0,0,0,0,0.17,0
Other Current Liabilities,11.66,11.02,10.77,10.81,0.19,0.25,0.22,0.25,0.36,0.02
Total Current Liabilities,11.66,11.02,10.77,10.83,0.19,0.4,0.33,0.3,0.55,0.02
Other Long-Term Liabilities,1.78,0.95,1.19,3.33,17.33,20.76,21.36,32.36,0,0
Total Long-Term Liabilities,1.78,0.95,1.19,3.33,17.33,20.76,21.36,32.36,0,0
Total Liabilities,13.44,11.97,11.96,14.16,17.52,21.16,21.69,32.66,0.55,0.02
Total Debt,0,0,0,0,0,0,0,0,0.17,0
Common Stock,0,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-11.05,-9.98,-10.56,-12.66,-15.35,-18.32,-18.49,-29.13,-0.04,-0.01
Shareholders' Equity,-11.05,-9.98,-10.56,-12.66,-15.35,-18.32,-18.49,-29.13,-0.02,0.02
Total Liabilities and Equity,2.39,1.99,1.4,1.5,2.17,2.84,3.2,3.53,0.53,0.04
Net Cash / Debt,352.86,349.7,348.04,346.77,1.79,2.44,2.71,2.91,-0.17,0
Net Cash / Debt Growth,19572.50%,14207.75%,12746.13%,11807.47%,-,-,-,-,-,-
Net Cash Per Share,7.98,7.91,7.87,7.84,0.04,0.08,0.06,0.13,-0.01,-
Working Capital,341.33,338.86,337.39,336.18,1.94,2.43,2.86,3.23,-,-
Book Value Per Share,-0.25,-0.23,-0.24,-0.29,-0.35,-0.60,-0.42,-1.33,-0.00,-
