Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.22,0.39,0.42,0.52,0.03
Cash & Cash Equivalents,0.22,0.39,0.42,0.52,0.03
Cash Growth,750.46%,-,-,-,-
Total Current Assets,0.22,0.39,0.42,0.52,-
Long-Term Investments,117.43,116.9,116.74,116.73,-
Other Long-Term Assets,0,0,0,0,-
Total Long-Term Assets,117.43,116.9,116.74,116.73,-
Total Assets,117.65,117.29,117.16,117.25,0.21
Accounts Payable,0.08,0.06,0.05,0,0
Current Debt,0.18,0,0,0,0.18
Other Current Liabilities,0.26,0.23,0.17,0.17,0
Total Current Liabilities,0.53,0.29,0.22,0.17,0.18
Other Long-Term Liabilities,4.03,4.03,4.03,4.03,0
Total Long-Term Liabilities,4.03,4.03,4.03,4.03,0
Total Liabilities,4.55,4.31,4.24,4.19,0.18
Total Debt,0.18,0,0,0,0.18
Debt Growth,-1.42%,-,-,-,-
Common Stock,0,0,0,0,0.03
Retained Earnings,-3.63,-3.75,-3.8,-3.66,-0
Shareholders' Equity,-3.63,-3.75,-3.8,-3.66,0.02
Total Liabilities and Equity,0.92,0.56,0.44,0.53,0.21
Net Cash / Debt,0.04,0.39,0.42,0.52,-0.16
Net Cash Per Share,0.00,0.03,0.03,-,-0.06
Working Capital,-0.31,0.1,0.2,0.36,-
Book Value Per Share,-0.24,-0.25,-0.26,-0.81,0.01
