Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-29
Cash & Equivalents,2.03,2.11,2.14,1.16,1.34,1.55,1.63,0,0
Cash & Cash Equivalents,2.03,2.11,2.14,1.16,1.34,1.55,1.63,0,0
Cash Growth,51.19%,36.59%,31.94%,-,-,-,-,-,-
Other Current Assets,0.12,0.21,0.3,0.4,0.49,0.58,0.67,-,-
Total Current Assets,2.15,2.33,2.45,1.56,1.83,2.13,2.29,-,-
Long-Term Investments,362.99,359.5,357.3,357.27,357,357.01,357,-,-
Total Long-Term Assets,362.99,359.5,357.3,357.27,357,357.01,357,-,-
Total Assets,365.15,361.83,359.75,358.83,358.83,359.13,359.3,0.56,0.15
Accounts Payable,0.43,0.51,0.36,0.29,0.34,0.2,0.13,0.46,0
Current Debt,0,0,0,0,0,0,0,0.07,-
Other Current Liabilities,1.44,0.54,0.26,0.02,0,0,0,0,-
Total Current Liabilities,1.87,1.05,0.61,0.31,0.34,0.2,0.13,0.54,-
Other Long-Term Liabilities,13.78,13.51,13.85,14.46,16.35,19.53,22.09,0,-
Total Long-Term Liabilities,13.78,13.51,13.85,14.46,16.35,19.53,22.09,0,-
Total Liabilities,15.65,14.56,14.46,14.76,16.69,19.73,22.23,0.54,0.13
Total Debt,0,0,0,0,0,0,0,0.07,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-11.88,-11.44,-11.72,-12.93,-14.86,-17.6,-19.93,-0,-0
Shareholders' Equity,-11.88,-11.44,-11.72,-12.93,-14.86,-17.6,-19.93,0.02,0.02
Total Liabilities and Equity,3.77,3.12,2.75,1.83,1.83,2.13,2.3,0.56,0.15
Net Cash / Debt,2.03,2.11,2.14,1.16,1.34,1.55,1.63,-0.07,0
Net Cash / Debt Growth,51.19%,36.59%,31.94%,-,-,-,-,-,-
Net Cash Per Share,0.05,0.05,0.05,0.03,0.03,0.07,0.06,-0.01,-
Working Capital,0.28,1.28,1.84,1.25,1.49,1.92,2.16,-,-
Book Value Per Share,-0.27,-0.26,-0.26,-0.29,-0.33,-0.77,-0.71,0.00,0.00
