Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-23
Cash & Equivalents,0.61,0.73,0.86,1.15,1.37,0.06,0.1,0
Cash & Cash Equivalents,0.61,0.73,0.86,1.15,1.37,0.06,0.1,0
Cash Growth,-55.29%,1137.15%,734.42%,-,-,-,-,-
Receivables,0,0,0,0,0,0,0.04,0
Other Current Assets,0.35,0.44,0.46,0.48,0.43,0,-,-
Total Current Assets,0.96,1.17,1.32,1.63,1.79,0.06,-,-
Long-Term Investments,204.64,202.97,202.12,201.83,201.95,0,-,-
Other Long-Term Assets,0,0.03,0.14,0.24,0.34,0.72,-,-
Total Long-Term Assets,204.64,203,202.26,202.07,202.3,0.72,-,-
Total Assets,205.6,204.17,203.57,203.71,204.09,0.78,0.76,0.14
Accounts Payable,0.12,0.09,0.08,0.18,0.07,0.05,0.02,0
Current Debt,0,0,0,0,0,0.3,0.3,0
Other Current Liabilities,2.25,2.13,1.87,1.68,1.44,0.42,0.42,0.12
Total Current Liabilities,2.37,2.22,1.95,1.85,1.51,0.76,0.74,0.12
Other Long-Term Liabilities,3.04,3.81,10.99,13.27,16.5,0,0,0
Total Long-Term Liabilities,3.04,3.81,10.99,13.27,16.5,0,0,0
Total Liabilities,5.41,6.03,12.93,15.12,18.01,0.76,0.74,0.12
Total Debt,0,0,0,0,0,0.3,0.3,0
Common Stock,2.64,1.96,1.3,0.64,0,0.03,0.03,0.03
Retained Earnings,-6.98,-6.69,-12.68,-14.01,-15.87,-0.01,-0.01,-0.01
Shareholders' Equity,-4.35,-4.73,-11.38,-13.37,-15.87,0.02,0.02,0.02
Total Liabilities and Equity,1.06,1.3,1.55,1.75,2.14,0.78,0.76,0.14
Net Cash / Debt,0.61,0.73,0.86,1.15,1.37,-0.24,-0.2,0
Net Cash / Debt Growth,-55.29%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.03,0.03,0.05,0.17,-0.06,-0.05,-
Working Capital,-1.41,-1.05,-0.63,-0.22,0.28,-0.7,-,-
Book Value Per Share,-0.17,-0.19,-0.46,-0.54,-2.01,0.00,0.00,-
