Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.03,0.12,0.4,0.4,0.56,0.69,0.05,0.03
Cash & Cash Equivalents,0.03,0.12,0.4,0.4,0.56,0.69,0.05,0.03
Cash Growth,-94.27%,-83.16%,662.33%,1508.38%,-,-,-,-
Other Current Assets,0.12,0.24,0.29,0.35,0.37,0.45,0,0
Total Current Assets,0.15,0.36,0.69,0.75,0.93,1.14,0.05,0.03
Long-Term Investments,239.77,237.79,236.72,236.56,236.54,236.53,0,0
Other Long-Term Assets,0,0,0,0,0,0,0.37,0.08
Total Long-Term Assets,239.77,237.79,236.72,236.56,236.54,236.53,0.37,0.08
Total Assets,239.92,238.15,237.41,237.31,237.47,237.67,0.43,0.11
Accounts Payable,1.6,0.34,0.36,0.28,0.21,0.01,0.33,0.11
Current Debt,0.21,0.21,0.2,0,0,0,0.11,0
Other Current Liabilities,0.31,0,0,0,0,0,0,0
Total Current Liabilities,2.11,0.55,0.56,0.28,0.21,0.01,0.43,0.11
Other Long-Term Liabilities,9.21,8.67,9.45,11.34,12.41,13.14,0,0
Total Long-Term Liabilities,9.21,8.67,9.45,11.34,12.41,13.14,0,0
Total Liabilities,11.32,9.22,10.01,11.62,12.62,13.15,0.43,0.11
Total Debt,0.21,0.21,0.2,0,0,0,0.11,0
Debt Growth,-,-,90.48%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-10.8,-8.86,-9.32,-10.87,-11.69,-12.02,-0.03,-0.03
Shareholders' Equity,-10.8,-8.86,-9.32,-10.87,-11.69,-12.02,-0.01,-0
Total Liabilities and Equity,0.52,0.36,0.69,0.75,0.93,1.14,0.43,0.11
Net Cash / Debt,-0.17,-0.09,0.2,0.4,0.56,0.69,-0.05,0.03
Net Cash / Debt Growth,-,-,-,1508.38%,-,-,-,-
Net Cash Per Share,-0.01,-0.00,0.01,0.01,0.03,0.02,-0.01,0.00
Working Capital,-1.96,-0.19,0.13,0.47,0.72,1.12,-0.38,-0.08
Book Value Per Share,-0.36,-0.29,-0.31,-0.36,-0.65,-0.41,-0.00,-0.00
