Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Cash & Equivalents,740.06,704.9,799.53,958.66,901.17,731.09,950.91,"1,048.18","1,592.66","1,223.84",0.22,0.54,1.11,0,0.09
Cash & Cash Equivalents,740.06,704.9,799.53,958.66,901.17,731.09,950.91,"1,048.18","1,592.66","1,223.84",0.22,0.54,1.11,0,0.09
Cash Growth,-17.88%,-3.58%,-15.92%,-8.54%,-43.42%,-40.26%,427521.28%,193390.91%,143806.84%,109271060.71%,149.90%,-,-,-,-
Receivables,433.75,383.15,556.15,350.09,617.61,415.69,340.03,317.46,549.38,253.6,0,0,0,0,0
Other Current Assets,-,-,-,-,-,-,-,-,-,"-1,477.2",0.25,0.32,0.39,0.41,0.21
Total Current Assets,-,-,-,-,-,-,-,-,-,0.23,0.47,0.86,1.5,0.41,0.3
"Property, Plant & Equipment",293.67,298.88,299.22,306.68,308.73,313.54,311.79,279.35,254.32,223.6,0,0,0,0,0
Long-Term Investments,-,-,-,-,-,-,-,-,-,425.33,425.32,426.05,425.88,0,0
Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-223.6,0,0.01,0,0,0
Total Long-Term Assets,-,-,-,-,-,-,-,-,-,425.33,425.32,426.06,425.88,0,0
Total Assets,"10,947.72","13,600.63","11,890.08","11,016.91","10,990.95","22,528.36","16,480.95","16,844.1","10,372.63","11,493.48",425.8,426.92,427.38,0.41,0.3
Accounts Payable,416.82,439.72,"1,157.05",780.17,"1,207.15",523.99,"1,239.57","1,018.54","1,346.02",847.75,0,0,0,0,0
Current Debt,-,-,-,-,-,-,-,-,-,1,1,0,0,0.15,0.15
Other Current Liabilities,-,-,-,-,-,-,-,-,-,-843.55,3.5,0.28,0.62,0.28,0.14
Total Current Liabilities,-,-,-,-,-,-,-,-,-,5.2,4.5,0.28,0.62,0.43,0.29
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,14.88,14.88,14.88,14.93,0,0
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,-,14.88,14.88,14.88,14.93,0,0
Total Liabilities,"8,073.17","10,428.93","8,498.05","7,793.01","7,824.71","19,357.36","13,486.92","14,157.11","7,594.59","9,119.2",19.38,15.15,15.56,0.43,0.29
Total Debt,"6,993.32","9,434.51","6,966.2","6,759.42","6,342.68","18,224.03","12,185.92","12,895.58","6,193.1","8,205.21",1,0,0,0.15,0.15
Debt Growth,10.26%,-48.23%,-42.83%,-47.58%,2.42%,122.10%,1218491.80%,-,-,5470042.67%,566.67%,-,-,-,-
Common Stock,1.2,1.06,0.94,0.83,0.7,0.6,0.47,0.35,0.16,24.84,9.92,4.57,4.52,0.03,0.03
Retained Earnings,122.14,142.5,141.19,137.96,138.83,141.81,129.82,109.4,113.08,"2,349.44",-4.92,0.43,0.48,-0.04,-0.02
Shareholders' Equity,123.33,143.56,142.14,138.78,139.54,142.4,130.29,109.74,113.24,"2,374.28",5,5,5,-0.01,0
Total Liabilities and Equity,"8,196.51","10,572.49","8,640.19","7,931.79","7,964.25","19,499.76","13,617.21","14,266.86","7,707.83","11,493.48",24.38,20.15,20.56,0.41,0.3
Net Cash / Debt,"-6,253.26","-8,729.61","-6,166.67","-5,800.77","-5,441.5","-17,492.95","-11,235.01","-11,847.4","-4,600.43","-6,981.38",-0.78,0.54,1.11,-0.15,-0.06
Net Cash Per Share,-67.30,-94.30,-66.61,-62.69,-3.41,-10.94,-7.01,-7.38,-2.87,-,-,-,-,-,-0.01
Working Capital,-,-,-,-,-,-,-,-,-,-4.96,-4.03,0.58,0.87,-0.01,0
Book Value Per Share,1.33,1.55,1.53,1.50,1.51,1.47,1.29,1.07,1.10,44.69,0.10,0.10,0.09,-0.00,-
