Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Cash & Equivalents,107.58,174.17,145.51,153.02,225.14,504.78,417.67,351.52,199.03,330.91,1.63,0.01,-,266.58,-,0
Cash & Cash Equivalents,107.58,174.17,145.51,153.02,225.14,504.78,417.67,351.52,199.03,330.91,1.63,0.01,0,266.58,0,0
Cash Growth,-52.22%,-65.50%,-65.16%,-56.47%,13.12%,52.54%,25453.50%,4122782.95%,-,24.13%,-,-,-,-,-,-
Receivables,48.8,71.27,50.26,42.52,78.44,51.14,66.08,86.34,64.27,41.09,0,0,-,72.87,-,0
Other Current Assets,-,-,-,-,-,-,-,-,-,-370.56,0.03,-,-,-339.45,-,-
Total Current Assets,-,-,-,-,-,-,-,-,-,1.43,1.67,-,-,0.01,-,-
"Property, Plant & Equipment",212.04,202.11,176.34,112.38,47.43,50.27,55.55,63.29,64.55,70.63,0,0,-,76.68,-,0
Long-Term Investments,-,-,-,-,-,-,-,-,-,230.01,230,-,-,0,-,-
Goodwill and Intangibles,58.51,60.16,61.8,63.45,65.09,66.74,68.38,70.03,71.67,73.32,0,0,-,79.9,-,0
Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-143.95,0,-,-,-156.52,-,-
Total Long-Term Assets,-,-,-,-,-,-,-,-,-,230.01,230,-,-,0.05,-,-
Total Assets,524.51,717.09,631.6,540.17,470.63,718.33,663.66,610.45,429.09,542.95,231.67,0.06,-,524.85,-,0
Accounts Payable,41.7,46.34,34.43,33.82,42.8,31.05,29.85,25.74,26.83,22.25,0,0,-,18.83,-,0
Deferred Revenue,3.03,5.01,3.87,4.57,5.84,7.85,5.94,3.98,5.77,10.6,0,0,-,1.68,-,0
Current Debt,-,-,-,-,-,-,-,-,-,0,0,0,-,0,-,0
Other Current Liabilities,-,-,-,-,-,-,-,-,-,-32.05,0.02,0.04,-,-20.47,-,0
Total Current Liabilities,-,-,-,-,-,-,-,-,-,0.79,0.02,0.04,-,0.04,-,0
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,27.17,9.8,0,-,0,-,0
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,-,27.17,9.8,0,-,0,-,0
Total Liabilities,275.49,456.95,357.42,271.35,185.05,446.98,401.68,349.69,335.45,468.77,9.82,0.04,-,442.94,-,0
Total Debt,168.78,165.6,159.64,102.16,40.21,43.45,47.89,54.43,201.9,205.19,0,0,-,216.25,-,0
Debt Growth,319.76%,281.15%,233.35%,87.70%,-80.08%,-78.83%,-,6262960.99%,-,-5.11%,-,-,-,-,-,-
Common Stock,167.18,162.07,160.5,146.58,166.16,146.14,140.32,135.3,95.74,76.51,5.02,0.03,-,87.73,-,0
Retained Earnings,-28.12,-18.07,-12.21,-8.83,-13.41,-18.08,-13.34,-12.5,-,0,-0.02,-0,-,-0,-,-0
Comprehensive Income,-5.75,-6.54,-8.29,-5.33,-2.79,-1.75,-1.77,-0.82,-2.1,-2.33,0,0,-,-5.82,-,0
Shareholders' Equity,133.31,137.46,140,132.42,149.96,126.32,125.21,121.99,93.64,74.18,5,0.02,-,81.91,-,-0
Total Liabilities and Equity,408.81,594.42,497.41,403.77,335.02,573.29,526.88,471.67,429.09,542.95,14.82,0.06,-,524.85,-,0
Net Cash / Debt,-61.2,8.57,-14.12,50.87,184.93,461.33,369.79,297.09,-2.87,125.71,1.63,0.01,0,50.33,0,0
Net Cash / Debt Growth,-,-98.14%,-,-82.88%,-,266.97%,22523.69%,3879892.16%,-,149.78%,-,-,-,-,-,-
Net Cash Per Share,-0.71,0.10,-0.16,0.56,1.98,4.97,3.99,3.16,-,4.32,0.05,-,-,7.33,-,-
Working Capital,-,-,-,-,-,-,-,-,-,0.64,1.65,-,-,-0.03,-,-
Book Value Per Share,3.15,3.23,3.31,2.97,3.27,2.97,2.94,2.84,2.98,2.55,0.16,0.00,-,11.92,-,-
