Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,26.63,25.55,23.73,58.46,53.42,41.89,48.24,89.32,64,41.88,-,-,-,24.19
Cash & Cash Equivalents,26.63,25.55,23.73,58.46,53.42,41.89,48.24,89.32,64,41.88,0,0,0,24.19
Cash Growth,-50.14%,-39.02%,-50.81%,-34.56%,-16.53%,0.03%,-,-,-,73.10%,-,-,-,-
"Property, Plant & Equipment",5.9,3.13,3.13,3.14,3.2,3.22,3.29,3.36,3.42,3.44,-,-,-,3.34
Total Assets,429.74,429.62,406.22,431.35,397.91,380.94,386.7,406.21,363.62,349.93,-,-,-,321.76
Total Liabilities,343.9,344.34,321.58,345.82,311.72,294.13,301.54,365.11,323.12,310.07,-,-,-,281.97
Total Debt,1.95,11,0,0,0,0,0,8.58,9.05,9.52,-,-,-,2.83
Debt Growth,-,-,-,-,-,-,-,-,-,236.83%,-,-,-,-
Common Stock,44.04,43.71,43.07,43.81,43.81,43.81,43.54,0,0,0,-,-,-,0
Retained Earnings,45.57,45.88,46.36,45.66,45.31,44.61,43.91,43.31,42.74,41.97,-,-,-,41.67
Comprehensive Income,-3.77,-4.31,-4.79,-3.94,-2.93,-1.61,-2.29,-2.2,-2.23,-2.11,-,-,-,-1.88
Shareholders' Equity,85.84,85.28,84.65,85.53,86.19,86.81,85.15,41.1,40.51,39.86,-,-,-,39.79
Total Liabilities and Equity,429.74,429.62,406.22,431.35,397.91,380.94,386.7,406.21,363.62,349.93,-,-,-,321.76
Net Cash / Debt,24.68,14.55,23.73,58.46,53.42,41.89,48.24,80.75,54.95,32.36,0,0,0,21.37
Net Cash / Debt Growth,-53.80%,-65.28%,-50.81%,-27.61%,-2.79%,29.45%,-,-,-,51.45%,-,-,-,-
Net Cash Per Share,4.96,2.99,4.87,11.93,10.91,9.58,12.55,-,-,-,-,-,-,-
Book Value Per Share,17.26,17.56,17.38,17.46,17.60,19.86,22.15,8.75,8.62,8.48,-,-,-,-
