Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30
Cash & Equivalents,0.64,0.51,0.61,0.27,0.97,0.34,0.66,0.48,0.23,0.24,2.66,5.54,2.5,7.38,0.63,0.25,14.46,15.96,13.48,43.88,34.06,8.83,7.21,0.08,0.49,0.15
Cash & Cash Equivalents,0.64,0.51,0.61,0.27,0.97,0.34,0.66,0.48,0.23,0.24,2.66,5.54,2.5,7.38,0.63,0.25,14.46,15.96,13.48,43.88,34.06,8.83,7.21,0.08,0.49,0.15
Cash Growth,-33.95%,52.56%,-7.26%,-43.91%,320.43%,38.43%,-75.18%,-91.42%,-90.78%,-96.72%,323.19%,2097.17%,-82.67%,-53.80%,-95.33%,-99.43%,-57.56%,80.85%,87.06%,57093.54%,6814.31%,5750.94%,-,-,-,-
Receivables,0.91,0.87,0.69,0.65,0.64,0.4,0.42,0.31,0.41,0.37,0.47,0.47,0.6,0.45,0.51,3.79,0.39,0.55,1.04,0.94,0.38,2.2,0.73,0.76,1.53,0.29
Other Current Assets,0,0,0,-0.92,-1.61,-0.73,-1.08,-0.79,-0.64,-0.61,-3.13,-6.01,-3.11,-7.83,-,-,-,-,-,-,-,-,-,-,-,-
Total Current Assets,1.55,1.38,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Property, Plant & Equipment",2.73,2.83,0.2,0.39,0.58,0.77,0.96,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.05,0.06,0.08,0.1,0.12,0.15,0.16,0.17
Long-Term Investments,"1,131.37","1,101.76","1,331.33","1,316.49","1,034.75",908.31,993.55,935.59,764.73,845.07,824.26,736.5,671.65,588.86,581.76,625.62,635.23,670.02,633.9,569.63,539.82,545.4,566.7,642.2,596.83,504
Other Long-Term Assets,0,0,0,"-1,316.88","-1,035.34",-909.09,-994.51,-935.59,-764.73,-845.07,-824.26,-736.51,-671.66,-588.87,-,-,-,-,-,-,-,-,-,-,-,-
Total Long-Term Assets,"1,134.1","1,104.59","1,331.53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Assets,"1,135.87","1,106.09","1,332.95","1,317.9","1,037.07",909.93,995.71,936.47,765.46,845.76,827.47,742.6,674.83,596.78,583.01,629.76,650.19,686.64,648.55,614.63,574.46,556.65,574.87,643.31,599.11,504.72
Accounts Payable,0,0,0,0,0,0,0,0,0,0,0.99,0.42,0,0.06,0,3.91,0.19,5.9,0,0.45,4.81,0,0,0,0,4.6
Other Current Liabilities,0,0,0,0,0,0,0,0,0,0,-0.99,-0.42,0,-0.06,-,-,-,-,-,-,-,-,-,-,-,-
Long-Term Debt,2.9,2.83,0.2,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,-2.9,-2.83,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Total Long-Term Liabilities,0,0,0.2,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Liabilities,3.04,3.82,0.36,1.24,0.73,1.57,1.12,0.71,0.12,0.63,1.14,1.05,0.15,0.67,0.14,4.51,0.43,6.49,0.29,1,4.99,0.16,0.68,2.17,5.58,4.77
Total Debt,2.9,2.83,0.2,0.39,0.58,0.77,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
Debt Growth,396.58%,265.21%,-79.40%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,28.01,27.27,27.27,26.24,26.24,25.89,25.89,25.57,25.57,25.15,25.14,24.88,24.88,24.85,24.85,24.84,24.84,24.21,24.21,23.25,23.24,23.03,23.03,22.78,22.78,22.6
Retained Earnings,672.78,667.24,897.7,922.29,642.09,528.19,611.93,0,0,6.62,0.6,3.33,0.38,2.12,0.7,0.96,0.12,0.98,0.39,1.24,0.78,5.99,3.49,12.88,2.08,5.44
