Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Cash & Equivalents,262.97,300.14,309.14,277.68,276.93,482.73,316.72,220.81,630.79,408.81,223.64,194.37,158.99,187.32,128.13,-,-,216.54,-,130.82
Cash & Cash Equivalents,262.97,300.14,309.14,277.68,276.93,482.73,316.72,220.81,630.79,408.81,223.64,194.37,158.99,187.32,128.13,0,0,216.54,0,130.82
Cash Growth,-5.04%,-37.82%,-2.40%,25.75%,-56.10%,18.08%,41.62%,13.60%,296.75%,118.24%,74.54%,-,-,-13.49%,-,-,-,-,-,-
"Property, Plant & Equipment",67.31,65.98,64.31,64.77,65.8,66.07,66.6,67.92,69.27,70.51,70.6,68.89,68.82,70.21,71.31,-,-,78.39,-,42.16
Goodwill and Intangibles,28.26,29.08,0,0,0,0.13,0,0,0,0,0.23,0.25,7.67,7.69,7.72,-,-,7.8,-,7.9
Total Assets,"6,894.73","6,601.09","5,848.98","5,708.31","5,518.12","5,621.46","5,401.15","5,311.43","5,998.07","5,659.3","5,505.7","5,462.25","5,067.41","4,931.23","4,651.31",-,-,"4,107.22",-,"2,961.12"
Total Liabilities,"6,249.24","5,992.49","5,268.43","5,100.3","4,894.92","4,953.88","4,748.74","4,674.24","5,369.24","5,034.88","4,887.81","4,854.16","4,455.46","4,329.59","4,048.88",-,-,"3,616.88",-,"2,673.97"
Total Debt,332,253.57,206.4,297.64,227.62,237.61,277.6,284.09,287.37,296.37,350.58,501.44,442.56,374.59,358.53,-,-,389.28,-,358.69
Debt Growth,45.86%,6.72%,-25.65%,4.77%,-20.79%,-19.83%,-20.82%,-43.35%,-35.07%,-20.88%,-2.22%,-,-,-3.77%,-,-,-,-,-,-
Common Stock,475.43,467.06,470.85,480.58,482.89,498.99,506.2,505.16,516.57,517.37,522.75,521.65,520.66,520.39,519.25,-,-,454.78,-,256.17
Retained Earnings,222.2,206.1,194.15,176.87,161.32,147.1,126.3,105.3,89.72,77.65,69.36,61.34,68.69,64.8,65.28,-,-,38.57,-,23.95
Comprehensive Income,-52.14,-64.56,-84.45,-49.43,-21.01,21.49,19.91,26.73,22.55,29.4,25.78,25.09,22.6,16.45,17.9,-,-,-3.01,-,7.03
Shareholders' Equity,645.49,608.6,580.55,608.02,623.2,667.57,652.41,637.19,628.83,624.43,617.88,608.09,611.95,601.64,602.44,-,-,490.34,-,287.15
Total Liabilities and Equity,"6,894.73","6,601.09","5,848.98","5,708.31","5,518.12","5,621.46","5,401.15","5,311.43","5,998.07","5,659.3","5,505.7","5,462.25","5,067.41","4,931.23","4,651.31",-,-,"4,107.22",-,"2,961.12"
Net Cash / Debt,-69.03,46.57,102.74,-19.96,49.31,245.12,39.13,-63.27,343.42,112.44,-126.95,-307.07,-283.57,-187.27,-230.4,0,0,-172.73,0,-227.87
Net Cash / Debt Growth,-,-81.00%,162.59%,-,-85.64%,118.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,13.31,12.52,11.77,12.25,12.41,13.11,12.79,12.35,12.18,11.96,11.84,11.67,11.75,11.58,11.79,-,-,9.59,-,-
