Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Cash & Equivalents,319.44,179.23,102.05,109.15,96,70.96,298.49,387.23,359.72,422.96,265.9,225.88,88.32,75.55,57.95,54.38,65.14,42.2,54.83,67.18,634.38,65.5,100.98,-,-,-,45.69
Cash & Cash Equivalents,319.44,179.23,102.05,109.15,96,70.96,298.49,387.23,359.72,422.96,265.9,225.88,88.32,75.55,57.95,54.38,65.14,42.2,54.83,67.18,634.38,65.5,100.98,0,0,0,45.69
Cash Growth,232.76%,152.57%,-65.81%,-71.81%,-73.31%,-83.22%,12.26%,71.43%,307.27%,459.86%,358.82%,315.40%,35.59%,79.02%,5.69%,-19.06%,-89.73%,-35.57%,-45.70%,-,-,-,120.98%,-,-,-,-
"Property, Plant & Equipment",83.72,83.88,84.26,83.74,77.78,78.71,74.43,75.45,76.79,75.97,76.85,77.59,72.39,72.97,63.72,61.27,58.29,52.14,48.92,47.28,44.67,43.58,41.23,-,-,-,39.12
Goodwill and Intangibles,124.58,125.14,126.3,129.09,91.38,91.69,85.86,86.19,86.33,87.38,92.51,92.64,68.28,68.58,6.16,6.19,6.11,6.09,5.94,5.96,5.98,6,6.02,-,-,-,6.12
Total Assets,"10,634.65","10,408.17","10,012.17","9,751.42","9,237.09","9,224.1","9,200.12","9,067.44","9,039.93","8,798.54","8,865.47","8,963.19","8,325.05","8,188.69","7,070.25","6,980.74","6,816.96","6,691.62","6,567.85","6,277.4","6,564.88","5,766.5","5,429.33",-,-,-,"5,037.41"
Total Liabilities,"9,595.76","9,354.57","8,982.53","8,677.13","8,204.61","8,145.02","8,169.24","8,034.39","8,040.28","7,787.25","7,848.14","7,922.2","7,363.93","7,206.18","6,078.42","5,972.83","5,822.46","5,719.56","5,620.81","5,336.11","6,090.98","5,294.43","4,953.41",-,-,-,"4,597.75"
Total Debt,"1,754.3","1,172.51",718.48,465.84,470.63,413.78,785.67,785.84,755.72,831.93,"1,049.46","1,166.69","1,413.71","1,442.53","1,163.66","1,197.69","1,131.39","1,221.21","1,168.46",961.61,617.95,954.62,760.16,-,-,-,711.16
Debt Growth,272.76%,183.36%,-8.55%,-40.72%,-37.72%,-50.26%,-25.14%,-32.64%,-46.54%,-42.33%,-9.81%,-2.59%,24.95%,18.12%,-0.41%,24.55%,83.09%,27.93%,53.71%,-,-,-,6.89%,-,-,-,-
Common Stock,330.51,375.37,395.17,415.42,341.09,359.87,337.93,355.5,378.03,407.83,452.83,456.85,398.55,435.77,445.88,481.51,484.64,483.74,483.47,482.51,0,0,0,-,-,-,0
Retained Earnings,876.24,857.52,835.63,814.71,791.75,765.13,741.8,720.82,694.13,673.08,652.43,637.34,622.25,615.48,601.93,587.71,575.68,560.22,545.35,534.52,549.26,537.48,522.09,-,-,-,491.02
Comprehensive Income,-167.86,-179.3,-201.15,-155.85,-100.36,-45.92,-48.86,-43.27,-72.51,-69.63,-87.93,-53.21,-59.67,-68.74,-55.97,-61.32,-65.82,-71.9,-81.77,-75.74,-75.36,-65.41,-46.18,-,-,-,-51.36
Shareholders' Equity,"1,038.89","1,053.6","1,029.65","1,074.28","1,032.49","1,079.08","1,030.88","1,033.05",999.65,"1,011.29","1,017.33","1,040.99",961.13,982.52,991.84,"1,007.91",994.5,972.06,947.05,941.3,473.9,472.07,475.91,-,-,-,439.66
Total Liabilities and Equity,"10,634.65","10,408.17","10,012.17","9,751.42","9,237.09","9,224.1","9,200.12","9,067.44","9,039.93","8,798.54","8,865.47","8,963.19","8,325.05","8,188.69","7,070.25","6,980.74","6,816.96","6,691.62","6,567.85","6,277.4","6,564.88","5,766.5","5,429.33",-,-,-,"5,037.41"
Net Cash / Debt,"-1,434.86",-993.28,-616.43,-356.69,-374.63,-342.82,-487.18,-398.61,-396,-408.98,-783.57,-940.8,"-1,325.39","-1,366.98","-1,105.71","-1,143.31","-1,066.25","-1,179.01","-1,113.63",-894.43,16.43,-889.12,-659.19,0,0,0,-665.47
Net Cash Per Share,-13.65,-9.31,-5.73,-3.34,-3.61,-3.32,-4.73,-3.81,-3.74,-3.77,-7.06,-8.47,-12.22,-12.43,-9.93,-10.25,-9.56,-10.58,-10.00,-8.03,-,-,-,-,-,-,-
Book Value Per Share,9.93,9.94,9.63,10.12,10.01,10.46,10.01,9.88,9.43,9.32,9.17,9.37,8.86,8.94,8.91,9.04,8.92,8.72,8.50,8.45,4.70,4.68,4.72,-,-,-,-
