Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.27,0.5,0.64,0.78,0.88,0
Cash & Cash Equivalents,0.27,0.5,0.64,0.78,0.88,0
Cash Growth,-69.59%,-,-,-,-,-
Receivables,2.97,2.97,2.97,2.97,2.97,0
Other Current Assets,-2.76,-2.73,-2.63,-2.51,-2.49,-
Total Current Assets,0.48,0.75,0.99,1.24,1.37,-
Long-Term Investments,262,259.69,258.29,258.15,258.06,-
Other Long-Term Assets,2.97,2.97,2.97,2.97,2.97,-
Total Long-Term Assets,264.97,262.66,261.26,261.13,261.03,-
Total Assets,265.46,263.41,262.25,262.37,262.4,0.3
Accounts Payable,3.06,3.06,3.06,3.05,3.05,0.03
Other Current Liabilities,-2.17,-2.47,-2.49,-2.57,-2.96,0.26
Total Current Liabilities,0.89,0.59,0.57,0.48,0.09,0.3
Other Long-Term Liabilities,12.89,12.89,12.89,12.89,12.89,0
Total Long-Term Liabilities,12.89,12.89,12.89,12.89,12.89,0
Total Liabilities,13.78,13.48,13.46,13.37,12.98,0.3
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-10.23,-9.66,-9.27,-9.06,-8.64,-0.03
Shareholders' Equity,-10.23,-9.66,-9.27,-9.06,-8.64,0
Total Liabilities and Equity,3.56,3.82,4.19,4.31,4.34,0.3
Net Cash / Debt,0.27,0.5,0.64,0.78,0.88,0
Net Cash / Debt Growth,-69.59%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.02,0.02,0.07,-
Working Capital,-0.41,0.16,0.42,0.76,1.28,-
Book Value Per Share,-0.29,-0.28,-0.27,-0.26,-0.65,-
