Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.17,0.17,0.22,0.26,0.51,0.08
Cash & Cash Equivalents,0.17,0.17,0.22,0.26,0.51,0.08
Cash Growth,-67.73%,131.72%,-,-,-,-
Other Current Assets,0.01,0.02,0.04,0.07,0.09,0.08
Total Current Assets,0.18,0.19,0.26,0.33,0.61,0.15
Long-Term Investments,70.46,69.29,69.05,69.01,69,0
Total Long-Term Assets,70.46,69.29,69.05,69.01,69,0
Total Assets,70.64,69.48,69.31,69.34,69.61,0.15
Accounts Payable,0.22,0.1,0.07,0.04,0.02,0.02
Current Debt,0.74,0,0,0,0,0.11
Other Current Liabilities,0.21,0.1,0.04,0.02,0.05,0
Total Current Liabilities,1.17,0.2,0.11,0.06,0.07,0.13
Other Long-Term Liabilities,2.59,2.59,2.59,2.59,2.59,0
Total Long-Term Liabilities,2.59,2.59,2.59,2.59,2.59,0
Total Liabilities,3.76,2.79,2.69,2.65,2.65,0.13
Total Debt,0.74,0,0,0,0,0.11
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-3.58,-2.6,-2.38,-2.31,-2.04,-0
Shareholders' Equity,-3.58,-2.6,-2.38,-2.31,-2.04,0.02
Total Liabilities and Equity,0.18,0.19,0.31,0.34,0.61,0.15
Net Cash / Debt,-0.57,0.17,0.22,0.26,0.51,-0.03
Net Cash Per Share,-0.06,0.02,0.11,0.13,0.11,-0.02
Working Capital,-1,-0.01,0.16,0.27,0.54,0.02
Book Value Per Share,-0.40,-0.33,-1.19,-1.16,-0.43,0.02
