Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30
Cash & Equivalents,14.4,14.81,15.75,15.7,4.79,9.58,8.58,6.1,2.18,7.11,0.3
Short-Term Investments,18.23,15.13,15.9,31.04,2.26,-,2.01,0,0,-,0
Cash & Cash Equivalents,32.63,29.94,31.65,46.73,7.05,9.58,10.59,6.1,2.18,7.11,0.3
Cash Growth,362.80%,212.43%,198.81%,666.03%,223.70%,34.80%,3403.35%,-,-,-,-
Receivables,33.88,50.89,88.01,23.76,8.81,2.57,1.94,3.56,0,6.57,0
Other Current Assets,2.53,3.62,8.74,2.2,0.75,-,0.51,-7.68,0,-,0
Total Current Assets,69.04,84.45,128.4,72.69,16.61,-,13.04,1.98,2.18,-,0.3
"Property, Plant & Equipment",14.95,15.89,17.51,10.26,0.03,0.05,0.07,0.08,0,0.11,0
Long-Term Investments,1.44,1.49,1.55,1.55,0,-,0,115.93,115.26,-,0
Goodwill and Intangibles,0,0,0,0.09,0,0.09,0.07,0.06,0,0.06,0
Other Long-Term Assets,1.21,1.4,1.46,1.93,6.26,-,0.23,-0.14,0,-,0
Total Long-Term Assets,17.59,18.79,20.52,13.83,6.29,-,0.38,115.93,115.26,-,0
Total Assets,86.63,103.24,148.92,86.52,22.91,15.07,13.42,30,117.44,15.67,0.3
Accounts Payable,48.94,60.35,89.22,38.79,9.22,4.82,3.88,4.55,0,9.88,0
Current Debt,0.71,0.65,0.11,0,0.29,-,1.54,0,0,-,0
Other Current Liabilities,4.22,1.81,2.18,1.17,1.81,-,0.8,-4.47,0.04,-,0.04
Total Current Liabilities,53.87,62.8,91.51,39.96,11.32,-,6.23,0.08,0.04,-,0.04
Long-Term Debt,4.68,0.92,0,0,0.82,-,0,0,0,-,0
Other Long-Term Liabilities,0.68,1.18,1.94,3.88,1.47,-,0,97.3,97.3,-,0
Total Long-Term Liabilities,5.36,2.11,1.94,3.88,2.29,-,0,97.3,97.3,-,0
Total Liabilities,59.22,64.91,93.45,43.84,13.6,5.44,6.23,25.47,97.34,9.9,0.04
Total Debt,5.39,1.57,0.11,0,1.11,0.62,1.54,20.92,0,0,0
Debt Growth,385.80%,152.68%,-92.86%,-,-,-,-,-,-,-,-
Common Stock,63.67,59.96,57.99,55.81,12.27,7.65,7.61,2.95,20.46,9.48,0.37
Retained Earnings,-34.49,-23.21,-2.93,-13.05,-2.95,2,-0.38,1.71,-0.37,-3.6,-0.11
Comprehensive Income,-0.3,-0.24,-0.06,-0.04,-0.02,-0.02,-0.04,-0.13,0,-0.11,0
Shareholders' Equity,28.87,36.52,55,42.72,9.3,9.63,7.19,4.53,20.1,5.77,0.26
Total Liabilities and Equity,88.09,101.43,148.45,86.55,22.91,15.07,13.42,30,117.44,15.67,0.3
Net Cash / Debt,27.24,28.37,31.54,46.73,5.94,8.96,9.05,-14.82,2.18,7.11,0.3
Net Cash / Debt Growth,358.51%,216.57%,248.46%,-,172.75%,26.06%,2893.70%,-,-,-,-
Net Cash Per Share,-,-,-,-,-,-,1.28,-4.25,0.63,1.00,-
Working Capital,15.18,21.64,36.89,32.73,5.3,-,6.82,1.91,2.14,-,0.26
Book Value Per Share,0.63,0.90,1.83,1.60,0.92,1.29,1.01,1.30,5.85,0.81,0.10
