Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.32,0.61,0.9,1.25,1.32,0.36
Short-Term Investments,142.74,140.17,139.56,139.37,0,0
Cash & Cash Equivalents,143.06,140.78,140.45,140.61,1.32,0.36
Cash Growth,10719.42%,38669.00%,-,-,-,-
Other Current Assets,0.16,0.25,0.25,0.29,0.34,0.04
Total Current Assets,143.21,141.03,140.7,140.9,1.66,0.4
Long-Term Investments,0,0,0,0,139.38,0
Total Long-Term Assets,0,0,0,0,139.38,0
Total Assets,143.21,141.03,140.7,140.9,141.04,0.4
Current Debt,1.38,0,0,0,0,0
Other Current Liabilities,4.9,4.88,4.85,4.95,0,0
Total Current Liabilities,6.28,4.88,4.85,4.95,0,0
Long-Term Debt,0,0,0,0,0,0.37
Other Long-Term Liabilities,0,0,0,0,4.83,0
Total Long-Term Liabilities,0,0,0,0,4.83,0.37
Total Liabilities,6.28,4.88,4.85,4.95,4.83,0.37
Total Debt,1.38,0,0,0,0,0.37
Common Stock,0,0,0,0,0,0.05
Retained Earnings,-5.61,-3.82,-3.52,-3.43,-3.17,-0.02
Shareholders' Equity,-5.61,-3.82,-3.52,-3.42,-3.17,0.03
Total Liabilities and Equity,0.68,1.06,1.32,1.52,1.66,0.4
Net Cash / Debt,141.68,140.78,140.45,140.61,1.32,-0.01
Net Cash / Debt Growth,10615.05%,-,-,-,-,-
Net Cash Per Share,7.80,7.74,7.74,7.75,0.20,-0.00
Working Capital,136.93,136.16,135.86,135.96,1.66,0.4
Book Value Per Share,-0.31,-0.21,-0.19,-0.19,-0.48,0.01
