Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,140.39,80.42,37.06,250.88,313.79,183.4,324,308.67,318.02,146.91,205.52,199.71,174.87,114.82,55.08,79.53,38.35,34.72,40.73,68.7,-,52.31
Cash & Cash Equivalents,140.39,80.42,37.06,250.88,313.79,183.4,324,308.67,318.02,146.91,205.52,199.71,174.87,114.82,55.08,79.53,38.35,34.72,40.73,68.7,0,52.31
Cash Growth,-55.26%,-56.15%,-88.56%,-18.72%,-1.33%,24.83%,57.65%,54.55%,81.86%,27.94%,273.14%,151.12%,355.97%,230.69%,35.24%,15.75%,-,-33.62%,-,-,-,-
"Property, Plant & Equipment",5.37,3.39,3.21,3.32,2.98,3.28,3.69,4.13,4,4.46,5.02,5.54,5.64,6.09,6.67,7.2,7.74,2.98,2.84,2.8,-,2.6
Total Assets,"2,245.29","2,123.66","2,009.36","2,154.85","2,122.45","2,055.3","2,169.56","2,151.85","2,091.85","1,876.59","1,879.03","1,822.37","1,507.85","1,427.61","1,311.41","1,234.16","1,123.75","1,105.06","1,072.91","1,067.79",-,"1,026.01"
Total Liabilities,"2,010.77","1,899.64","1,795.35","1,947.53","1,920.96","1,857.4","1,980.48","1,974.65","1,924.85","1,717.28","1,729.65","1,680.26","1,371.77","1,294.28","1,183.58","1,111.04","1,005.2",990.49,966.25,980.79,-,945.89
Total Debt,44.06,119.06,34.06,34.06,34.06,34.06,34.06,34.06,34.06,36.02,39.74,42.95,44.32,47.65,50.97,54.3,18.41,22.73,43.63,29.82,-,30.62
Debt Growth,29.36%,249.54%,-,-,-,-5.43%,-14.28%,-20.69%,-23.14%,-24.41%,-22.04%,-20.90%,140.72%,109.66%,16.84%,82.07%,-,-25.79%,-,-,-,-
Common Stock,57.42,58.33,56.67,55.9,55.37,54.45,52.26,51.63,51.18,50.74,50,51.19,50.92,51.7,50.72,50.21,49.96,49.46,45.04,28.41,-,27.17
Retained Earnings,191.06,182.44,174.92,164.75,153.95,144.53,135.91,125.43,115.81,106.85,97.58,89.15,84.39,81.62,77.1,72.94,68.92,65.7,62.48,59.33,-,53.2
Comprehensive Income,-13.96,-16.75,-17.58,-13.34,-7.82,-1.08,0.91,0.15,0.02,1.72,1.79,1.77,0.77,0.01,0.01,-0.03,-0.33,-0.6,-0.87,-0.75,-,-0.25
Shareholders' Equity,234.52,224.02,214.01,207.32,201.49,197.9,189.08,177.2,167,159.31,149.38,142.11,136.08,133.33,127.83,123.12,118.55,114.56,106.66,86.99,-,80.12
Total Liabilities and Equity,"2,245.29","2,123.66","2,009.36","2,154.85","2,122.45","2,055.3","2,169.56","2,151.85","2,091.85","1,876.59","1,879.03","1,822.37","1,507.85","1,427.61","1,311.41","1,234.16","1,123.75","1,105.06","1,072.91","1,067.79",-,"1,026.01"
Net Cash / Debt,96.33,-38.65,3,216.82,279.72,149.33,289.94,274.6,283.96,110.89,165.78,156.77,130.55,67.18,4.11,25.23,19.94,12,-2.9,38.88,0,21.69
Net Cash / Debt Growth,-65.56%,-,-98.97%,-21.04%,-1.49%,34.66%,74.89%,75.17%,117.51%,65.07%,3937.48%,521.34%,554.72%,459.92%,-,-35.11%,-,-44.68%,-,-,-,-
Net Cash Per Share,6.75,-2.67,0.21,15.15,19.51,10.67,20.38,19.38,20.43,8.09,12.02,11.35,9.27,4.76,0.29,1.81,1.44,0.87,-0.24,3.24,-,1.88
Book Value Per Share,16.56,15.92,15.25,14.80,14.40,14.26,13.71,12.87,12.14,11.64,10.83,10.29,9.81,9.67,9.31,8.97,8.65,8.44,9.10,7.49,-,7.03
