Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31
Cash & Equivalents,1.91,3.02,4.4,5.98,4.62,6.14,6.83,10.02,0.53,0.5,-,-,0.49,-,0.1
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,-,-,0,-,0
Cash & Cash Equivalents,1.91,3.02,4.4,5.98,4.62,6.14,6.84,10.02,0.53,0.51,0,0,0.5,0,0.1
Cash Growth,-58.67%,-50.73%,-35.68%,-40.37%,766.27%,1114.78%,-,-,7.67%,-,-,-,-,-,-
Receivables,1.11,1.06,1.13,1.18,1.03,0.96,0.8,0.04,0.86,0.06,-,-,0.12,-,0.02
Other Current Assets,0.25,0.4,0.58,0.11,2.33,0.23,0.13,0.04,0.04,0.04,-,-,0.03,-,0
Total Current Assets,3.27,4.49,6.1,7.27,7.98,7.33,7.76,10.1,1.44,0.6,-,-,0.65,-,0.12
"Property, Plant & Equipment",1.37,1.53,1.59,1.43,1.2,1.23,1.26,0.71,0.51,0.91,-,-,1.16,-,0.06
Long-Term Investments,0.9,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,-,-,0,-,0
Goodwill and Intangibles,32.87,47.85,48.24,41.14,17.13,16.3,16.5,14.67,14.74,15.23,-,-,15.18,-,2.31
Other Long-Term Assets,0.02,0.02,0.02,0.07,0.02,0.02,0.02,0,0,0.2,-,-,0,-,0
Total Long-Term Assets,35.16,50.75,51.2,44,19.69,18.9,19.13,16.73,16.61,17.69,-,-,16.35,-,2.37
Total Assets,38.43,55.23,57.3,51.27,27.68,26.23,26.89,26.82,18.04,18.29,-,-,16.99,-,2.49
Accounts Payable,2.93,2.46,2.38,1.12,2.84,0.89,0.4,0.31,1.21,0.41,-,-,0.16,-,0.12
Current Debt,1.79,1.87,1.84,1.35,1.19,1.17,1.16,1.72,5.68,6.14,-,-,4.51,-,1.05
Other Current Liabilities,3.07,3.63,5.24,5.36,40.95,0,0,0,0,0,-,-,0,-,0
Total Current Liabilities,7.79,7.97,9.47,7.84,44.98,2.06,1.56,2.03,6.88,6.55,-,-,4.67,-,1.17
Long-Term Debt,14.73,15.15,14.2,8.07,8.24,8.56,8.84,8.05,8.29,8.89,-,-,8.83,-,1.62
Other Long-Term Liabilities,6.99,3.74,11.7,24.11,0.52,2.84,3.28,2.63,2.93,2.63,-,-,2.85,-,0
Total Long-Term Liabilities,21.72,18.9,25.9,32.18,8.76,11.4,12.12,10.68,11.22,11.52,-,-,11.68,-,1.62
Total Liabilities,29.52,26.87,35.37,40.02,53.74,13.46,13.68,12.72,18.11,18.07,-,-,16.35,-,2.79
Total Debt,16.52,17.03,16.04,9.43,9.43,9.73,9.99,9.77,13.97,15.02,-,-,13.34,-,2.67
Debt Growth,75.15%,75.01%,60.50%,-3.54%,-32.47%,-35.24%,-,-,4.73%,-,-,-,-,-,-
Common Stock,35.9,35.87,35.55,35.37,7.39,27.61,27.46,27.23,12.3,12.36,-,-,9.43,-,4.99
Retained Earnings,-26.99,-7.5,-13.62,-24.12,-33.46,-14.85,-14.25,-13.12,-12.36,-12.13,-,-,-8.78,-,-5.29
Shareholders' Equity,8.91,28.37,21.93,11.25,-26.07,12.76,13.21,14.11,-0.06,0.22,-,-,0.64,-,-0.3
Total Liabilities and Equity,38.43,55.23,57.3,51.27,27.68,26.23,26.89,26.82,18.04,18.29,-,-,16.99,-,2.49
Net Cash / Debt,-14.61,-14,-11.64,-3.45,-4.81,-3.59,-3.16,0.25,-13.44,-14.52,0,0,-12.84,0,-2.57
Net Cash Per Share,-15.96,-12.06,-8.32,-2.19,-6.59,-4.92,-4.33,0.49,-47.52,-52.32,-,-,-66.95,-,-
Working Capital,-4.53,-3.48,-3.37,-0.57,-37,5.27,6.2,8.06,-5.45,-5.95,-,-,-4.02,-,-1.05
Book Value Per Share,9.73,24.42,17.55,9.26,-35.67,17.50,18.13,28.06,-0.22,0.80,-,-,3.35,-,-
