Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Cash & Equivalents,26.18,30.39,48.37,33.55,22.68,30.48,26.69,36.53,31.96,26.24,21.34,55.81,11.95,15.26,11.55,9.01,18.77,19.01,18.6,19.55,6.94,5.37,-,-,-,4.08
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
Cash & Cash Equivalents,26.18,30.39,48.37,33.55,22.68,30.48,26.69,36.53,31.96,26.24,21.34,55.81,11.95,15.26,11.55,9.01,18.77,19.01,18.6,19.55,6.94,5.37,0,0,0,4.08
Cash Growth,15.43%,-0.30%,81.22%,-8.15%,-29.03%,16.17%,25.10%,-34.55%,167.41%,71.93%,84.75%,519.65%,-36.33%,-19.73%,-37.91%,-53.94%,170.39%,254.29%,-,-,-,31.50%,-,-,-,-
Receivables,33.58,43.21,42.33,41.06,40.59,44.22,34.95,32.14,28.7,38.88,29.23,24.77,18.99,20.5,6.26,6.34,5.61,4.77,4.33,4.2,4.03,3.19,-,-,-,2.71
Other Current Assets,-4.26,-19.5,-22.55,-23.49,-21.08,-24.4,-19.25,-15.96,-12.85,-14.47,-11.12,-8.22,-5.72,-9.03,-0.71,-1.3,4.89,-0.94,-0.98,-0.9,2.27,-0.84,-,-,-,-0.7
Total Current Assets,55.49,54.09,68.14,51.11,42.19,50.31,42.39,52.71,47.8,50.65,39.45,72.36,25.22,26.73,17.1,14.05,29.27,22.84,21.94,22.85,13.24,7.72,-,-,-,6.1
"Property, Plant & Equipment",79.29,79.43,77.75,68.99,62.68,57.59,57.18,56.83,40.7,39.16,12.37,12.35,10,9.54,9.61,8.42,8.44,7.58,6.94,6.93,6.87,6.85,-,-,-,1.44
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.01
Goodwill and Intangibles,5.17,4.49,4.33,3.75,3.4,2.8,2.26,1.76,0.64,0.55,0.55,0.49,0.48,0.45,0.44,0.41,0.27,0.25,0.25,0.24,0.24,0.22,-,-,-,0.05
Other Long-Term Assets,181.63,183.35,173.76,167.44,167,159.6,145.31,126.72,103.46,95.48,67.59,57.39,40.2,27.91,17.27,15.21,10.43,4.14,2.06,1.99,1.86,1.93,-,-,-,1.1
Total Long-Term Assets,266.09,267.26,255.85,240.18,233.08,219.99,204.75,185.3,144.8,135.19,80.51,70.23,50.67,37.9,27.32,24.04,19.13,11.96,9.26,9.17,8.96,8.99,-,-,-,2.6
Total Assets,321.58,321.35,323.99,291.29,275.27,270.29,247.14,238,192.61,185.84,119.95,142.59,75.89,64.63,44.42,38.09,48.4,34.8,31.2,32.02,22.2,16.71,-,-,-,8.69
Accounts Payable,15.83,17.6,15.76,8.18,8.23,14.95,11.82,9.44,8.34,9.42,6.59,5.64,5.63,5.96,5.08,3.76,4.11,4.35,3.55,4.92,5.54,3.18,-,-,-,1.73
Deferred Revenue,5.39,6.03,6.22,6.36,6.21,6.05,5.65,5.19,4.74,4.23,3.73,3.37,3.01,2.77,0.33,0.5,0.33,0.53,0.55,0.51,0.78,1.06,-,-,-,0.76
Current Debt,15.72,13.5,13.03,11.65,10.63,9.27,8.15,9.36,7.36,6.7,3,2.5,2,4,3.5,3,2.75,2.5,2.25,0.5,0.5,0.5,-,-,-,0.3
Other Current Liabilities,0,0,0,0,0,0,0,0,0,0,0.88,0.88,0.7,0.68,0.63,0.5,15.49,0.43,0.5,0.42,0.46,1.03,-,-,-,0.69
Total Current Liabilities,36.94,37.14,35.01,26.19,25.08,30.27,25.62,23.98,20.44,20.36,14.2,12.39,11.34,13.41,9.55,7.75,22.67,7.81,6.84,6.35,7.27,5.77,-,-,-,3.48
Long-Term Debt,147.14,151.66,177.71,172.52,169.53,165.7,166.76,125.09,111.78,112.34,80.33,81.27,44.38,42.16,43.36,44.55,45.25,45.95,46.64,48,48.08,48.16,-,-,-,29.07
Other Long-Term Liabilities,163.49,166.18,156.93,151.32,148.56,143.51,130.45,116.43,96.69,91.54,74.86,66.12,50.15,40.06,19.37,16.33,12.33,6.24,4.23,4.34,4.22,3.92,-,-,-,0.39
Total Long-Term Liabilities,310.63,317.84,334.64,323.84,318.09,309.21,297.21,241.52,208.47,203.88,155.19,147.39,94.53,82.23,62.73,60.89,57.58,52.19,50.88,52.35,52.3,52.07,-,-,-,29.46
Total Liabilities,347.57,354.98,369.65,350.03,343.17,339.48,322.82,265.5,228.91,224.24,169.39,159.78,105.88,95.64,72.27,68.64,80.25,60,57.72,58.7,59.57,57.84,-,-,-,32.93
Total Debt,162.86,165.16,190.74,184.17,180.16,174.96,174.91,134.45,119.14,119.04,83.33,83.77,46.38,46.16,46.86,47.55,48,48.45,48.89,48.5,48.58,48.66,-,-,-,29.37
Debt Growth,-9.61%,-5.60%,9.05%,36.98%,51.22%,46.97%,109.89%,60.49%,156.87%,157.89%,77.85%,76.16%,-3.37%,-4.72%,-4.17%,-1.96%,-1.19%,-0.43%,-,-,-,65.65%,-,-,-,-
Common Stock,77.94,71.24,67.61,59.31,52.96,46.65,42.19,36.95,32.66,29.74,24.97,21.71,16.25,14.8,14.15,85.58,86.85,12.26,89.62,89.4,-37.37,-41.13,-,-,-,-24.24
Retained Earnings,-60.75,-60.57,-61.28,-63.29,-63.41,-60.67,-61.05,-33.53,-35.01,-34.61,-37.1,-20.53,-23.97,-23.81,-22.35,-9.17,-10.07,-20.76,-6.67,-7.56,-,0,-,-,-,-
Shareholders' Equity,17.19,10.67,6.33,-3.98,-10.45,-14.02,-18.86,3.42,-2.35,-4.88,-12.14,1.19,-7.71,-9.01,-8.2,76.42,76.78,-8.5,82.95,81.84,-37.37,-41.13,-,-,-,-24.24
Total Liabilities and Equity,364.76,365.65,375.98,346.06,332.72,325.46,303.96,268.92,226.56,219.37,157.25,160.96,98.16,86.63,64.08,145.06,157.03,51.5,140.67,140.54,22.2,16.71,-,-,-,8.69
Net Cash / Debt,-136.68,-134.77,-142.37,-150.62,-157.49,-144.49,-148.21,-97.92,-87.19,-92.81,-62,-27.97,-34.43,-30.9,-35.31,-38.55,-29.23,-29.44,-30.29,-28.95,-41.64,-43.29,0,0,0,-25.29
Net Cash Per Share,-5.89,-5.91,-6.60,-7.09,-7.78,-6.71,-6.99,-4.81,-4.74,-4.70,-3.28,-1.56,-2.21,-1.86,-2.15,-2.40,-1.91,-2.16,-2.07,-2.14,-,-,-,-,-,-
Working Capital,18.55,16.96,33.13,24.92,17.11,20.04,16.78,28.72,27.37,30.29,25.25,59.97,13.88,13.32,7.56,6.3,6.6,15.03,15.1,16.5,5.97,1.95,-,-,-,2.62
Book Value Per Share,0.74,0.48,0.30,-0.19,-0.52,-0.70,-0.96,0.18,-0.13,-0.28,-0.70,0.07,-0.50,-0.59,-0.54,5.14,5.40,-0.62,6.13,6.05,-1.07,-3.04,-,-,-,-
