Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Cash & Equivalents,263.33,371.71,370.45,483.97,770.99,757.51,998.79,788.41,604.67,538.01,377.57,492.4,284.9,372.06,289.4,266.78,276.52,382.07,281.64,245.47,280.52,326.8,349.18,-,-,382.7,-,435.3
Cash & Cash Equivalents,263.33,371.71,370.45,483.97,770.99,757.51,998.79,788.41,604.67,538.01,377.57,492.4,284.9,372.06,289.4,266.78,276.52,382.07,281.64,245.47,280.52,326.8,349.18,0,0,382.7,0,435.3
Cash Growth,-65.84%,-50.93%,-62.91%,-38.61%,27.51%,40.80%,164.53%,60.12%,112.24%,44.60%,30.47%,84.57%,3.03%,-2.62%,2.75%,8.68%,-1.43%,16.91%,-19.34%,-,-,-14.61%,-,-,-,-,-,-
"Property, Plant & Equipment",124.72,126.8,66.59,67.33,67.52,63.71,70.76,72.5,73.45,74.44,74.63,64.81,62.82,63.8,64.05,63.7,64.33,51.62,52.03,52.61,53.14,53.61,54.13,-,-,57.51,-,60.93
Goodwill and Intangibles,633.93,640.79,84.14,84.3,84.49,238.3,84.65,84.8,84.94,85.12,85.25,85.45,85.65,85.89,86.06,86.27,86.49,86.73,86.99,87.23,87.47,87.72,87.98,-,-,88.74,-,89.83
Total Assets,"10,604.72","10,900.44","4,271.83","4,322.3","4,445.98","7,104.95","4,209.12","4,066.53","4,028.64","3,949.22","3,814.67","3,901.73","3,425.65","3,478.54","3,431.59","3,379.51","3,283.46","3,279.1","3,190.45","3,100.76","3,074.79","3,081.08","2,989.84",-,-,"2,951.52",-,"2,882.62"
Total Liabilities,"9,158.5","9,517.26","3,770.41","3,795.62","3,906.25","6,288.49","3,644.53","3,510.31","3,483.29","3,402.77","3,273.75","3,364.37","2,888.78","2,942.82","2,906.37","2,866.35","2,784.81","2,791.47","2,718.6","2,639.57","2,623.22","2,634.87","2,608.72",-,-,"2,593.89",-,"2,538.31"
Total Debt,348.36,173.29,13.75,14.17,63.75,198.8,64.56,65.59,66.06,66.45,67.91,69.48,66.77,66.19,136.72,105.61,16.73,4.07,8.08,58.17,7.59,8.25,33.32,-,-,36.75,-,39.82
Debt Growth,446.44%,-12.83%,-78.70%,-78.40%,-3.49%,199.19%,-4.94%,-5.60%,-1.06%,0.39%,-50.33%,-34.21%,299.01%,1526.67%,1592.72%,81.54%,120.56%,-50.68%,-75.76%,-,-,-77.55%,-,-,-,-,-,-
Common Stock,"1,226.13","1,223.29",308.44,320.31,322.27,531.13,321.15,321.28,320.72,325.22,327.89,327.99,327.43,332.26,331.79,331.19,330.63,329.97,329.65,329.24,328.64,328.25,263.36,-,-,263.29,-,270.44
Retained Earnings,333.37,303.15,262.8,253.18,244.67,267.09,241.01,229.79,221.28,214.46,206.68,202.75,203.08,201.08,190.96,180.4,168.6,160.63,147.77,136,126.21,118.35,117.58,-,-,95.27,-,72.46
Comprehensive Income,-113.28,-143.26,-69.82,-46.81,-27.22,18.24,2.44,5.16,3.35,6.78,6.35,6.61,6.36,2.39,2.47,1.57,-0.58,-2.98,-5.57,-4.04,-3.28,-0.39,0.18,-,-,-0.92,-,1.41
Shareholders' Equity,"1,446.22","1,383.18",501.43,526.68,539.72,816.47,564.59,556.23,545.35,546.45,540.92,537.36,536.87,535.72,525.22,513.16,498.65,487.63,471.85,461.2,451.57,446.21,381.12,-,-,357.64,-,344.31
Total Liabilities and Equity,"10,604.72","10,900.44","4,271.83","4,322.3","4,445.98","7,104.95","4,209.12","4,066.53","4,028.64","3,949.22","3,814.67","3,901.73","3,425.65","3,478.54","3,431.59","3,379.51","3,283.46","3,279.1","3,190.45","3,100.76","3,074.79","3,081.08","2,989.84",-,-,"2,951.52",-,"2,882.62"
Net Cash / Debt,-85.03,198.41,356.7,469.8,707.24,558.71,934.23,722.82,538.61,471.56,309.66,422.92,218.13,305.88,152.68,161.17,259.78,378,273.56,187.29,272.93,318.55,315.86,0,0,345.96,0,395.48
Net Cash / Debt Growth,-,-64.49%,-61.82%,-35.00%,31.31%,18.48%,201.70%,70.91%,146.93%,54.17%,102.82%,162.41%,-16.03%,-19.08%,-44.19%,-13.95%,-4.82%,18.66%,-13.39%,-,-,-7.92%,-,-,-,-,-,-
Book Value Per Share,27.30,26.45,20.45,21.40,21.93,33.22,22.96,22.62,22.17,22.00,21.68,21.54,21.31,20.59,20.19,19.74,19.18,18.78,18.17,17.77,17.41,17.82,15.58,-,-,14.62,-,-
