Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,8.63,8.41,7.28,6.38,6.07,0.33,0.94,0.03
Cash & Cash Equivalents,8.63,8.39,7.28,6.38,6.07,0.33,0.94,0.03
Cash Growth,42.09%,2440.64%,675.25%,25437.26%,-,-,-,-
Receivables,1.44,6.05,44.22,0.76,0.6,0,0,0
Other Current Assets,0.18,-4.22,-38.28,0,0,0.33,0.35,0
Total Current Assets,10.25,10.23,13.22,7.15,6.67,0.66,1.29,0.03
"Property, Plant & Equipment",1.18,1.07,0.02,0.01,0.01,0,0,0
Goodwill,19.27,19.27,0,0,0,0,0,0
Intangible Assets,10.27,10.62,0,0,0,0,0,0
Other Long-Term Assets,48.16,58.16,85.64,0,0,117.31,117.29,0.08
Total Long-Term Assets,78.87,89.11,85.66,0.01,0.01,117.31,117.29,0.08
Total Assets,89.12,99.34,98.88,9.1,8.16,117.97,118.58,0.1
Accounts Payable,2.25,59.8,59.21,0.12,0.04,0,0,0
Deferred Revenue,0,14.36,0.01,0,0,0,0,0
Current Debt,1.3,0.02,0,0,0,0,0.09,0
Other Current Liabilities,15.7,-24.61,-17.76,0,0,0.15,0.44,0.08
Total Current Liabilities,19.25,49.57,41.46,0.12,0.04,0.15,0.53,0.08
Long-Term Debt,14.25,1.01,0,0,0,0,0,0
Other Long-Term Liabilities,11.63,43.65,26.72,0.12,0.04,6.73,10.52,0
Total Long-Term Liabilities,25.88,44.66,26.72,0.12,0.04,6.73,10.52,0
Total Liabilities,45.12,94.23,68.18,0.79,0.26,6.88,11.05,0.08
Total Debt,15.55,1.03,0,0,0,0,0.09,0
Common Stock,0,0,0,0,0,117.3,102.53,0
Retained Earnings,-46.7,-39.7,0.24,0,0,-6.21,-1.74,-0
Shareholders' Equity,44,5.11,30.7,8.31,7.9,-6.21,107.53,0.02
Total Liabilities and Equity,89.12,99.34,98.88,9.1,8.16,0.67,118.58,0.1
Net Cash / Debt,-6.92,7.38,7.28,6.38,6.07,0.33,0.85,0.03
Net Cash / Debt Growth,-,2134.66%,760.22%,25437.26%,-,-,-,-
Net Cash Per Share,-0.27,0.39,0.35,0.34,0.32,0.02,0.06,0.00
Working Capital,-39.34,-28.24,7.03,6.63,0.51,0.76,-0.05,-
Book Value Per Share,1.71,0.27,1.64,0.44,0.42,-0.33,36.68,0.00
