Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,87.46,193.27,200.46,110.18,158.28,83.87,193.79,67.16,139.6,107.35,-,-,-,60.11
Short-Term Investments,-,-,-,-,-,122.18,28.58,15.47,16.9,45.85,-,-,-,14.42
Cash & Cash Equivalents,87.46,193.27,200.46,110.18,158.28,206.05,222.37,82.63,156.5,153.2,0,0,0,74.53
Cash Growth,-44.75%,-6.21%,-9.85%,33.35%,1.14%,34.50%,-,-,-,105.55%,-,-,-,-
Receivables,61.19,53.8,52.9,34.19,56.03,35.38,33.67,22.31,22.98,32.91,-,-,-,32.5
Other Current Assets,-,-,-,-,-,40.32,5.81,5.5,3.36,5.18,-,-,-,0.49
Total Current Assets,-,-,-,-,-,281.75,261.84,110.44,182.85,191.3,-,-,-,107.52
"Property, Plant & Equipment",0,0,0,0,0,0,4.2,3.94,4.03,4.16,-,-,-,5.08
Long-Term Investments,-,-,-,-,-,48.37,42.85,283.41,236.97,16.02,-,-,-,141.59
Goodwill and Intangibles,388.01,60.88,61.36,61.84,62.41,13.27,13.62,13.98,14.35,14.74,-,-,-,16.39
Other Long-Term Assets,-,-,-,-,-,502.9,364.47,0.2,0.31,199.8,-,-,-,3.01
Total Long-Term Assets,-,-,-,-,-,564.55,425.14,301.53,255.65,234.71,-,-,-,166.06
Total Assets,"1,371.94","1,154.84","1,179.42","1,042.07",982.64,846.29,686.98,411.97,438.5,426.01,-,-,-,273.58
Accounts Payable,74.61,76.91,82.73,76.52,77.06,59.72,54.19,12.44,7.32,11.14,-,-,-,7.32
Deferred Revenue,4.13,3.45,5.27,3.52,4.87,3.5,4.35,3.46,3.73,3.7,-,-,-,1.32
Current Debt,-,-,-,-,-,12,12.01,15.44,14.86,16.46,-,-,-,34.97
Other Current Liabilities,-,-,-,-,-,24.9,3.64,60.72,46.99,43.05,-,-,-,34.87
Total Current Liabilities,-,-,-,-,-,100.12,74.18,92.05,72.9,74.34,-,-,-,78.47
Long-Term Debt,-,-,-,-,-,148.14,148.04,147.93,147.82,147.71,-,-,-,2.08
Other Long-Term Liabilities,-,-,-,-,-,48.29,46.7,2.35,2.42,2.49,-,-,-,2.71
Total Long-Term Liabilities,-,-,-,-,-,196.43,194.73,150.28,150.24,150.2,-,-,-,4.79
Total Liabilities,730.34,508.52,516.41,361.07,344.21,296.56,268.91,242.33,223.13,224.54,-,-,-,83.26
Total Debt,534.08,305.93,306.95,160.72,159.98,160.15,160.04,163.36,162.68,164.17,-,-,-,37.05
Debt Growth,233.84%,91.03%,91.79%,-1.62%,-1.66%,-2.45%,-,-,-,343.14%,-,-,-,-
Common Stock,74.28,65.09,62.39,62.11,60.4,54.62,53.88,157.25,202.17,186.09,-,-,-,174.47
Retained Earnings,10.72,14.23,22.5,26.36,21.04,17.18,10.3,-,-,0,-,-,-,-
Comprehensive Income,-0.13,-0.22,-0.19,-0.03,-0.01,-0.02,-0,0.01,0.01,0,-,-,-,0
Shareholders' Equity,84.87,79.1,84.71,88.45,81.42,71.79,64.18,157.26,202.17,186.1,-,-,-,174.47
Total Liabilities and Equity,815.21,587.61,601.11,449.52,425.63,368.34,333.08,399.59,425.31,410.64,-,-,-,257.72
Net Cash / Debt,-446.62,-112.66,-106.49,-50.54,-1.7,45.91,62.33,-80.74,-6.17,-10.97,0,0,0,37.48
Net Cash Per Share,-3.61,-4.62,-4.41,-2.10,-0.07,1.98,2.80,-,-,-,-,-,-,-
Working Capital,-,-,-,-,-,181.62,187.67,18.38,109.95,116.96,-,-,-,29.05
Book Value Per Share,3.39,3.25,3.51,3.68,3.52,3.09,2.88,1.43,1.84,1.70,-,-,-,-
