Metrics,2023-03-31,2022-12-31,2022-09-30,2022-03-31,2021-12-31,2021-09-30,2020-12-31
Cash & Equivalents,105.25,125.01,106.09,-,107.27,-,113.62
Cash & Cash Equivalents,105.25,125.01,106.09,0,107.27,0,113.62
Cash Growth,-1.89%,-,-6.63%,-,-,-,-
Receivables,749.46,720.57,703.39,-,648.49,-,653.19
Goodwill and Intangibles,89.5,89.87,90.24,-,91.34,-,84.01
Total Assets,"2,621.33","2,363.44","2,308.41",-,"2,118.21",-,"1,948.63"
Accounts Payable,226.08,162.2,184.61,-,160.68,-,164.35
Deferred Revenue,698.26,600.15,653.53,-,501.26,-,489.24
Total Liabilities,"2,114.18","1,941.78","1,908.59",-,"1,692.13",-,"1,555.11"
Total Debt,128.63,128.61,128.59,-,128.53,-,128.45
Debt Growth,0.08%,-,0.11%,-,-,-,-
Common Stock,635.03,570.56,569.96,-,566.25,-,474.14
Retained Earnings,-92.14,-105.42,-125.84,-,-144.81,-,-183.13
Comprehensive Income,-35.74,-43.49,-44.31,-,4.64,-,12.22
Shareholders' Equity,507.15,421.66,399.82,-,426.08,-,303.22
Total Liabilities and Equity,"2,621.33","2,363.44","2,308.41",-,"2,118.21",-,"1,858.33"
Net Cash / Debt,-23.38,-3.6,-22.5,0,-21.26,0,-14.83
Net Cash Per Share,-0.63,-0.11,-1.37,-,-0.65,-,-
Book Value Per Share,15.44,24.98,24.28,-,26.07,-,18.70
