Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Cash & Equivalents,297.62,240.91,379.22,573.84,542.83,463.64,516.96,511.73,0.48,539.36,0.97,1.26,1.49,1.59,1.62,1.78,0.1,0.03
Cash & Cash Equivalents,297.62,240.91,379.22,573.84,542.83,463.64,516.96,511.73,0.48,539.36,0.97,1.26,1.49,1.59,1.62,1.78,0.1,0.03
Cash Growth,-45.17%,-48.04%,-26.64%,12.14%,112382.98%,-14.04%,52958.91%,40460.32%,-67.66%,33826.58%,-39.81%,-29.30%,1343.93%,6259.18%,-,-,-,-
Other Current Assets,-,-,-,-,-,-,-,-,0.07,-538.5,0.05,0.08,0.11,0.06,0.1,0.14,0.12,0
Total Current Assets,-,-,-,-,-,-,-,-,0.55,0.86,1.02,1.34,1.6,1.65,1.72,1.92,0.22,0.03
"Property, Plant & Equipment",10.61,9.13,19.83,29.81,29.93,29.26,29.5,28.67,0,24.51,0,0,0,0,0,0,0,0
Long-Term Investments,-,-,-,-,-,-,-,-,293.32,293.32,293.26,293.17,293.18,292.05,290.82,289.26,0,0
Goodwill and Intangibles,287.82,297.12,438.3,575.28,589.09,602.9,"1,991.47","2,002.57",0,138.16,0,0,0,0,0,0,0,0
Other Long-Term Assets,-,-,-,-,-,-,-,-,0,-162.68,0,0,0,0,0,0,0.45,0.09
Total Long-Term Assets,-,-,-,-,-,-,-,-,293.32,293.32,293.26,293.17,293.18,292.05,290.82,289.26,0.45,0.09
Total Assets,"26,825.99","20,872.66","21,189.9","21,736.23","22,077.91","21,788.95","22,668.09","22,227.94",293.88,"19,565.16",294.28,294.51,294.78,293.71,292.54,291.18,0.68,0.11
Accounts Payable,306.72,173.73,395.64,428.77,630.95,471.51,509.8,488.74,9.92,400.06,0.37,0.03,0.16,0.09,0.08,0,0.22,0.02
Current Debt,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0.25,0
Other Current Liabilities,-,-,-,-,-,-,-,-,0.61,-398.36,0.41,0.03,0.05,0.01,0,0.17,0.2,0.07
Total Current Liabilities,-,-,-,-,-,-,-,-,10.53,1.7,0.79,0.05,0.21,0.1,0.08,0.17,0.67,0.09
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,34.6,44.54,9.19,9.19,9.19,9.19,9.19,9.19,0,0
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,34.6,44.54,9.19,9.19,9.19,9.19,9.19,9.19,0,0
Total Liabilities,"26,335.56","20,467.81","20,614.81","20,873.03","21,045.81","20,705.94","20,235.92","19,848.64",45.12,"18,770.88",9.97,9.24,9.4,9.28,9.27,9.36,0.67,0.09
Total Debt,"25,962.54","20,066.97","20,219.18","20,444.26","20,414.86","20,234.43","19,726.12","19,359.91",0,"18,370.83",0,0,0,0,0,0,0.25,0
Debt Growth,27.17%,-0.83%,2.50%,5.60%,-,10.14%,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,926.92,888.49,876.15,860.24,845.01,831.63,48.26,69.58,0,628.17,0.9,0,0,0.78,1.93,3.38,0.03,0.03
Retained Earnings,-631.24,-634.3,-577.27,-492.79,-452.11,-443.61,-48.16,-69.55,-38.75,0,4.1,5,5,4.22,3.07,1.62,-0.02,-0
Comprehensive Income,-0.21,-0.27,-0.37,-0.26,-0.1,-0.11,-0.09,-0.03,0,0.01,0,0,0,0,0,0,0,0
Shareholders' Equity,295.47,253.93,298.51,367.19,392.8,387.9,0,0,-38.75,628.18,5,5,5,5,5,5,0.01,0.02
Total Liabilities and Equity,"26,631.03","20,721.74","20,913.32","21,240.22","21,438.62","21,093.84","20,235.92","19,848.64",6.38,"19,399.06",14.97,14.24,14.4,14.28,14.27,14.36,0.68,0.11
Net Cash / Debt,"-25,664.92","-19,826.06","-19,839.96","-19,870.42","-19,872.03","-19,770.78","-19,209.15","-18,848.18",0.48,"-17,831.46",0.97,1.26,1.49,1.59,1.62,1.78,-0.15,0.03
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-67.66%,-,-39.81%,-29.30%,-,6259.18%,-,-,-,-
Net Cash Per Share,-134.86,-105.33,-315.90,-105.80,-104.89,-103.73,-320.90,-98.58,0.01,-496.18,0.03,0.04,0.04,0.04,0.05,0.05,-0.02,0.00
Working Capital,-,-,-,-,-,-,-,-,-9.97,-0.84,0.24,1.29,1.39,1.56,1.64,1.75,-0.44,-0.07
Book Value Per Share,4.62,4.02,4.75,5.89,6.46,6.49,-,-,-1.08,17.48,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.00
