Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.03,0.07,0.19,0.62,1.57,1.74,0.01,0
Cash & Cash Equivalents,0.03,0.07,0.19,0.62,1.57,1.74,0.01,0
Cash Growth,-98.26%,-95.74%,2544.65%,-,-,-,-,-
Other Current Assets,0.27,0.02,0.09,0.17,0.29,0.4,-,-
Total Current Assets,0.29,0.1,0.28,0.78,1.86,2.14,-,-
Long-Term Investments,171.44,170.01,169.25,169.02,169.01,169,-,-
Total Long-Term Assets,171.44,170.01,169.25,169.02,169.01,169,-,-
Total Assets,171.74,170.11,169.53,169.8,170.87,171.14,0.68,0.18
Accounts Payable,2.61,2.58,2.44,2.69,1.49,0.18,0.12,0.06
Current Debt,0.04,0,0,0,0,0,0,0
Other Current Liabilities,0,0,0,0,0,0,0.55,0.1
Total Current Liabilities,2.64,2.58,2.44,2.69,1.49,0.18,0.68,0.16
Other Long-Term Liabilities,6.66,7.62,7.69,9.07,18.97,14.07,0,0
Total Long-Term Liabilities,6.66,7.62,7.69,9.07,18.97,14.07,0,0
Total Liabilities,9.3,10.2,10.12,11.76,20.45,14.25,0.68,0.16
Total Debt,0.04,0,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-9,-10.11,-9.85,-10.98,-18.58,-12.11,-0.02,-0.01
Shareholders' Equity,-9,-10.11,-9.85,-10.98,-18.58,-12.11,0,0.01
Total Liabilities and Equity,0.29,0.1,0.28,0.78,1.87,2.14,0.68,0.18
Net Cash / Debt,-0.01,0.07,0.19,0.62,1.57,1.74,0.01,0
Net Cash / Debt Growth,-,-95.74%,2544.65%,-,-,-,-,-
Net Cash Per Share,-0.00,0.00,0.01,0.03,0.12,0.10,0.00,-
Working Capital,-2.35,-2.49,-2.16,-1.91,0.38,1.96,-,-
Book Value Per Share,-0.43,-0.48,-0.47,-0.52,-1.39,-0.70,0.00,0.00
