Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
Cash & Equivalents,72.14,81.45,81.19,86.66,63.55,72.45,74.76,66.44,69.01,82.67,105.2,102.69,75.58,53.25,48.38,53.32,52.56,59.44,75.66,53.26,49.96,45.56,55.67,50.97,53.27,93.84,89.69,97.78,134.49,55.96,31.87,28.35,30.86,32.93,-,-,-,0.6,0
Short-Term Investments,0.21,0.3,0.35,0.33,0.5,0.58,0.64,1.24,1.07,0.29,0.16,0.37,0.34,1.2,0,0,0,0,0,0,0,0,0,0,0.02,0.09,7.15,3.15,2.23,81.07,116.18,138.03,2.98,0,-,-,-,0,0
Cash & Cash Equivalents,72.35,81.75,81.53,86.99,64.05,73.03,75.4,67.68,70.08,82.96,105.36,103.07,75.92,54.44,48.38,53.32,52.56,59.44,75.66,53.26,49.96,45.56,55.67,50.97,53.29,93.93,96.85,100.93,136.71,137.03,148.04,166.38,33.84,32.93,0,0,0,0.6,0
Cash Growth,12.95%,11.95%,8.13%,28.55%,-8.60%,-11.97%,-28.43%,-34.34%,-7.69%,52.37%,117.78%,93.32%,44.45%,-8.41%,-36.06%,0.11%,5.21%,30.48%,35.91%,4.48%,-6.25%,-51.50%,-42.52%,-49.50%,-61.02%,-31.45%,-34.58%,-39.34%,303.98%,316.07%,-,-,-,5389.00%,-,-,-,-,-
Receivables,36.76,29.91,33.76,25.78,20.48,14.39,10.55,6.96,7.91,19.15,6.65,5.48,17.24,13.99,13.35,16.03,19.03,12.26,10.56,19.75,18.61,20.21,13.29,14.36,15.27,16.01,6.26,3.5,13.06,9.93,8.55,8.03,12.02,10.75,-,-,-,0.96,0
Inventory,2.18,2.14,1.85,1.81,1.75,1.56,1.73,1.71,1.75,1.55,1.55,1.56,1.58,1.64,1.36,1.5,1.54,1.2,1.22,1.23,1.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
Other Current Assets,10.03,11.23,5.76,5.27,6.99,9.49,7.08,7.82,6.91,7.63,7.69,6.16,6.96,7.21,4.24,3.88,3.71,3.9,3,2.98,2.97,2.91,1.2,0.9,1.24,1.31,2.56,5.18,1.86,1.91,1.55,2.29,1.21,1.36,-,-,-,0.22,0.24
Total Current Assets,121.32,125.03,122.91,119.85,93.27,98.46,94.76,84.16,86.64,111.28,121.25,116.27,101.7,77.29,67.32,74.72,76.83,76.81,90.45,77.22,72.68,69.75,70.16,66.23,69.79,111.25,105.67,109.61,151.63,148.86,158.14,176.69,47.08,45.04,-,-,-,1.78,0.24
"Property, Plant & Equipment",69.29,65.64,106.27,106.59,107.09,110.54,111.39,114.71,116.74,119.19,128.07,140.39,142.69,147.89,93.57,84.14,80.8,47.95,31.86,26.33,23.26,21.15,11.75,11.75,12.19,12.04,10.83,8.76,6.58,6.55,6.46,4.39,4.53,4.19,-,-,-,0.55,0.4
Long-Term Investments,3.76,4.22,3.94,4.09,4.17,3.58,3.55,3.7,3.52,3.69,3.78,3.73,3.71,3.48,3.34,2.99,3.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.34,2.46,4.43,0,0,-,-,-,0,0
Goodwill and Intangibles,287.75,285.22,291.71,298.15,295.4,301.35,307.74,315.28,321.67,328.05,345.61,352.58,359.55,553.57,255.74,254.78,257.87,252.88,255.66,22.33,22.58,22.66,0.97,0.98,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
Other Long-Term Assets,0.98,2.26,0.38,0.53,0.7,0.87,4.57,4.27,4.62,3.23,3.13,3.04,3.02,0.28,1.88,1.54,1.21,0.87,11.36,11.76,0.59,0.75,0.63,0,8.67,6,8.95,7.44,6.09,8.24,6.76,5.9,0.9,0,-,-,-,0,0
Total Long-Term Assets,361.77,357.33,402.29,409.36,407.36,416.34,427.24,437.96,446.55,454.16,480.59,499.73,508.98,705.21,354.52,343.46,343.27,302.2,299.37,60.92,46.92,45.06,13.85,13.23,21.36,18.55,20.29,16.7,13.17,18.13,15.68,14.72,5.42,4.19,-,-,-,0.55,0.4
Total Assets,483.09,482.36,525.2,529.21,500.63,514.8,522,522.13,533.19,565.44,601.84,616.01,610.67,782.5,421.84,418.18,420.11,379.01,389.82,138.15,119.6,114.81,84.01,79.47,91.15,129.8,125.96,126.31,164.8,166.99,173.82,191.41,52.5,49.23,-,-,-,2.32,0.64
Accounts Payable,38.23,57.29,47.99,38.27,27.26,39.9,34.13,28.12,26.23,41.85,42.83,37.55,31.38,40.17,28.67,26.88,22.87,26.91,24.96,27.43,22.65,24.72,14.13,10.13,20.5,14.54,13.21,13.96,8.44,11.23,11.54,6.5,6.34,10.62,-,-,-,8.06,6.97
Deferred Revenue,9.47,7.8,7.96,8.68,10.38,10.91,19.48,19.66,20.52,21.36,25.22,20.24,18.25,13.28,11.62,11.23,13.17,13.54,13.91,13.11,13.19,13.9,11.49,10.46,5.25,4.52,3.65,2.38,1.64,0.63,0.34,0,0,0,-,-,-,0.02,0.08
Current Debt,8.93,10.52,11.37,10.87,11.64,11.42,10.52,29.4,29.6,9.88,61.98,61.62,61.93,7.33,5.76,5,5.33,2.6,1.73,1.67,1.74,1.75,0.34,0.34,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0
