Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
Cash & Equivalents,203.8,164.12,182.13,155.2,148.94,149.16,138.24,145.74,87.89,65.19,110.59,114.43,70.38,61.81,61.68,40.15,49.91,30.56,39.84,27.5,42.54,43.08,31.45,39.86,-,42.99,-,-,33.15
Cash & Cash Equivalents,203.8,164.12,182.13,155.2,148.94,149.16,138.24,145.74,87.89,65.19,110.59,114.43,70.38,61.81,61.68,40.15,49.91,30.56,39.84,27.5,42.54,43.08,31.45,39.86,0,42.99,0,0,33.15
Cash Growth,36.83%,10.03%,31.75%,6.49%,69.46%,128.82%,24.99%,27.36%,24.89%,5.47%,79.31%,184.99%,41.00%,102.23%,54.81%,45.99%,17.33%,-29.05%,26.69%,-31.00%,-,0.20%,-,-,-,-,-,-,-
"Property, Plant & Equipment",2.59,2.7,2.85,3.01,3.16,3.33,3.44,2.93,2.95,3.02,2.86,2.89,2.91,2.84,2.87,2.9,2.92,2.69,2.62,2.49,2.46,2.55,2.63,2.72,-,2.77,-,-,0.33
Total Assets,"1,450.82","1,395.64","1,347.54","1,309.69","1,242.83","1,178.77","1,123.27","1,058.08",998.28,936.71,880.9,851.89,821.48,798.01,759.74,732.45,720.08,663.9,645.6,587.19,569.1,533.56,480.78,455.8,-,424.83,-,-,352.65
Total Liabilities,"1,280.07","1,237.48","1,199.01","1,164.16","1,099.44","1,035.04",986.09,923.41,869.02,810.64,758.95,733.68,706.6,686.95,652.84,630.1,622.61,571.13,557.11,500.69,484.43,450.17,397.52,378.83,-,372.65,-,-,303.23
Total Debt,0,0,0,0,0,0,0,0,0.05,0,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.27,0.27,0.28,0.28,0.28,0.28,-,0.37,-,-,0.38
Debt Growth,-,-,-,-,-,-,-,-,-42.35%,-,-3.45%,-3.41%,-4.49%,-3.37%,-68.01%,-67.88%,-67.75%,-67.99%,-2.86%,-2.84%,-,-25.07%,-,-,-,-,-,-,-
Common Stock,95.98,95.56,95.07,94.38,93.63,93.13,92.62,92.14,91.63,91.13,90.64,90.26,89.95,89.76,89.47,89.2,88.88,88.61,88.42,87.53,87.31,86.73,86.6,81.47,-,58.9,-,-,58.51
Retained Earnings,88.5,77.71,69.41,62.43,56.8,51.46,44.73,42.21,37.71,33.54,29.65,26.05,23.51,20.92,17.04,13.23,9.76,6.77,3.9,2.22,-0,-1.96,-2.84,-3.98,-,-5.83,-,-,-8.65
Comprehensive Income,-13.73,-15.12,-15.94,-11.28,-7.04,-0.85,-0.17,0.32,-0.08,1.41,1.65,1.9,1.42,0.39,0.39,-0.08,-1.17,-2.61,-3.82,-3.26,-2.65,-1.39,-0.5,-0.51,-,-0.88,-,-,-0.43
Shareholders' Equity,170.75,158.16,148.54,145.53,143.39,143.74,137.18,134.67,129.27,126.08,121.95,118.2,114.89,111.06,106.9,102.35,97.47,92.77,88.5,86.5,84.66,83.38,83.25,76.97,-,52.19,-,-,49.43
Total Liabilities and Equity,"1,450.82","1,395.64","1,347.54","1,309.69","1,242.83","1,178.77","1,123.27","1,058.08",998.28,936.71,880.9,851.89,821.48,798.01,759.74,732.45,720.08,663.9,645.6,587.19,569.1,533.56,480.78,455.8,-,424.83,-,-,352.65
Net Cash / Debt,203.8,164.12,182.13,155.2,148.94,149.16,138.24,145.74,87.84,65.19,110.51,114.34,70.29,61.72,61.59,40.06,49.82,30.47,39.57,27.23,42.27,42.8,31.17,39.58,0,42.62,0,0,32.77
Net Cash / Debt Growth,36.83%,10.03%,31.75%,6.49%,69.55%,128.82%,25.09%,27.46%,24.97%,5.61%,79.43%,185.40%,41.08%,102.54%,55.65%,47.13%,17.88%,-28.80%,26.96%,-31.20%,-,0.42%,-,-,-,-,-,-,-
Book Value Per Share,20.83,19.41,18.38,18.02,17.73,18.32,17.52,17.20,16.55,16.45,15.91,15.41,14.93,14.73,14.18,13.59,12.94,12.46,11.88,11.62,11.37,11.38,11.38,10.67,-,7.24,-,-,-
