Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,0.09,1.67,0.56,0.62,0.85,1.19,0.1,0.32,0.59,0.77,0.03
Cash & Cash Equivalents,0.09,1.67,0.56,0.62,0.85,1.19,0.1,0.32,0.59,0.77,0.03
Cash Growth,-89.85%,40.31%,451.68%,96.88%,44.68%,55.14%,307.88%,-,-,-,-
Other Current Assets,0.06,0.31,0.07,0.12,0.09,0.14,0.19,0.25,0.23,0.29,-
Total Current Assets,0.15,1.98,0.63,0.74,0.94,1.33,0.29,0.57,0.82,1.06,-
Long-Term Investments,99.22,98.26,345,345.04,345.05,345.04,345.04,345.03,345.03,345.02,-
Total Long-Term Assets,99.22,98.26,345,345.04,345.05,345.04,345.04,345.03,345.03,345.02,-
Total Assets,99.37,100.24,345.63,345.78,345.99,346.38,345.32,345.6,345.85,346.08,0.24
Accounts Payable,0,0,0,0,0,0,0,0,0,0,0
Current Debt,-,4.92,-,-,1.5,-,-,-,-,-,0.05
Other Current Liabilities,-,8.01,-,-,0.14,-,-,-,-,-,0.16
Total Current Liabilities,-,12.93,-,-,1.64,-,-,-,-,-,0.22
Other Long-Term Liabilities,-,16.74,-,-,27.59,-,-,-,-,-,0
Total Long-Term Liabilities,-,16.74,-,-,27.59,-,-,-,-,-,0
Total Liabilities,18.78,29.67,20.62,19.63,29.23,31.07,40.79,33.88,44.93,12.12,0.22
Total Debt,4.92,4.92,1.5,1.5,1.5,1.5,0,0,0,0,0.05
Debt Growth,228.29%,228.29%,-,-,-,-,-,-,-,-,-
Common Stock,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,5.13,0.03
Retained Earnings,-18.41,-27.51,-20.01,-18.88,-28.26,-29.72,-40.49,-33.31,-44.1,-0.13,-0
Shareholders' Equity,-18.39,-27.48,-19.99,-18.85,-28.24,-29.7,-40.46,-33.29,-44.08,5,0.02
Total Liabilities and Equity,0.39,2.18,0.63,0.78,0.99,1.38,0.32,0.6,0.85,17.12,0.24
Net Cash / Debt,-4.84,-3.25,-0.94,-0.88,-0.65,-0.31,0.1,0.32,0.59,0.77,-0.03
Net Cash Per Share,-0.15,-0.13,-0.02,-0.02,-0.01,-0.01,0.00,0.01,0.02,0.02,-0.00
Working Capital,-,-10.95,-,-,-0.7,-,-,-,-,-,-
Book Value Per Share,-0.57,-1.11,-0.46,-0.44,-0.66,-0.69,-0.94,-0.77,-1.45,0.16,0.00
