Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,29.38,30.89,35.81,45.98,77.29,125.6,43.27,36.22,53.03,5.95,-,-,-,2.16
Short-Term Investments,12.38,6.71,40.11,62.2,238.79,152.86,101.25,45.33,32.43,0,-,-,-,0
Cash & Cash Equivalents,41.76,37.59,75.93,108.19,316.09,278.45,144.51,81.55,85.46,5.95,0,0,0,2.16
Cash Growth,-86.79%,-86.50%,-47.46%,32.67%,269.86%,4582.21%,-,-,-,175.45%,-,-,-,-
Receivables,0.37,0.7,1.42,0.64,0.67,1.04,1.21,0.88,1.03,1.1,-,-,-,1.11
Inventory,0,0,0,0,0,0,0.5,0.32,0.33,0,-,-,-,0.14
Other Current Assets,31.78,30.8,25.47,15.85,7.01,7.64,6.33,3.03,3.35,2.12,-,-,-,3.15
Total Current Assets,73.91,69.09,102.81,124.68,323.76,287.13,152.55,85.78,90.17,9.17,-,-,-,6.55
"Property, Plant & Equipment",226.41,235.79,235.48,243.79,191.74,146.25,93.5,70.19,50.68,41.19,-,-,-,44.01
Goodwill and Intangibles,0.03,0.03,0.26,0.8,19.23,18.64,0.19,0.25,0.32,0.38,-,-,-,0.68
Other Long-Term Assets,31.63,38.19,38.41,103.87,104.39,90.58,76.2,75.01,22.83,0.97,-,-,-,1.62
Total Long-Term Assets,258.07,274.01,274.15,348.46,315.36,255.46,169.88,145.45,73.83,42.54,-,-,-,46.31
Total Assets,331.98,343.1,376.96,473.14,639.12,542.59,322.43,231.22,164,51.7,-,-,-,52.86
Accounts Payable,19.59,20.54,16,12.72,10.73,14.48,6.62,6.36,3.12,2.7,-,-,-,2.39
Current Debt,23.91,46.7,66.06,83.7,128.22,74.61,14.42,12.83,6.45,20.8,-,-,-,1.62
Other Current Liabilities,0,0,0,0,3.88,12.09,6.64,2.11,0.75,4.98,-,-,-,0
Total Current Liabilities,43.5,67.24,82.06,96.42,142.83,101.18,27.68,21.3,10.32,28.48,-,-,-,4.01
Long-Term Debt,13.6,18.31,30.08,39.94,24.77,10.14,6.71,8.67,9.46,7.57,-,-,-,20.57
Other Long-Term Liabilities,2.22,1.98,1.78,1.59,11.77,8.69,6.23,0.33,2.31,0.21,-,-,-,0.19
Total Long-Term Liabilities,15.82,20.29,31.86,41.53,36.53,18.83,12.94,9,11.77,7.78,-,-,-,20.76
Total Liabilities,59.32,87.53,113.92,137.95,179.36,120.01,40.61,30.3,22.09,36.26,-,-,-,24.77
Total Debt,37.52,65.01,96.14,123.64,152.98,84.74,21.12,21.5,15.91,28.37,-,-,-,22.19
Debt Growth,-75.48%,-23.28%,355.14%,475.07%,861.37%,198.72%,-,-,-,27.86%,-,-,-,-
Common Stock,512.98,494.63,485.26,472.6,455.25,422.6,291.51,234.35,166.53,37.59,-,-,-,33.94
Retained Earnings,-240.32,-239.07,-222.22,-137.41,4.5,-0.02,-9.69,-33.43,-29.75,-22.15,-,-,-,-5.86
Comprehensive Income,0,0,0,0,0,0,0,0,5.13,0,-,-,-,0
Shareholders' Equity,272.66,255.57,263.04,335.19,459.76,422.58,281.82,200.93,141.9,15.45,-,-,-,28.09
Total Liabilities and Equity,331.98,343.1,376.96,473.14,639.12,542.59,322.43,231.22,164,51.7,-,-,-,52.86
Net Cash / Debt,4.24,-27.42,-20.21,-15.45,163.1,193.71,123.39,60.05,69.55,-22.42,0,0,0,-20.03
Net Cash / Debt Growth,-97.40%,-,-,-,134.52%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,0.02,-0.12,-0.10,-0.08,0.81,0.97,0.70,0.40,0.56,-0.26,-,-,-,-
Working Capital,30.41,1.84,20.75,28.26,180.93,185.95,124.87,64.48,79.85,-19.31,-,-,-,2.54
Book Value Per Share,1.17,1.16,1.25,1.65,2.33,2.25,1.69,1.32,1.15,0.18,-,-,-,0.42
