Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Cash & Equivalents,36.14,31.38,28.11,39.92,67.37,72.09,114.59,71.93,89.83,93.49,51.58,74.57,21.8,11.98,18.36,11.97,15.44,50.59,12.6,12.41,-,10.46,-,12.98
Cash & Cash Equivalents,36.14,31.38,28.11,39.92,67.37,72.09,114.59,71.93,89.83,93.49,51.58,74.57,21.8,11.98,18.36,11.97,15.44,50.59,12.6,12.41,0,10.46,0,12.98
Cash Growth,-46.35%,-56.47%,-75.47%,-44.50%,-25.01%,-22.88%,122.15%,-3.55%,312.15%,680.47%,181.00%,523.06%,41.17%,-76.32%,45.73%,-3.54%,-,383.65%,-,-4.38%,-,-,-,-
"Property, Plant & Equipment",18.42,18.72,18.86,19.07,19.38,19.18,19.16,19.17,18.93,18.84,18.89,18.62,18.5,18.34,18.57,16.85,16.96,17.04,16.59,16.8,-,17.03,-,18.22
Goodwill and Intangibles,2.55,2.57,2.59,2.62,2.64,2.67,2.7,2.72,2.75,1.61,1.62,1.63,1.64,1.65,1.66,1.67,1.68,1.69,1.7,1.72,-,1.83,-,3.51
Total Assets,"1,351.39","1,335.98","1,292.68","1,292.81","1,281.48","1,281.17","1,262.71","1,210.19","1,197.04","1,128.83","1,112.58","1,128.33","1,007.27",973.95,946.03,913.08,884.76,882.42,819.71,789.85,-,742.1,-,722.56
Total Liabilities,"1,240.67","1,227.85","1,185.88","1,179.47","1,164.19","1,155.2","1,138.5","1,088.33","1,078.18","1,012.33",997.39,"1,014.65",893.37,864.06,837.77,807.53,781.98,823.15,762.69,734.29,-,687.13,-,670.04
Total Debt,111.61,62.88,42.7,28.96,21.08,23.2,25.3,27.39,41.62,55.83,60.01,76.25,84.8,71.46,53.09,69.7,82,41.75,58.78,48.16,-,20.06,-,14.66
Debt Growth,429.36%,171.07%,68.76%,5.72%,-49.35%,-58.45%,-57.84%,-64.07%,-50.92%,-21.87%,13.04%,9.41%,3.41%,71.15%,-9.67%,44.73%,-,108.19%,-,228.59%,-,-,-,-
Common Stock,43.9,43.7,43.49,43.39,43.19,42.98,42.82,42.64,42.43,42.22,42.02,41.93,41.89,41.83,41.78,41.59,-4.27,0.1,0.1,0.1,-,0.1,-,0.1
Retained Earnings,96.79,96.62,95.82,93.71,91.68,89.63,86.64,83.96,81.39,78.07,75.73,74.58,73.23,72.15,70.41,68.32,112.98,66.19,64.99,63.03,-,61.83,-,57.69
Comprehensive Income,-29.97,-32.19,-32.5,-23.76,-17.57,-6.64,-5.25,-4.73,-4.96,-3.79,-2.56,-2.82,-1.22,-4.1,-3.93,-4.36,-5.92,-7.01,-8.08,-7.57,-,-6.96,-,-5.27
Shareholders' Equity,110.72,108.13,106.8,113.34,117.29,125.97,124.2,121.86,118.86,116.5,115.19,113.68,113.9,109.88,108.26,105.56,102.79,59.28,57.01,55.56,-,54.98,-,52.52
Total Liabilities and Equity,"1,351.39","1,335.98","1,292.68","1,292.81","1,281.48","1,281.17","1,262.71","1,210.19","1,197.04","1,128.83","1,112.58","1,128.33","1,007.27",973.95,946.03,913.08,884.76,882.42,819.71,789.85,-,742.1,-,722.56
Net Cash / Debt,-75.46,-31.49,-14.59,10.96,46.28,48.9,89.29,44.54,48.21,37.66,-8.43,-1.68,-63,-59.48,-34.74,-57.73,-66.56,8.84,-46.18,-35.75,0,-9.6,0,-1.68
Net Cash / Debt Growth,-,-,-,-75.39%,-4.00%,29.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-6.85,-2.86,-1.33,1.00,4.20,4.42,8.16,4.08,4.43,3.49,-0.79,-0.16,-5.88,-5.55,-3.24,-5.39,-6.22,-,-,-,-,-,-,-
Book Value Per Share,10.17,9.94,9.85,10.47,10.85,11.65,11.53,11.34,11.06,10.85,10.73,10.60,10.62,10.25,10.11,9.86,9.61,5.32,5.12,4.99,-,-,-,-
