Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
Cash & Equivalents,"4,427.12","4,323.14","3,610.73","3,900.4","3,405.11","2,832.71","2,696.49","4,914.31","5,015.2","4,598.17","4,174.8","4,052.38","4,393.93","3,671.65","2,876.24","2,872.14","2,706.59","2,360.11","2,094.77","2,151.45","1,906.75","1,987.8","2,003.53","2,610.19","2,983.51","1,757.85","1,399.91","2,481.3","2,133.92","1,789.46",-,-,"1,751.2","1,275.81",777.67,890.1,866.75,78.75,50.25,36.94
Short-Term Investments,781.76,665.7,693.48,642.7,688.57,743.09,611.24,550.74,533.88,532.11,680.96,718.77,"1,325.32","1,158.83","1,349.26","1,023.31","1,089.59",925.99,894.35,"1,145.88","1,182.69","1,266.72","1,436.21","1,099.79","1,017.27",614.28,754.51,735.73,692.18,833.81,-,-,180.64,283.09,318.73,134.64,14.77,7.61,0,1.03
Cash & Cash Equivalents,"5,208.88","4,988.84","4,304.21","4,543.11","4,093.68","3,575.8","3,307.73","5,465.05","5,549.08","5,130.28","4,855.76","4,771.15","5,719.25","4,830.48","4,225.5","3,895.44","3,796.18","3,286.1","2,989.13","3,297.33","3,089.44","3,254.51","3,439.73","3,709.98","4,000.78","2,372.13","2,154.43","3,217.04","2,826.11","2,623.27",0,0,"1,931.85","1,558.9","1,096.4","1,024.74",881.52,86.36,50.25,37.97
Cash Growth,27.24%,39.52%,30.13%,-16.87%,-26.23%,-30.30%,-31.88%,14.54%,-2.98%,6.21%,14.92%,22.48%,50.66%,47.00%,41.36%,18.14%,22.88%,0.97%,-13.10%,-11.12%,-22.78%,37.20%,59.66%,15.32%,41.57%,-9.57%,-,-,46.29%,68.28%,-,-,119.15%,1705.13%,2081.71%,2598.77%,-,-,-,-
Receivables,498.11,851.72,"1,078.12",929.02,808.03,"1,098.16","1,114.24","1,159.82",434.46,"1,057","1,100.6","1,054.77",219.57,954.4,"1,092.36",995.08,854.63,881,806.38,882.56,690.97,846.48,888.89,806.63,642.97,729.54,803.5,448.43,360.58,423.2,-,-,260.94,113.08,94.56,51.79,13.75,0.38,0.2,0.03
Other Current Assets,610.16,184.51,210.62,170.81,615.1,209.93,240,203.94,719.63,194.46,199.91,196.86,792.41,298.4,314.62,476.16,453.27,455.96,483.89,247.26,255.68,238.83,78.51,305.95,88.78,669.26,823.29,174.75,75.14,72.45,-,-,80.36,35.62,42.01,33.09,22.36,4.33,3.56,2.06
Total Current Assets,"6,317.15","6,025.07","5,592.95","5,642.94","5,516.81","4,883.89","4,661.97","6,828.8","6,703.16","6,381.74","6,156.27","6,022.78","6,731.22","6,083.29","5,632.49","5,366.68","5,104.08","4,623.05","4,279.4","4,427.14","4,036.09","4,339.82","4,407.13","4,822.55","4,732.53","3,770.93","3,781.22","3,840.21","3,261.83","3,118.92",-,-,"2,273.15","1,707.6","1,232.97","1,109.63",917.63,91.07,54.01,40.06
"Property, Plant & Equipment","2,654.51","2,687.46","2,704.06","2,757.51","2,804.59","2,862.43","2,899.18",504.37,522.82,541.8,606.57,608.98,648.51,675.55,689.57,622.63,346.65,295.79,295.79,299.42,303.35,248.09,252.8,246.84,243.49,219.15,214.01,210.71,196.48,139.82,-,-,92.15,61.18,28.52,28.84,9.14,3.22,3.92,1.27
Long-Term Investments,"2,265.92","2,240.19","2,222.34","2,129.52","2,070.66","1,961.8","1,813.11","1,825.08","1,801.07","2,076.62","2,127.7","2,163.1","2,153.35","2,219.35","2,552.58","2,457.93","2,400.18","2,210.19","1,982.84","1,940.09","1,956.89","1,331.57","1,276.9","1,008.44",886.1,781.17,779.73,797.62,577.94,509.71,-,-,283.48,184.73,59.55,28.13,34.49,9.52,0,0
Other Long-Term Assets,560.57,493.58,495.7,498.12,497.74,394.92,423.03,438.59,372.53,343.92,313.34,293.62,269.52,206.57,192.18,180.96,163.36,120.3,174.49,186.58,198.53,156.52,134.05,91.31,94.37,80.22,81.7,78.11,60.75,29.5,-,-,26.02,17.65,13.86,9.53,5.2,1.85,0.81,0
Total Long-Term Assets,"5,480.99","5,421.24","5,422.1","5,385.15","5,372.98","5,219.14","5,135.32","2,768.03","2,696.42","2,962.33","3,047.61","3,065.7","3,071.38","3,101.47","3,434.33","3,261.52","2,910.18","2,626.27","2,453.12","2,426.09","2,458.76","1,736.18","1,663.76","1,346.58","1,223.96","1,080.54","1,075.44","1,086.44",835.16,679.03,-,-,401.65,263.56,101.93,66.5,48.82,14.59,4.73,1.27
Total Assets,"11,798.14","11,446.31","11,015.05","11,028.09","10,889.79","10,103.03","9,797.29","9,596.84","9,399.59","9,344.07","9,203.88","9,088.48","9,802.6","9,184.76","9,066.82","8,628.2","8,014.26","7,249.33","6,732.53","6,853.23","6,494.85","6,076","6,070.89","6,169.14","5,956.49","4,851.47","4,856.66","4,926.66","4,096.99","3,797.95",-,-,"2,674.8","1,971.16","1,334.9","1,176.13",966.46,105.66,58.74,41.33
Accounts Payable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.34,0.28,0,0.27,12.27,592.25,0,0,0,0,0,3.12,-,-,0,0,0,0,0,0,0,0
Deferred Revenue,67.97,81.6,64.24,79.97,63.63,103.81,96.52,85.14,71.61,125.09,163.61,141.23,100.69,192.61,144.38,154.72,142.93,172.17,146.46,167.77,201.25,211.86,177.28,183.35,93.25,82.74,68.07,124.32,68.43,93.73,-,-,97.71,100.95,34.58,0,0,0,0,0
Current Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.3,491.83,802.86,870.91,550.66,569.38,0,0,0,0,0,-,-,50,0,0,0,0,0,0,0
Other Current Liabilities,"1,836.99","1,554.46","1,657.07","2,066.56","2,219.41","1,593.54","1,591.09","2,069.28","1,809.48",965.59,890.6,"1,115.9","1,404.36",862.6,"1,149","1,374.32","1,448.15","1,053.02",881.39,"1,227.49","1,130.24",928.43,750.28,816.56,913.08,998.64,"1,223.57","1,456.82",898.4,684.45,-,-,545.04,307.33,136.53,109.17,95.76,33.72,17.66,6.91
Total Current Liabilities,"1,904.96","1,636.06","1,721.32","2,146.53","2,283.04","1,697.34","1,687.61","2,154.42","1,881.1","1,090.68","1,054.21","1,257.13","1,505.05","1,055.21","1,293.38","1,529.04","1,591.07","1,226.89","1,063.2","1,395.84","1,823.33","1,943.43","1,810.74","2,142.82","1,575.71","1,081.38","1,291.64","1,581.15",966.83,781.3,-,-,692.75,408.28,171.11,109.17,95.76,33.72,17.66,6.91
Long-Term Debt,83.17,101.11,96,120.79,130.96,155.88,169.17,180.31,194.38,289.08,346.24,344.08,362.76,370.85,380.86,311.65,145,228.12,330.86,470.45,0,0,0,0,555.44,533.48,531.67,515.84,518.22,508.45,-,-,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,309.53,307.92,319.58,316.78,334.15,353.21,350.22,46.98,46.74,54.76,60.01,59.59,59.83,77.27,88.57,95.63,102.81,127.08,162.66,164.65,163.78,76.23,104.76,96.76,103.4,110.31,97.41,84.82,77.94,73.99,-,-,42.18,34.1,23,20.33,15.12,7.95,6.82,5.07
Total Long-Term Liabilities,392.7,409.03,415.57,437.57,465.11,509.09,519.39,227.29,241.12,343.83,406.25,403.67,422.59,448.11,469.44,407.28,247.81,355.2,493.51,635.09,163.78,76.23,104.76,96.76,658.84,643.79,629.08,600.66,596.17,582.44,-,-,42.18,34.1,23,20.33,15.12,7.95,6.82,5.07
Total Liabilities,"2,297.66","2,045.09","2,136.89","2,584.1","2,748.15","2,206.43","2,207","2,381.71","2,122.22","1,434.52","1,460.46","1,660.79","1,927.64","1,503.33","1,762.81","1,936.32","1,838.89","1,582.09","1,556.71","2,030.93","1,987.11","2,019.66","1,915.5","2,239.59","2,234.55","1,725.17","1,920.72","2,181.81","1,563","1,363.74",-,-,734.93,442.39,194.11,129.5,110.87,41.67,24.49,11.98
Total Debt,83.17,101.11,96,120.79,130.96,155.88,169.17,180.31,194.38,289.08,346.24,344.08,362.76,370.85,380.86,311.65,145,228.12,365.86,470.75,491.83,802.86,870.91,550.66,"1,124.82",533.48,531.67,515.84,518.22,508.45,-,-,50,0,0,0,0,0,0,0
Debt Growth,-36.49%,-35.14%,-43.25%,-33.01%,-32.63%,-46.08%,-51.14%,-47.60%,-46.41%,-22.05%,-9.09%,10.41%,150.17%,62.57%,4.10%,-33.80%,-70.52%,-71.59%,-57.99%,-14.51%,-56.27%,50.50%,63.81%,6.75%,117.05%,4.92%,-,-,936.45%,-,-,-,-,-,-,-,-,-,-,-
