Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Cash & Equivalents,166.7,121.2,101.4,92.2,88.8,252.1,"1,424.1","1,177",452.1,372.9,130.9,125.3,131.2,121,124.7,103.3,85.1,345.5,321.5,281.6,189.7,200.4,134.7,83.3,118.1,102.3,151.3,65.1,70.4,135.9,126.8,178.3,124.5,268.6,278.3,-,-,282.2
Cash & Cash Equivalents,166.7,121.2,101.4,92.2,88.8,252.1,"1,424.1","1,177",452.1,372.9,130.9,125.3,131.2,121,124.7,103.3,85.1,345.5,321.5,281.6,189.7,200.4,134.7,83.3,118.1,102.3,151.3,65.1,70.4,135.9,126.8,178.3,124.5,268.6,278.3,0,0,282.2
Cash Growth,87.73%,-51.92%,-92.88%,-92.17%,-80.36%,-32.39%,987.93%,839.35%,244.59%,208.18%,4.97%,21.30%,54.17%,-64.98%,-61.21%,-63.32%,-55.14%,72.41%,138.68%,238.06%,60.63%,95.89%,-10.97%,27.96%,67.76%,-24.72%,19.32%,-63.49%,-43.45%,-49.40%,-54.44%,-,-,-4.82%,-,-,-,-
Receivables,99.9,122.5,91.1,98.9,114.3,167.1,112.9,110.9,120.7,100.6,101.1,126.2,134.8,151.9,146.8,156.6,151.4,159.1,186.4,198.6,211.5,208.3,194.6,187.5,164.5,163.7,161,142.5,137.2,151.8,145.3,146.9,154.7,161.1,135.1,-,-,154.9
"Property, Plant & Equipment",109.7,107.6,109.1,110.9,112.2,115.3,117.1,120.6,142.7,141.4,165.5,179.6,171.9,103.5,63.5,58.3,52.4,49,45.8,42.9,41.7,41.7,41.3,41.2,41.2,39.8,38.5,31.9,31.1,30.7,28.6,27.4,25.9,24.1,23.3,-,-,24.1
Goodwill and Intangibles,20.3,20.3,20.3,20.3,20.3,20.3,20.4,20.5,34.2,20.3,242.1,319.8,321.7,339.7,341.4,343,344.7,346.3,348,349.6,351.3,352.9,354.5,356.2,357.9,357.6,359.2,127.9,127.9,128,128,127.5,127.5,127.5,127.6,-,-,119
Total Assets,546,518.7,474.7,478.3,494.1,714.8,"1,847.5","1,748.5","1,436.9","1,379.2","1,417.2","1,422.8","1,423.5","1,419.7","1,432.3","1,425.1","1,355.9","1,553.7","1,573.6","1,496.2","1,435.4","1,491.7","1,439.7","1,279.2","1,276.6","1,294.3","1,338",937.3,939.8,"1,014.1",911.9,979.3,934.3,"7,772.9","7,767.3",-,-,"8,551.8"
Accounts Payable,20.9,31.3,22.9,24.4,21,35.2,26.4,27.6,25,31.3,30.6,40.2,35.4,50.4,50.6,52.9,79.4,100.4,120.3,111.2,94.2,116.5,154.7,148.2,185,202.1,233.3,263.9,264.1,268.6,287.2,302,305.1,396.3,426.1,-,-,93
Total Liabilities,554.3,540.3,529.8,549.3,592,732.4,763.5,884.6,"1,006.9",994.8,"1,145.8","1,190.3","1,229.7","1,221.3","1,279.6","1,321.5","1,304.3","1,377.6","1,401.9","1,341.1","1,226.2","1,320.4","1,293.3","1,148.8","1,084.9","1,123.8","1,118.2",750.5,763.6,848.2,787.7,873.2,871.2,"5,215.5","5,212.2",-,-,"6,015.9"
Total Debt,437.6,349.3,377.7,399.4,437.3,472.5,505.7,528.2,572.4,489.1,584.2,671.8,758,612.2,605.2,630.1,629.9,395,409.5,408.5,393.6,434.2,426.1,407.5,392.4,397.3,392.2,50,85,90,70,145,213,"4,326.3","4,352",-,-,"5,455.6"
