Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,80.36,68.16,29.54,36.51,46.94,50.37,41.63,25.62,23.85,33.79,14.2,109.94,24.16,33.35,16.9,14.88,10.89,9.92,-,-,-,10.93
Cash & Cash Equivalents,80.36,68.16,29.54,36.51,46.94,50.37,41.63,25.62,23.85,33.79,14.2,109.94,24.16,33.35,16.9,14.88,10.89,9.92,0,0,0,10.93
Cash Growth,71.20%,35.32%,-29.04%,42.50%,96.83%,49.09%,193.28%,-76.70%,-1.29%,1.31%,-16.01%,638.81%,121.83%,236.04%,-,-,-,-9.22%,-,-,-,-
Receivables,187.91,162.86,186.85,119.7,94.62,88.01,75.54,71.61,50.21,48.84,48.12,44.63,34.94,36.24,32.17,33.88,24.35,18.63,-,-,-,15.34
"Property, Plant & Equipment",0.54,0.6,0.66,0.69,0.48,0.53,0.58,0.63,0.68,0.74,0.75,0.79,0.81,0.85,0.86,0.89,0.92,0.95,-,-,-,0.83
Goodwill and Intangibles,7.95,8.26,8.58,8.89,9.2,9.5,10.51,10.85,11.19,11.51,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,-,-,-,0.74
Total Assets,"1,440.99","1,306.45","1,216.47","1,051.14",957.43,925.73,876.81,829.66,825.87,729.09,699.76,584.05,443.64,395.46,372.83,349.43,246.24,231.13,-,-,-,188.36
Accounts Payable,192.44,171.89,166.57,103.24,73.88,58.74,53.98,49.97,37.31,42.96,24.91,21.04,20.35,24.94,27.5,26.66,18.03,19.85,-,-,-,11.57
Deferred Revenue,496.18,471.31,443.46,376.81,316.68,284.67,257.67,222.61,195.77,183.49,173.59,150.05,137.11,130.37,116.16,103.39,92.26,79.13,-,-,-,61.98
Total Liabilities,"1,036.34",921.7,848.62,673.08,577.03,531.57,499.03,452.91,449.48,365.38,337.86,208.81,182.82,176.91,164.37,149.79,144.33,134.84,-,-,-,109.94
Total Debt,71.4,36.4,26.4,23,15,0,0,0,0,0,0,0,0,0,0,0,19.1,19.08,-,-,-,17.09
Debt Growth,376.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.66%,-,-,-,-
Common Stock,337.5,333.56,330.38,326.48,322.05,318.91,316.36,313.91,312.75,310.51,309.5,308.07,216.34,180.01,179.59,179.19,91.46,68.5,-,-,-,68.5
Retained Earnings,98.2,87.71,80.09,78.81,71.5,69.95,53.32,53.08,56.59,39.96,41.96,57.64,45.63,33.86,22.98,15.52,8.82,28.36,-,-,-,6.92
Comprehensive Income,-31.04,-36.52,-42.63,-27.22,-13.15,5.31,8.1,9.76,7.05,13.25,10.44,9.53,-1.15,4.69,5.9,4.92,1.62,-0.56,-,-,-,2.99
Shareholders' Equity,404.65,384.75,367.85,378.07,380.4,394.17,377.78,376.75,376.38,363.71,361.9,375.24,260.82,218.56,208.46,199.64,101.91,96.29,-,-,-,78.41
Total Liabilities and Equity,"1,440.99","1,306.45","1,216.47","1,051.14",957.43,925.73,876.81,829.66,825.87,729.09,699.76,584.05,443.64,395.46,372.83,349.43,246.24,231.13,-,-,-,188.36
Net Cash / Debt,8.96,31.76,3.14,13.51,31.94,50.37,41.63,25.62,23.85,33.79,14.2,109.94,24.16,33.35,16.9,14.88,-8.21,-9.16,0,0,0,-6.16
Net Cash / Debt Growth,-71.95%,-36.94%,-92.45%,-47.27%,33.93%,49.09%,193.28%,-76.70%,-1.29%,1.31%,-16.01%,638.81%,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,0.35,1.23,0.12,0.52,1.23,1.93,1.60,0.98,0.91,1.29,0.56,4.39,0.97,1.34,0.71,0.67,-0.48,-0.54,-,-,-,-
Book Value Per Share,16.21,15.27,14.59,14.99,15.00,15.51,14.88,14.79,14.73,14.25,14.20,15.41,10.81,9.30,8.88,9.08,6.00,5.66,-,-,-,4.61
