Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.13,0.18,0.29,0.34,0.44,0.53,0.22,0
Cash & Cash Equivalents,0.13,0.18,0.29,0.34,0.44,0.53,0.22,0
Cash Growth,-70.48%,-66.56%,27.81%,-,-,-,-,-
Other Current Assets,0.25,0.39,0.52,0.54,0.5,0.9,0.02,-
Total Current Assets,0.38,0.57,0.81,0.88,0.94,1.43,0.24,-
Long-Term Investments,253.61,251.5,250.37,250.03,250.01,250,0,-
Other Long-Term Assets,0,0,0,0.12,0.25,0,0.38,-
Total Long-Term Assets,253.61,251.5,250.37,250.16,250.26,250,0.38,-
Total Assets,254,252.07,251.18,251.03,251.2,251.44,0.62,0.03
Accounts Payable,0,0.02,0.09,0.14,0.09,0,0,0
Current Debt,0.15,0.12,0.08,0,0.01,0.04,0.3,0
Other Current Liabilities,0,0,0,0,0,0.02,0.3,0.01
Total Current Liabilities,0.15,0.14,0.16,0.14,0.1,0.06,0.6,0.01
Other Long-Term Liabilities,7.7,7.7,7.7,7.7,7.7,7.7,0,0
Total Long-Term Liabilities,7.7,7.7,7.7,7.7,7.7,7.7,0,0
Total Liabilities,7.85,7.84,7.86,7.84,7.8,7.76,0.6,0.01
Total Debt,0.15,0.12,0.08,0,0.01,0.04,0.3,0
Debt Growth,1405.98%,203.77%,-73.82%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-7.47,-7.27,-7.06,-6.81,-6.61,-6.32,-0.01,-0.01
Shareholders' Equity,-7.47,-7.27,-7.06,-6.81,-6.61,-6.32,0.02,0.02
Total Liabilities and Equity,0.38,0.57,0.81,1.03,1.19,1.43,0.62,0.03
Net Cash / Debt,-0.02,0.06,0.21,0.34,0.43,0.5,-0.08,-0
Net Cash / Debt Growth,-,-87.37%,-,-,-,-,-,-
Net Cash Per Share,-0.00,0.00,0.01,0.01,0.02,0.02,-0.01,-0.00
Working Capital,0.23,0.43,0.64,0.74,0.84,1.38,-0.36,-
Book Value Per Share,-0.23,-0.23,-0.22,-0.21,-0.32,-0.20,0.00,0.00
