Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.07,0.12,0.08,0.65,1.17,0
Cash & Cash Equivalents,0.07,0.12,0.08,0.65,1.17,0
Cash Growth,-93.78%,-,-,-,-,-
Other Current Assets,0.5,0.58,0.75,0.92,1.01,0
Total Current Assets,0.57,0.7,0.83,1.57,2.18,0
Long-Term Investments,767.54,759.71,753.54,750.31,750.14,0
Other Long-Term Assets,0,0,0,0,0,0.79
Total Long-Term Assets,767.54,759.71,753.54,750.31,750.14,0.79
Total Assets,768.11,760.41,754.37,751.88,752.31,0.79
Accounts Payable,0.5,0.34,0.3,0.63,0,0.47
Current Debt,0,0,0,0,0,0.3
Other Current Liabilities,0,0,0,0,0.89,0
Total Current Liabilities,0.5,0.34,0.3,0.63,0.89,0.77
Other Long-Term Liabilities,29.07,29.54,28.83,31.3,33.52,0
Total Long-Term Liabilities,29.07,29.54,28.83,31.3,33.52,0
Total Liabilities,29.57,29.87,29.13,31.92,34.41,0.77
Total Debt,0,0,0,0,0,0.3
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-26.4,-26.33,-28.09,-30.35,-32.1,-0.01
Shareholders' Equity,-26.4,-26.32,-28.09,-30.35,-32.1,0.02
Total Liabilities and Equity,3.17,3.55,1.04,1.57,2.31,0.79
Net Cash / Debt,0.07,0.12,0.08,0.65,1.17,-0.3
Net Cash / Debt Growth,-93.78%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.01,0.01,-
Working Capital,0.07,0.36,0.53,0.95,1.29,-0.77
Book Value Per Share,-0.28,-0.28,-0.30,-0.32,-0.37,0.00
