Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.78,0.83,0.81,0.84,1.84,0.04
Cash & Cash Equivalents,0.78,0.83,0.81,0.84,1.84,0.04
Cash Growth,-57.90%,1748.13%,-,-,-,-
Other Current Assets,0.09,0.14,0.2,0.18,0.22,0
Total Current Assets,0.87,0.97,1.01,1.02,2.07,0.04
Long-Term Investments,168.76,167.52,166.9,166.66,151.5,0
Other Long-Term Assets,0,0,0,0.09,0.09,0.07
Total Long-Term Assets,168.76,167.52,166.9,166.75,151.59,0.07
Total Assets,169.63,168.49,167.91,167.77,153.66,0.12
Accounts Payable,0.07,0,0,0,0.68,0
Current Debt,0,0,0,0,0.19,0.09
Other Current Liabilities,0.66,0.34,0.17,0.1,0.34,0
Total Current Liabilities,0.73,0.34,0.18,0.1,1.21,0.09
Other Long-Term Liabilities,5.78,5.78,5.78,5.78,5.25,0
Total Long-Term Liabilities,5.78,5.78,5.78,5.78,5.25,0
Total Liabilities,6.5,6.12,5.95,5.88,6.46,0.09
Total Debt,0,0,0,0,0.19,0.09
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-5.25,-4.9,-4.75,-4.77,-4.3,-0
Shareholders' Equity,-5.25,-4.9,-4.75,-4.77,-4.3,0.02
Total Liabilities and Equity,1.26,1.21,1.2,1.1,2.16,0.12
Net Cash / Debt,0.78,0.83,0.81,0.84,1.65,-0.05
Net Cash / Debt Growth,-53.07%,-,-,-,-,-
Net Cash Per Share,0.04,0.04,0.04,0.04,0.35,-0.01
Working Capital,0.14,0.63,0.84,0.91,0.86,-0.05
Book Value Per Share,-0.25,-0.24,-0.23,-0.23,-0.91,0.01
