Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,1.56,0.05,0.15,0.15,0.04,0.11,0.22,2.5
Cash & Cash Equivalents,1.56,0.05,0.15,0.15,0.04,0.11,0.22,2.5
Cash Growth,3671.62%,-53.93%,-30.76%,-94.10%,-,-,-,-
Other Current Assets,0.2,0.41,0.62,0.84,1.04,1.26,1.47,1.68
Total Current Assets,1.76,0.46,0.78,0.98,1.09,1.37,1.7,4.18
Long-Term Investments,13.85,503.32,500.76,500.01,500.03,500.02,500.02,500
Other Long-Term Assets,0,0.45,0.23,0,0,0,0,0
Total Long-Term Assets,13.85,503.77,500.99,500.01,500.03,500.02,500.02,500
Total Assets,15.61,504.24,501.77,500.99,501.12,501.4,501.71,504.18
Accounts Payable,0.8,0.6,0.57,0.58,0.71,0.12,0.06,2.32
Current Debt,1.57,1.5,1.5,1.3,0.85,0.85,0.3,0.2
Other Current Liabilities,1.43,0.54,0.03,0,0,0,0,0
Total Current Liabilities,3.8,2.64,2.1,1.89,1.56,0.97,0.36,2.52
Other Long-Term Liabilities,2.08,20.63,24.17,27.92,38.54,38.33,39.58,50.5
Total Long-Term Liabilities,2.08,20.63,24.17,27.92,38.54,38.33,39.58,50.5
Total Liabilities,5.89,23.27,26.27,29.8,40.1,39.31,39.94,53.02
Total Debt,1.57,1.5,1.5,1.3,0.85,0.85,0.3,0.2
Debt Growth,84.34%,76.14%,401.24%,560.73%,-,-,-,-
Common Stock,0,0,0,0,0,0,0,5.95
Retained Earnings,-4.13,-21.8,-25.2,-28.81,-38.99,-37.91,5,-0.95
Shareholders' Equity,-4.13,-21.8,-25.2,-28.81,-38.99,-37.91,5,5
Total Liabilities and Equity,1.76,1.47,1.07,0.99,1.12,1.4,44.94,58.02
Net Cash / Debt,-0.02,-1.45,-1.35,-1.16,-0.81,-0.74,-0.08,2.3
Net Cash Per Share,-0.00,-0.12,-0.11,-0.09,-0.06,-0.06,-0.01,0.18
Working Capital,-2.05,-2.18,-1.32,-0.9,-0.48,0.4,1.34,1.67
Book Value Per Share,-0.33,-1.74,-2.02,-2.31,-3.12,-3.03,0.40,0.40
