Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-09-30,2016-12-31
Cash & Equivalents,251.21,288.21,219.37,363.45,514.38,493.51,485.45,110.2,228.06,710.04,316.87,370.89,-,27.29
Short-Term Investments,94.57,85.38,110.15,95.89,89.35,114.79,521.76,879.43,"1,229.98",768.74,976.77,"1,513.18",-,359.43
Cash & Cash Equivalents,345.78,373.59,329.52,459.34,603.73,608.3,"1,007.21",989.62,"1,458.04","1,478.78","1,293.63","1,884.07",0,386.73
Cash Growth,-42.73%,-38.58%,-67.28%,-53.58%,-58.59%,-58.86%,-22.14%,-47.47%,-,282.39%,-,-,-,-
Receivables,20.79,35.68,42.31,56.31,51.01,63.25,84.32,810.06,673.75,523.08,585.4,265.58,-,116.78
Other Current Assets,22.63,46.19,155.09,57.71,66.16,78.25,68.33,211.62,153.99,208.4,270.16,76.54,-,19.14
Total Current Assets,389.19,455.46,526.91,573.36,720.9,749.8,"1,159.86","2,011.29","2,285.77","2,210.26","2,149.19","2,226.19",-,522.64
"Property, Plant & Equipment",89.8,92.16,95.7,103.64,107.21,12.07,14.32,10.56,9.88,7.81,7.47,6.65,-,4.83
Long-Term Investments,40,40,128.74,126.73,132.68,261.62,226.8,231.49,114.33,81.96,105.43,185.07,-,0
Goodwill and Intangibles,9.88,9.88,9.88,9.88,16.67,79.22,84.95,91.93,94.8,31.1,31.55,32.89,-,34.5
Other Long-Term Assets,0,0,0,3.33,1.05,109.42,74.68,70.43,88.86,36.9,0,0,-,0
Total Long-Term Assets,139.68,142.04,234.32,243.58,257.6,462.32,400.74,404.41,307.87,157.77,144.44,224.61,-,39.33
Total Assets,528.87,597.51,761.23,816.94,978.5,"1,212.12","1,560.6","2,415.7","2,593.64","2,368.03","2,293.63","2,450.8",-,561.97
Accounts Payable,22.68,312.37,21.4,307.06,10.36,28.16,57.72,87.49,78.9,38.85,260.87,43.04,-,6.9
Current Debt,119.91,8.62,13.77,18.07,153.1,403.38,803.2,569.59,930.81,930.52,995.67,"1,463.16",-,382.28
Other Current Liabilities,383.39,184.74,369.8,71.23,358.14,478.6,220.67,423.75,379.6,311.14,200.78,517.12,-,181.99
Total Current Liabilities,525.99,505.74,404.97,396.35,521.61,910.13,"1,081.59","1,080.83","1,389.31","1,280.5","1,457.32","2,023.32",-,571.18
Long-Term Debt,236.76,250,400,400,400,21.5,101.5,60.5,21.5,21.5,131.64,469.73,-,0
Other Long-Term Liabilities,13.27,14.03,21.3,16.46,8.85,10.86,18.79,19.77,19.95,8.75,8.82,19.94,-,0
Total Long-Term Liabilities,250.02,264.03,421.3,416.46,408.85,32.36,120.29,80.27,41.45,30.25,140.46,489.67,-,0
Total Liabilities,776.01,769.77,826.26,812.81,930.45,942.49,"1,201.88","1,161.09","1,430.76","1,310.75","1,597.78","2,512.99",-,571.18
Total Debt,356.67,258.62,413.77,418.07,553.1,424.87,904.7,630.09,952.31,952.01,"1,127.31","1,932.89",-,382.28
Debt Growth,-35.51%,-39.13%,-54.26%,-33.65%,-41.92%,-55.37%,-19.75%,-67.40%,-,149.03%,-,-,-,-
Common Stock,"1,876.18","1,871.6","1,863.98","2,018.68","2,016.83","2,015.44","2,007.28","1,959.81","1,930.57","1,898.96",88.96,-62.2,-,-9.21
Retained Earnings,"-2,448.82","-2,381.23","-2,257.92","-2,194.55","-2,155.68","-1,964.9","-1,860.64",-757.47,-799.37,-872.7,-857.37,0,-,-
Comprehensive Income,15.69,17.72,9.12,15.2,19.91,49.83,42.89,52.27,31.68,31.01,35.98,0,-,0
Shareholders' Equity,-556.96,-491.91,-384.83,-160.67,-118.94,100.37,189.53,"1,254.61","1,162.88","1,057.28",-732.43,-62.2,-,-9.21
Total Liabilities and Equity,219.05,277.86,441.43,652.14,811.52,"1,042.86","1,391.41","2,415.7","2,593.64","2,368.03",865.35,"2,450.8",-,561.97
Net Cash / Debt,-10.89,114.97,-84.25,41.27,50.63,183.42,102.52,359.53,505.73,526.77,166.33,-48.82,0,4.44
Net Cash / Debt Growth,-,-37.32%,-,-88.52%,-89.99%,-65.18%,-38.37%,-,-,11753.42%,-,-,-,-
Net Cash Per Share,-,-,-,-,-,-,0.36,1.07,-,5.21,2.42,-0.75,-,-
Working Capital,-136.79,-50.28,121.95,177.01,199.3,-160.33,78.27,930.47,896.47,929.75,691.88,202.87,-,-48.53
Book Value Per Share,-64.95,-57.38,-44.94,-18.78,-14.00,11.85,22.32,156.07,148.00,366.04,-373.23,-33.55,-,-5.62
