Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-12
Cash & Equivalents,0.28,0.38,0.18,0.16,0.01,0.15,0.35,0.12,0
Cash & Cash Equivalents,0.28,0.38,0.18,0.16,0.01,0.15,0.35,0.12,0
Cash Growth,5484.11%,146.09%,-50.10%,33.89%,-,-,-,-,-
Other Current Assets,0.18,0.25,0.31,0.29,0.32,0.32,0.39,-,-
Total Current Assets,0.46,0.63,0.48,0.44,0.32,0.48,0.74,-,-
Long-Term Investments,13.23,12.84,58.18,57.38,57.34,57.34,57.34,-,-
Total Long-Term Assets,13.23,12.84,58.18,57.38,57.34,57.34,57.34,-,-
Total Assets,13.69,13.48,58.66,57.83,57.67,57.82,58.08,0.34,0.1
Accounts Payable,0.34,0.44,0.22,1.72,1.93,0.16,0.14,0.04,0
Current Debt,0,0,0,0,0,0,0,0.3,0
Other Current Liabilities,2.37,2.11,1.89,0,0,0.52,0.13,0,0.08
Total Current Liabilities,2.71,2.55,2.11,1.72,1.93,0.69,0.27,0.34,0.08
Long-Term Debt,2.92,2.4,1.67,0.8,0,0,0,0,0
Other Long-Term Liabilities,1.53,1.52,1.53,1.56,1.6,1.67,1.5,0,0
Total Long-Term Liabilities,4.45,3.91,3.2,2.36,1.6,1.67,1.5,0,0
Total Liabilities,7.15,6.47,5.31,4.08,3.53,2.36,1.77,0.34,0.08
Total Debt,2.92,2.4,1.67,0.8,0,0,0,0.3,0
Debt Growth,-,-,-,166.67%,-,-,-,-,-
Common Stock,0,0,0.94,2.05,3.17,4.26,5.39,0.03,0.03
Retained Earnings,-6.61,-5.84,-3.61,-2.92,-2.46,-1.13,-0.28,-0.03,-0
Shareholders' Equity,-6.61,-5.84,-2.67,-0.87,0.71,3.14,5.12,-0.01,0.02
Total Liabilities and Equity,0.54,0.63,2.64,3.21,4.24,5.49,6.89,0.34,0.1
Net Cash / Debt,-2.64,-2.02,-1.5,-0.64,0.01,0.15,0.35,-0.18,0
Net Cash Per Share,-0.89,-0.32,-0.20,-0.09,0.00,0.04,0.08,-0.17,-
Working Capital,-2.25,-1.92,-1.62,-1.27,-1.6,-0.21,0.47,-,-
Book Value Per Share,-2.22,-0.91,-0.36,-0.12,0.10,0.74,1.11,-0.01,0.02
