Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-07-20
Cash & Equivalents,0.25,0.02,0.22,0.34,0.45,0.16,1.08,1.23,1.38,1.5,0.06,0.22
Cash & Cash Equivalents,0.25,0.02,0.22,0.34,0.45,0.16,1.08,1.23,1.38,1.5,0.06,0.22
Cash Growth,-44.33%,-85.01%,-79.66%,-72.70%,-67.36%,-89.59%,1852.13%,453.86%,-,-,-,-
Other Current Assets,0.52,0.66,0.08,0.27,0.46,0.56,0.02,0.18,0.35,0.43,-,-
Total Current Assets,0.77,0.69,0.3,0.6,0.91,0.71,1.1,1.42,1.73,1.94,-,-
Long-Term Investments,153.53,152.36,599.28,596.43,595.52,595.45,595.38,595.33,595.28,595.12,-,-
Total Long-Term Assets,153.53,152.36,599.28,596.43,595.52,595.45,595.38,595.33,595.28,595.12,-,-
Total Assets,154.3,153.05,599.58,597.04,596.42,596.16,596.48,596.75,597.01,597.06,0.38,0.3
Accounts Payable,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0
Current Debt,3.97,3.52,2.22,2.22,2.22,1.72,1.62,1.22,1.22,1.2,0.29,0.27
Other Current Liabilities,3.89,1.71,2.16,2.04,1.88,1.83,2.42,2.09,0.34,0.05,0.08,0.01
Total Current Liabilities,8.26,5.63,4.77,4.66,4.5,3.95,4.04,3.31,1.56,1.25,0.37,0.28
Other Long-Term Liabilities,22.38,21,21,24.29,32.31,41.37,50.76,72.09,91.71,134.01,0,0
Total Long-Term Liabilities,22.38,21,21,24.29,32.31,41.37,50.76,72.09,91.71,134.01,0,0
Total Liabilities,30.64,26.63,25.78,28.94,36.8,45.32,54.8,75.4,93.26,135.26,0.37,0.28
Total Debt,3.97,3.52,2.22,2.22,2.22,1.72,1.62,1.22,1.22,1.2,0.29,0.27
Debt Growth,78.96%,104.87%,37.13%,82.14%,82.14%,42.82%,459.46%,350.90%,-,-,-,-
Common Stock,0,0,0,0,0,0,0,35.87,53.47,0,0.03,0.03
Retained Earnings,-29.88,-25.94,-25.48,-28.34,-35.37,-44.15,-53.31,-30.87,-48.47,-133.2,-0.01,-0.01
Shareholders' Equity,-29.87,-25.94,-25.48,-28.34,-35.37,-44.15,-53.31,5,5,-133.2,0.02,0.02
Total Liabilities and Equity,0.77,0.69,0.3,0.6,1.43,1.17,1.49,80.4,98.26,2.06,0.38,0.3
Net Cash / Debt,-3.72,-3.49,-2,-1.88,-1.77,-1.56,-0.54,0.01,0.17,0.3,-0.23,-0.05
Net Cash Per Share,-0.12,-0.05,-0.03,-0.03,-0.02,-0.02,-0.01,0.00,0.00,0.01,-0.02,-0.00
Working Capital,-7.49,-4.94,-4.48,-4.05,-3.59,-3.24,-2.93,-1.89,0.17,0.68,-,-
Book Value Per Share,-1.00,-0.40,-0.34,-0.38,-0.48,-0.59,-0.72,0.07,0.07,-3.44,0.00,0.00
